session,region,state,freq_hz,psd
dec4,dHPC,baseline,8.8125,36876.59
dec4,dHPC,baseline,8.875,36969.188
dec4,dHPC,baseline,8.9375,32675.484
dec4,dHPC,baseline,9.0,37047.773
dec4,dHPC,baseline,9.0625,42268.047
dec4,dHPC,baseline,9.125,41304.414
dec4,dHPC,baseline,9.1875,35900.723
dec4,dHPC,baseline,9.25,32770.125
dec4,dHPC,baseline,9.3125,29221.947
dec4,dHPC,baseline,9.375,31316.9
dec4,dHPC,baseline,9.4375,33981.59
dec4,dHPC,baseline,9.5,36949.64
dec4,dHPC,baseline,9.5625,33953.535
dec4,dHPC,baseline,9.625,33109.547
dec4,dHPC,baseline,9.6875,33097.75
dec4,dHPC,baseline,9.75,32123.537
dec4,dHPC,baseline,9.8125,27990.77
dec4,dHPC,baseline,9.875,23964.736
dec4,dHPC,baseline,9.9375,26593.057
dec4,dHPC,baseline,10.0,28024.13
dec4,dHPC,baseline,10.0625,29436.656
dec4,dHPC,baseline,10.125,28428.838
dec4,dHPC,baseline,10.1875,24991.258
dec4,dHPC,baseline,10.25,25554.11
dec4,dHPC,baseline,10.3125,26156.283
dec4,dHPC,baseline,10.375,23592.393
dec4,dHPC,baseline,10.4375,22554.139
dec4,dHPC,baseline,10.5,23703.752
dec4,dHPC,baseline,10.5625,23269.623
dec4,dHPC,baseline,10.625,26001.256
dec4,dHPC,baseline,10.6875,27973.557
dec4,dHPC,baseline,10.75,21330.305
dec4,dHPC,baseline,10.8125,20070.908
dec4,dHPC,baseline,10.875,21813.49
dec4,dHPC,baseline,10.9375,23046.602
dec4,dHPC,baseline,11.0,23060.805
dec4,dHPC,baseline,11.0625,23291.936
dec4,dHPC,baseline,11.125,20229.56
dec4,dHPC,baseline,11.1875,18847.115
dec4,dHPC,baseline,11.25,19198.129
dec4,dHPC,baseline,11.3125,20290.52
dec4,dHPC,baseline,11.375,21571.418
dec4,dHPC,baseline,11.4375,22548.99
dec4,dHPC,baseline,11.5,20155.953
dec4,dHPC,baseline,11.5625,19697.59
dec4,dHPC,baseline,11.625,20997.125
dec4,dHPC,baseline,11.6875,22624.865
dec4,dHPC,baseline,11.75,23383.803
dec4,dHPC,baseline,11.8125,19665.541
dec4,dHPC,baseline,11.875,19478.42
dec4,dHPC,baseline,11.9375,19765.066
dec4,dHPC,baseline,12.0,22115.629
dec4,dHPC,baseline,12.0625,20969.24
dec4,dHPC,baseline,12.125,17060.027
dec4,dHPC,baseline,12.1875,17155.408
dec4,dHPC,baseline,12.25,18352.912
dec4,dHPC,baseline,12.3125,19972.77
dec4,dHPC,baseline,12.375,17978.979
dec4,dHPC,baseline,12.4375,19264.69
dec4,dHPC,baseline,12.5,19456.81
dec4,dHPC,baseline,12.5625,17608.979
dec4,dHPC,baseline,12.625,18976.727
dec4,dHPC,baseline,12.6875,16972.262
dec4,dHPC,baseline,12.75,15104.43
dec4,dHPC,baseline,12.8125,16562.12
dec4,dHPC,baseline,12.875,15095.353
dec4,dHPC,baseline,12.9375,15852.29
dec4,dHPC,baseline,13.0,15838.361
dec4,dHPC,baseline,13.0625,16820.639
dec4,dHPC,baseline,13.125,17777.455
dec4,dHPC,baseline,13.1875,18834.172
dec4,dHPC,baseline,13.25,17158.215
dec4,dHPC,baseline,13.3125,15495.779
dec4,dHPC,baseline,13.375,15422.272
dec4,dHPC,baseline,13.4375,14347.66
dec4,dHPC,baseline,13.5,15031.348
dec4,dHPC,baseline,13.5625,17111.768
dec4,dHPC,baseline,13.625,19383.592
dec4,dHPC,baseline,13.6875,17000.984
dec4,dHPC,baseline,13.75,16160.258
dec4,dHPC,baseline,13.8125,15062.406
dec4,dHPC,baseline,13.875,15493.847
dec4,dHPC,baseline,13.9375,16660.023
dec4,dHPC,baseline,14.0,17573.15
