session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,positive_slow_deflection,49.124,1.5919435215264464
dec4,dHPC,baseline,negative_slow_deflection,49.716,-2.583226262282303
dec4,dHPC,baseline,negative_slow_deflection,50.976,-2.6190961452389034
dec4,dHPC,baseline,positive_slow_deflection,51.36,1.8725147963095923
dec4,dHPC,baseline,negative_slow_deflection,51.532,-2.3253984926965128
dec4,dHPC,baseline,positive_slow_deflection,51.692,1.8555886935857764
dec4,dHPC,baseline,positive_slow_deflection,52.368,1.6434595922603352
dec4,dHPC,baseline,negative_slow_deflection,52.644,-1.8820619903504872
dec4,dHPC,baseline,positive_slow_deflection,52.84,1.6225281851886206
dec4,dHPC,baseline,negative_slow_deflection,53.704,-1.687704372708665
dec4,dHPC,baseline,negative_slow_deflection,54.912,-1.802889342205406
dec4,dHPC,baseline,positive_slow_deflection,55.076,2.6690758420413667
dec4,dHPC,baseline,negative_slow_deflection,55.424,-1.5714151469531477
dec4,dHPC,baseline,negative_slow_deflection,56.312,-1.7924544175544532
dec4,dHPC,baseline,positive_slow_deflection,57.364,1.6185129098132753
dec4,dHPC,baseline,negative_slow_deflection,57.74,-2.4399697539735024
dec4,dHPC,baseline,positive_slow_deflection,59.064,1.6436103701973501
dec4,dHPC,baseline,negative_slow_deflection,59.524,-2.9376952732514696
dec4,dHPC,baseline,negative_slow_deflection,59.796,-1.5851671441833732
dec4,dHPC,baseline,positive_slow_deflection,59.932,2.557723972949991
dec4,dHPC,baseline,negative_slow_deflection,60.076,-2.428780249807489
dec4,dHPC,baseline,positive_slow_deflection,60.264,2.105210715012003
dec4,dHPC,baseline,negative_slow_deflection,60.548,-2.6391448864218345
dec4,dHPC,baseline,positive_slow_deflection,62.124,1.7611614682694043
dec4,dHPC,baseline,negative_slow_deflection,62.812,-1.8055502578595453
dec4,dHPC,baseline,negative_slow_deflection,63.756,-1.915839852496692
dec4,dHPC,baseline,negative_slow_deflection,65.584,-2.5869864092738895
dec4,dHPC,baseline,negative_slow_deflection,66.72,-1.949031458162017
dec4,dHPC,baseline,negative_slow_deflection,67.196,-2.0842985267965854
dec4,dHPC,baseline,negative_slow_deflection,68.568,-2.058307895634038
dec4,dHPC,baseline,negative_slow_deflection,69.22,-1.831363238509499
dec4,dHPC,baseline,negative_slow_deflection,70.0,-1.80154875778592
dec4,dHPC,baseline,positive_slow_deflection,70.168,1.5091750516287188
dec4,dHPC,baseline,negative_slow_deflection,70.632,-2.0926679839536977
dec4,dHPC,baseline,negative_slow_deflection,73.34,-1.600121349502643
dec4,dHPC,baseline,negative_slow_deflection,74.036,-1.866042243636909
dec4,dHPC,baseline,positive_slow_deflection,74.204,1.669428792254362
dec4,dHPC,baseline,negative_slow_deflection,74.932,-1.7215660161199402
dec4,dHPC,baseline,negative_slow_deflection,75.828,-1.866575170673862
dec4,dHPC,baseline,positive_slow_deflection,76.148,1.6627943344822627
dec4,dHPC,baseline,negative_slow_deflection,76.356,-1.990341149421296
dec4,dHPC,baseline,negative_slow_deflection,77.168,-2.155777124017775
dec4,dHPC,baseline,negative_slow_deflection,77.544,-1.687500015286111
dec4,dHPC,baseline,positive_slow_deflection,77.736,2.072511159948849
dec4,dHPC,baseline,negative_slow_deflection,78.248,-4.31476184203243
dec4,dHPC,baseline,negative_slow_deflection,78.908,-1.933946785918917
dec4,dHPC,baseline,positive_slow_deflection,81.28,2.0369057025640087
dec4,dHPC,baseline,negative_slow_deflection,81.476,-2.478345320061458
dec4,dHPC,baseline,negative_slow_deflection,81.852,-1.6096758990246995
dec4,dHPC,baseline,positive_slow_deflection,82.188,1.6329201767821022
dec4,dHPC,baseline,negative_slow_deflection,82.368,-3.3764169846059158
dec4,dHPC,baseline,positive_slow_deflection,82.54,1.9564158116722998
dec4,dHPC,baseline,negative_slow_deflection,82.948,-1.5466026747226207
dec4,dHPC,baseline,negative_slow_deflection,83.876,-1.8639116872494528
dec4,dHPC,baseline,positive_slow_deflection,84.116,1.7512689217622088
dec4,dHPC,baseline,positive_slow_deflection,84.908,1.7859221172497348
dec4,dHPC,baseline,negative_slow_deflection,85.088,-1.673098395288784
dec4,dHPC,baseline,negative_slow_deflection,85.924,-1.6600908946906623
dec4,dHPC,baseline,negative_slow_deflection,86.9,-2.608922247902405
dec4,dHPC,baseline,positive_slow_deflection,87.092,2.63916427788176
dec4,dHPC,baseline,negative_slow_deflection,87.472,-2.4142683941507133
dec4,dHPC,baseline,positive_slow_deflection,88.64,1.809201662478984
dec4,dHPC,baseline,negative_slow_deflection,88.808,-2.2650968426093336
dec4,dHPC,baseline,negative_slow_deflection,89.108,-1.8947698517153515
dec4,dHPC,baseline,positive_slow_deflection,89.704,1.7741361956730826
dec4,dHPC,baseline,negative_slow_deflection,89.876,-2.1944460087820588
dec4,dHPC,baseline,positive_slow_deflection,90.276,2.0102236347932756
dec4,dHPC,baseline,negative_slow_deflection,90.704,-1.721066353526518
