session,region,state,n_good_channels,window_start_s,window_end_s,duration_s,slow_peak_hz,slow_0p1_4_to_theta_ratio,delta_1_4_to_theta_ratio,slow_0p1_1_to_theta_ratio,positive_slow_deflection_rate_hz,negative_slow_deflection_rate_hz,abs_slow_z_95th_percentile,slow_0p1_1_hz,slow_0p5_1_hz,delta_1_4_hz,theta_6_10_hz,gamma_30_80_hz
dec4,dHPC,baseline,127,1886.780025,2786.780025,900.0,1.4375,1.146680839190252,0.9817614194012196,0.16491941978903257,0.7577777777777778,0.8922222222222222,2.2356070373013757,37154.89279174805,29750.617431640625,221182.201171875,225291.19274902344,53719.90834522247
dec4,dHPC,post,127,17183.780025,18135.6352,951.856,2.4375,1.3798686616376235,1.1879798399928896,0.19188882164473373,0.7553663579364946,0.8992956917853121,2.1996405657104825,43929.3825378418,32629.978515625,271965.9248046875,228931.43103027344,49089.45905780792
dec4,LEC,baseline,82,1886.780025,2786.780025,900.0,2.375,24.629606441119034,23.157814978788714,1.4717914623303165,0.39555555555555555,0.33666666666666667,1.507902369204723,2574.359962463379,1842.4667358398438,40506.11328125,1749.1336431503296,1782.8961659669876
dec4,LEC,post,82,17183.780025,18135.6352,951.856,2.25,24.305639490473112,22.581997197099547,1.723642293373566,0.4580524785261636,0.45490074128859825,1.6466769684554545,3032.9798278808594,2154.7362213134766,39736.05326080322,1759.634141921997,1446.1254278421402
