trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
1,amp180_freq5,180,5,Group 96-127,32,7.5864105224609375,-22.673500061035156,1.4428290777129362
1,amp180_freq5,180,5,Group 64-95,30,-13.860931396484375,-37.26325225830078,0.5201272728977276
1,amp180_freq5,180,5,Group 32-63,28,-19.764305114746094,-5.191917419433594,-0.20201463202486117
1,amp180_freq5,180,5,Group 0-31,29,-24.801910400390625,-20.907974243164062,3.1512533807994965
2,amp250_freq5,250,5,Group 96-127,32,-9.793441772460938,-14.028755187988281,1.3792483480697149
2,amp250_freq5,250,5,Group 64-95,30,-1.8508758544921875,-15.559478759765625,0.8206855525935494
2,amp250_freq5,250,5,Group 32-63,28,8.308036804199219,-24.30731201171875,2.108876346379287
2,amp250_freq5,250,5,Group 0-31,29,-21.394317626953125,-49.83598327636719,1.1741768870711986
3,amp180_freq5,180,5,Group 96-127,32,0.36754608154296875,-51.465110778808594,2.8544570218686696
3,amp180_freq5,180,5,Group 64-95,30,-38.64685821533203,-19.033241271972656,2.6356464629881104
3,amp180_freq5,180,5,Group 32-63,28,13.103713989257812,-7.502967834472656,3.2707092434644403
3,amp180_freq5,180,5,Group 0-31,29,-27.748397827148438,-36.264373779296875,2.2234332956027196
4,amp250_freq5,250,5,Group 96-127,32,-18.51728057861328,-1.2304229736328125,0.5393952319128151
4,amp250_freq5,250,5,Group 64-95,30,4.562164306640625,-1.6401824951171875,2.0620329261764136
4,amp250_freq5,250,5,Group 32-63,28,4.2982025146484375,1.28826904296875,3.458336867231735
4,amp250_freq5,250,5,Group 0-31,29,7.5545806884765625,-21.769073486328125,2.661440410556685
5,amp250_freq5,250,5,Group 96-127,32,-9.510589599609375,13.279029846191406,-0.5370627427112525
5,amp250_freq5,250,5,Group 64-95,30,-12.05181884765625,19.828475952148438,0.8505660643114651
5,amp250_freq5,250,5,Group 32-63,28,11.547164916992188,-11.094284057617188,1.7718330738146815
5,amp250_freq5,250,5,Group 0-31,29,-23.832229614257812,47.45295715332031,1.1622240646659228
6,amp250_freq26,250,26,Group 96-127,32,6.24163818359375,15.103713989257812,0.7204279513544193
6,amp250_freq26,250,26,Group 64-95,30,-9.487152099609375,25.1824951171875,0.6131027552369495
6,amp250_freq26,250,26,Group 32-63,28,5.182098388671875,57.899627685546875,1.622644201262834
6,amp250_freq26,250,26,Group 0-31,29,13.72894287109375,62.76072692871094,2.1863612271208903
7,amp250_freq26,250,26,Group 96-127,32,-4.659278869628906,-13.779197692871094,0.10160360026550047
7,amp250_freq26,250,26,Group 64-95,30,25.994064331054688,-4.452445983886719,4.056412953922825
7,amp250_freq26,250,26,Group 32-63,28,20.169281005859375,73.38685607910156,3.7994693391765533
7,amp250_freq26,250,26,Group 0-31,29,21.853546142578125,52.74891662597656,3.579292148429883
8,amp180_freq26,180,26,Group 96-127,32,8.593238830566406,51.87036895751953,0.28936240359190485
8,amp180_freq26,180,26,Group 64-95,30,30.3056640625,211.17138671875,4.4915255408584835
8,amp180_freq26,180,26,Group 32-63,28,33.86256408691406,140.12982177734375,1.4676284887049016
8,amp180_freq26,180,26,Group 0-31,29,64.42041015625,90.45799255371094,4.464938858799814
9,amp250_freq5,250,5,Group 96-127,32,-12.018234252929688,-8.651252746582031,0.1358170540453874
