condition,amplitude,frequency,n_trials,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq5,100,5,200,1.5973085212707518,-2.9842968015670777,6.170834578037262,4.920659928321839,-1.7504458113908767,12.004787457466103,1.7246186996959574,1.5604010274611877,1.887007980528599
amp180_freq5,180,5,200,-0.3404702854156494,-4.798744596719741,3.9810542433261773,2.2281154918670656,-4.555180758953094,9.38570174920559,1.6419284054996455,1.4669130784991422,1.7985165795589482
amp250_freq5,250,5,200,0.5794993209838867,-4.0904692208766935,4.8049420161247225,-0.2778463411331177,-7.121724756479264,6.630634739994999,1.6685627386189492,1.5116177073351638,1.8348445877974122
amp100_freq26,100,26,200,3.268682107925415,-1.2309143013954162,7.7247051301002445,1.3266290092468263,-5.087721117258072,8.13959999179839,1.64827088386461,1.5103506271890674,1.7852536479800938
amp180_freq26,180,26,200,6.651756114959717,2.9267859139442445,10.707368690729142,12.579995412826538,5.5109468938112265,20.03946319067478,1.6725364031713803,1.5300728833299602,1.8111000686965657
amp250_freq26,250,26,200,0.982249984741211,-3.333335217475891,5.024326155662532,7.691533331871033,0.99745272231102,14.329413444042203,1.605064595842055,1.448816624716683,1.7553525560258711
