channel,mean_stim_minus_pre_abs_lfp,max_stim_minus_pre_abs_lfp,mean_pre_abs_lfp,mean_stim_abs_lfp
8,76.92112223307292,136.6915283203125,1495.670166015625,1572.591288248698
7,75.29825846354167,135.7958984375,1685.9119059244792,1761.2101643880208
9,70.383544921875,123.8848876953125,1260.203125,1330.586669921875
6,69.11100260416667,124.5091552734375,1743.2557373046875,1812.3667399088542
5,54.607584635416664,99.9046630859375,1719.5901896158855,1774.197774251302
10,53.4744873046875,98.8798828125,1048.983418782552,1102.4579060872395
77,45.545206705729164,87.2174072265625,1536.2474772135417,1581.7926839192708
44,42.208109537760414,83.8526611328125,1463.8841349283855,1506.0922444661458
78,40.268717447916664,80.5330810546875,1244.5508829752605,1284.819600423177
43,39.384847005208336,75.9251708984375,1600.7054036458333,1640.0902506510417
76,38.639892578125,61.04864501953125,767.4935099283854,806.1334025065104
11,37.64903767903646,77.71734619140625,896.6063028971354,934.2553405761719
45,37.5086669921875,78.1683349609375,1196.4949137369792,1234.0035807291667
4,36.896504720052086,66.6324462890625,1605.352315266927,1642.2488199869792
66,35.445414225260414,70.037353515625,1766.991231282552,1802.4366455078125
65,35.333984375,73.9114990234375,1646.971455891927,1682.305440266927
32,34.972798665364586,71.4981689453125,1756.4550374348958,1791.4278361002605
75,34.27503967285156,47.927520751953125,528.4312286376953,562.7062683105469
42,34.058492024739586,63.7357177734375,1574.0802815755208,1608.1387736002605
63,33.609761555989586,71.6641845703125,1455.298604329427,1488.9083658854167
29,33.117960611979164,54.010986328125,1503.0366821289062,1536.1546427408855
62,32.11859130859375,69.876220703125,1454.9414469401042,1487.060038248698
74,31.968846638997395,41.4833984375,505.1899871826172,537.1588338216146
33,31.762552897135418,62.4744873046875,1802.2367146809895,1833.999267578125
64,31.5792236328125,68.7301025390625,1452.1743774414062,1483.7536010742188
68,30.479807535807293,45.0211181640625,836.0016682942709,866.4814758300781
67,30.307779947916668,58.7581787109375,1785.2443440755208,1815.5521240234375
30,30.2718505859375,50.40869140625,1529.142598470052,1559.4144490559895
46,29.956227620442707,66.42608642578125,923.9084065755209,953.8646341959635
69,29.810129801432293,40.9564208984375,551.1004638671875,580.9105936686198
41,27.997904459635418,51.853759765625,1528.8106486002605,1556.8085530598958
105,27.874654134114582,62.1004638671875,1360.1990356445312,1388.0736897786458
106,27.2659912109375,61.3953857421875,1302.7322591145833,1329.9982503255208
31,27.023600260416668,45.8896484375,1504.0560099283855,1531.079610188802
103,27.023274739583332,61.9639892578125,1404.089111328125,1431.1123860677083
34,26.990214029947918,52.5123291015625,1752.3064778645833,1779.2966918945312
27,26.692097981770832,47.8427734375,1178.745096842448,1205.4371948242188
104,26.590372721354168,61.25439453125,1384.6072591145833,1411.1976318359375
71,26.255472819010418,36.5350341796875,726.5220235188802,752.7774963378906
26,26.17120361328125,47.5224609375,1182.706075032552,1208.8772786458333
24,26.137125651041668,47.374755859375,1182.7138671875,1208.8509928385417
28,26.0185546875,47.2501220703125,1184.397684733073,1210.416239420573
73,25.97772216796875,36.19964599609375,719.1717427571615,745.1494649251302
25,25.9443359375,47.2420654296875,1181.964111328125,1207.908447265625
3,25.926554361979168,45.881591796875,1511.9045817057292,1537.8311360677083
72,25.916422526041668,44.35595703125,1538.3045043945312,1564.220926920573
107,25.592366536458332,59.1243896484375,1215.9671834309895,1241.559549967448
102,25.303914388020832,61.1630859375,1381.788065592448,1407.0919799804688
70,25.199381510416668,34.088134765625,522.4437052408854,547.6430867513021
40,24.707600911458332,43.818603515625,1506.6217651367188,1531.329366048177
108,24.49810791015625,56.78076171875,1111.3990478515625,1135.8971557617188
101,24.017293294270832,58.8873291015625,1285.4280598958333,1309.4453531901042
47,23.915557861328125,55.79266357421875,742.7755940755209,766.691151936849
0,23.914469401041668,41.438232421875,1495.4426879882812,1519.357157389323
109,22.972086588541668,53.92535400390625,984.6581115722656,1007.6301981608073
95,22.84588623046875,55.4539794921875,1131.781005859375,1154.6268920898438
35,22.723917643229168,44.1630859375,1677.7920939127605,1700.5160115559895
12,22.412811279296875,58.49969482421875,796.2322184244791,818.645029703776
39,21.868326822916668,39.10791015625,1499.6644490559895,1521.5327758789062
100,21.824381510416668,55.4053955078125,1162.687479654948,1184.5118611653645
1,21.35455322265625,37.991455078125,1465.272481282552,1486.6270345052083
61,21.31951904296875,53.517578125,1111.8369954427083,1133.156514485677
2,21.181294759114582,37.725830078125,1462.6526489257812,1483.8339436848958
79,20.982452392578125,36.55426025390625,541.830332438151,562.8127848307291
36,20.849690755208332,39.7005615234375,1603.7525634765625,1624.6022542317708
38,20.816304524739582,37.2894287109375,1511.5170084635417,1532.3333129882812
110,20.617462158203125,49.3018798828125,830.5782165527344,851.1956787109375
37,20.601765950520832,37.3863525390625,1543.6786092122395,1564.2803751627605
48,20.35498046875,35.84613037109375,628.1643575032552,648.5193379720052
99,19.416798909505207,51.25201416015625,1026.4396464029949,1045.8564453125
82,19.365478515625,34.55474853515625,622.3734842936198,641.7389628092448
118,19.283457438151043,30.80340576171875,550.2081502278646,569.4916076660156
119,19.226186116536457,30.2587890625,546.9093017578125,566.135487874349
83,19.039927164713543,34.39263916015625,609.5671793619791,628.6071065266927
81,18.946502685546875,35.06683349609375,634.1614278157552,653.1079305013021
117,18.8592529296875,30.8096923828125,552.1526997884115,571.011952718099
116,18.41619873046875,30.4544677734375,557.5588175455729,575.9750162760416
111,18.258473714192707,44.337890625,714.515391031901,732.7738647460938
115,18.097544352213543,30.9686279296875,564.4412638346354,582.538808186849
112,17.943328857421875,30.26800537109375,550.2450256347656,568.1883544921875
120,17.860392252604168,28.68060302734375,534.891347249349,552.7517395019531
113,17.770680745442707,30.61865234375,556.4066874186198,574.1773681640625
94,17.385477701822918,47.65966796875,937.5031433105469,954.8886210123698
84,17.139617919921875,31.65484619140625,570.8331298828125,587.9727478027344
98,16.957234700520832,46.28741455078125,889.8814392089844,906.8386739095052
60,16.772084554036457,46.283203125,940.5429484049479,957.3150329589844
49,16.217336018880207,30.23193359375,559.6736246744791,575.8909606933594
93,15.991221110026041,32.022186279296875,482.1714833577474,498.16270446777344
13,15.865437825520834,48.54913330078125,753.7235107421875,769.5889485677084
114,15.805791219075521,26.1876220703125,404.4595235188802,420.26531473795575
23,14.638275146484375,42.24041748046875,830.198486328125,844.8367614746094
92,14.485397338867188,24.125213623046875,310.8964029947917,325.3818003336589
121,14.234842936197916,23.9730224609375,475.8460184733073,490.0808614095052
22,13.963022867838541,43.94610595703125,757.5350138346354,771.498036702474
91,13.670282999674479,20.212432861328125,232.9737752278646,246.64405822753906
59,13.4923095703125,41.36383056640625,798.4434102376302,811.9357198079427
21,13.231058756510416,43.5556640625,706.3753153483073,719.6063741048177
97,12.88812255859375,39.45404052734375,740.1648661295573,753.052988688151
