trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
1,amp180_freq5,180,5,Group 96-127,32,95.20549774169922,102.79190826416016,91.06230163574219,7.5864105224609375,-4.143196105957031,11.729606628417969
1,amp180_freq5,180,5,Group 64-95,30,146.45071411132812,132.58978271484375,113.09937286376953,-13.860931396484375,-33.351341247558594,19.49040985107422
1,amp180_freq5,180,5,Group 32-63,28,128.48876953125,108.7244644165039,113.35665893554688,-19.764305114746094,-15.132110595703125,-4.632194519042969
1,amp180_freq5,180,5,Group 0-31,29,191.8052215576172,167.00331115722656,197.1405029296875,-24.801910400390625,5.3352813720703125,-30.137191772460938
2,amp250_freq5,250,5,Group 96-127,32,89.0112533569336,79.21781158447266,98.60371398925781,-9.793441772460938,9.592460632324219,-19.385902404785156
2,amp250_freq5,250,5,Group 64-95,30,110.0489501953125,108.19807434082031,127.98348999023438,-1.8508758544921875,17.934539794921875,-19.785415649414062
2,amp250_freq5,250,5,Group 32-63,28,105.4446029663086,113.75263977050781,120.70793914794922,8.308036804199219,15.263336181640625,-6.955299377441406
2,amp250_freq5,250,5,Group 0-31,29,203.89735412597656,182.50303649902344,214.9938201904297,-21.394317626953125,11.096466064453125,-32.49078369140625
3,amp180_freq5,180,5,Group 96-127,32,120.30061340332031,120.66815948486328,118.94808959960938,0.36754608154296875,-1.3525238037109375,1.7200698852539062
3,amp180_freq5,180,5,Group 64-95,30,146.0675048828125,107.42064666748047,149.30398559570312,-38.64685821533203,3.236480712890625,-41.883338928222656
3,amp180_freq5,180,5,Group 32-63,28,129.86575317382812,142.96946716308594,141.3048858642578,13.103713989257812,11.439132690429688,1.664581298828125
3,amp180_freq5,180,5,Group 0-31,29,225.57789611816406,197.82949829101562,208.5397491455078,-27.748397827148438,-17.03814697265625,-10.710250854492188
4,amp250_freq5,250,5,Group 96-127,32,118.5385513305664,100.02127075195312,99.28764343261719,-18.51728057861328,-19.25090789794922,0.7336273193359375
4,amp250_freq5,250,5,Group 64-95,30,137.93565368652344,142.49781799316406,137.55612182617188,4.562164306640625,-0.3795318603515625,4.9416961669921875
4,amp250_freq5,250,5,Group 32-63,28,132.93115234375,137.22935485839844,139.19540405273438,4.2982025146484375,6.264251708984375,-1.9660491943359375
4,amp250_freq5,250,5,Group 0-31,29,205.7490692138672,213.30364990234375,187.70211791992188,7.5545806884765625,-18.046951293945312,25.601531982421875
5,amp250_freq5,250,5,Group 96-127,32,119.0860366821289,109.57544708251953,105.87359619140625,-9.510589599609375,-13.212440490722656,3.7018508911132812
5,amp250_freq5,250,5,Group 64-95,30,143.99658203125,131.94476318359375,136.55221557617188,-12.05181884765625,-7.444366455078125,-4.607452392578125
5,amp250_freq5,250,5,Group 32-63,28,131.69471740722656,143.24188232421875,139.63174438476562,11.547164916992188,7.9370269775390625,3.610137939453125
