condition,amplitude,frequency,analysis_group,n_trials,baseline_driven_log2_power,onset_driven_log2_power,sustained_driven_log2_power,offset_driven_log2_power
amp100_freq10,100,10,A_dHPC_0-31,150,0.003290849411228855,0.026769927813421898,0.04644228207391095,0.1679786672393491
amp100_freq10,100,10,A_dHPC_32-63,150,-0.02558250137914056,0.017658056570903857,0.0931068862840446,0.14352335548587192
amp100_freq10,100,10,A_dHPC_64-95,150,0.07713596364544405,-0.05361999631326811,0.07485839986321968,0.005059310819032502
amp100_freq10,100,10,A_dHPC_96-127,150,0.003895784747130218,0.08394653765168127,0.06866346771168827,0.06680834798428138
amp100_freq10,100,10,B_LEC_128-191,150,0.012962471225803435,-0.07326081109250268,-0.018654453200676213,0.13528316037034194
amp100_freq10,100,10,B_LEC_192-255,150,-0.025825314200711,0.12718409129747912,0.019809994890353295,0.326630097778767
amp100_freq26,100,26,A_dHPC_0-31,150,0.021652750203464775,0.011426753767884545,0.11158286561436218,0.028633023725661257
amp100_freq26,100,26,A_dHPC_32-63,150,0.002491735857704104,-0.0009194181984244765,0.10487352347822873,0.06565543043939738
amp100_freq26,100,26,A_dHPC_64-95,150,0.012404350056331684,-0.001523665287103071,-0.1077561466849585,-0.047740558335196144
amp100_freq26,100,26,A_dHPC_96-127,150,-0.017519002783774565,0.0765032223691906,0.11736355944485062,0.24908716764337735
amp100_freq26,100,26,B_LEC_128-191,150,-0.01682715399385893,-0.12054800654737349,-0.1396205427810029,-0.18215625838214267
amp100_freq26,100,26,B_LEC_192-255,150,0.0843193534658549,0.14819523156486128,-0.14950772535430373,-0.1290700407834706
amp100_freq5,100,5,A_dHPC_0-31,150,-0.002403348350644062,-0.3184631909278568,0.009897671630006622,-0.09268677063620795
amp100_freq5,100,5,A_dHPC_32-63,150,-0.033843700556361635,-0.18407888649262438,-0.0026828994497357975,0.06372969374370817
amp100_freq5,100,5,A_dHPC_64-95,150,-0.021719050478817056,-0.0902980499390195,0.06020375898951689,0.10638315878490817
amp100_freq5,100,5,A_dHPC_96-127,150,0.10192534950373593,-0.04251540622538351,0.04041632219455547,0.03548573383777322
amp100_freq5,100,5,B_LEC_128-191,150,0.00616811322074395,-0.06778142756301618,-0.08758164508170393,-0.07427213778672151
amp100_freq5,100,5,B_LEC_192-255,150,-0.05832998612074497,-0.38460176237819305,0.012276227100492807,-0.3687165662700629
amp100_freq50,100,50,A_dHPC_0-31,150,,,,
amp100_freq50,100,50,A_dHPC_32-63,150,,,,
