condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change,five_hz_log2_power_change,twenty_six_hz_log2_power_change
amp100_freq10,100,10,A_dHPC_0-31,32,0.00427380523086798,-0.029685935486212886,0.00427380523086798
amp100_freq10,100,10,A_dHPC_32-63,32,-0.0020228056820827444,-0.01237867444643082,-0.0020228056820827444
amp100_freq10,100,10,A_dHPC_64-95,32,-0.005822055579347081,-0.004462190608438023,-0.005822055579347081
amp100_freq10,100,10,A_dHPC_96-127,32,-0.026110162672408774,-0.032220343606101806,-0.026110162672408774
amp100_freq10,100,10,B_LEC_128-191,64,0.0007727794622228097,-0.1761861019755936,0.0007727794622228097
amp100_freq10,100,10,B_LEC_192-255,64,0.005768832770593961,-0.030571938432050114,0.005768832770593961
amp100_freq26,100,26,A_dHPC_0-31,32,-0.08508620460128791,0.018821716462412524,-0.08508620460128791
amp100_freq26,100,26,A_dHPC_32-63,32,-0.09972398664619825,0.026476737978856815,-0.09972398664619825
amp100_freq26,100,26,A_dHPC_64-95,32,-0.08927719876467868,0.01263699815872375,-0.08927719876467868
amp100_freq26,100,26,A_dHPC_96-127,32,-0.10492872313887609,0.0004776140154367928,-0.10492872313887609
amp100_freq26,100,26,B_LEC_128-191,64,-0.02788890575157971,-0.027911122623452148,-0.02788890575157971
amp100_freq26,100,26,B_LEC_192-255,64,0.007834493546633993,-0.009401216824180762,0.007834493546633993
amp100_freq5,100,5,A_dHPC_0-31,32,0.03728225438401635,0.03728225438401635,-0.16727634435543579
amp100_freq5,100,5,A_dHPC_32-63,32,0.049067863752786205,0.049067863752786205,-0.18852431596487643
amp100_freq5,100,5,A_dHPC_64-95,32,0.06194981599222033,0.06194981599222033,-0.17842411942988048
amp100_freq5,100,5,A_dHPC_96-127,32,0.06598750533380336,0.06598750533380336,-0.18239565709215985
amp100_freq5,100,5,B_LEC_128-191,64,0.016760291262635438,0.016760291262635438,-0.04285672136193013
amp100_freq5,100,5,B_LEC_192-255,64,0.06171796856090626,0.06171796856090626,-0.0504756800892457
amp100_freq50,100,50,A_dHPC_0-31,32,-0.2714100278458714,-0.17827992122560016,-0.2714100278458714
amp100_freq50,100,50,A_dHPC_32-63,32,-0.3166568500477548,-0.19337997032681598,-0.3166568500477548
amp100_freq50,100,50,A_dHPC_64-95,32,-0.3187690022138088,-0.17508922998792206,-0.3187690022138088
amp100_freq50,100,50,A_dHPC_96-127,32,-0.3645784367301385,-0.13877934494035746,-0.3645784367301385
amp100_freq50,100,50,B_LEC_128-191,64,-0.033816229235745746,-0.04984298866893977,-0.033816229235745746
amp100_freq50,100,50,B_LEC_192-255,64,-0.03605478356519885,-0.07631710752975114,-0.03605478356519885
amp180_freq10,180,10,A_dHPC_0-31,32,0.053473920335496264,-0.016312794057841338,0.053473920335496264
amp180_freq10,180,10,A_dHPC_32-63,32,0.05540523492876658,-0.07361987533288791,0.05540523492876658
amp180_freq10,180,10,A_dHPC_64-95,32,0.023713510718821808,-0.07125331260400042,0.023713510718821808
amp180_freq10,180,10,A_dHPC_96-127,32,0.06474579913222749,-0.04934066735538312,0.06474579913222749
amp180_freq10,180,10,B_LEC_128-191,64,0.012204489080497448,0.047491237280046,0.012204489080497448
amp180_freq10,180,10,B_LEC_192-255,64,0.005700358872407217,-0.013710705650902346,0.005700358872407217
amp180_freq26,180,26,A_dHPC_0-31,32,-0.10864565922583243,-0.2928660178745751,-0.10864565922583243
amp180_freq26,180,26,A_dHPC_32-63,32,-0.09813074549578771,-0.32592493635959296,-0.09813074549578771
amp180_freq26,180,26,A_dHPC_64-95,32,-0.07655711427090055,-0.3097137198121105,-0.07655711427090055
amp180_freq26,180,26,A_dHPC_96-127,32,-0.07243874290150572,-0.2777286921483291,-0.07243874290150572
amp180_freq26,180,26,B_LEC_128-191,64,0.007542481078322576,-0.014619608784636915,0.007542481078322576
amp180_freq26,180,26,B_LEC_192-255,64,0.03591625968598256,0.0018282532522750413,0.03591625968598256
