condition,amplitude,frequency,analysis_group,n_trials,on_delta_mean,on_delta_ci_low,on_delta_ci_high,off_delta_mean,off_delta_ci_low,off_delta_ci_high,on_minus_off_mean,on_minus_off_ci_low,on_minus_off_ci_high
amp100_freq5,100,5,A_dHPC_0-31,200,0.7605390167236328,-5.3017775936126705,6.675820819854735,-0.38734046936035155,-6.851855531692505,6.123011564254742,1.1478794860839843,-4.04923864364624,6.536476881027217
amp100_freq5,100,5,A_dHPC_32-63,200,1.9952423095703125,-4.836282557487487,8.637180197715756,0.9284765625,-6.523829686164856,8.562185074806205,1.0667657470703125,-4.931185148239136,6.979713878631589
amp100_freq5,100,5,A_dHPC_64-95,200,2.1510751342773435,-3.3431001453399656,7.83547156047821,3.6626787567138672,-2.3312032861709593,9.608841682434079,-1.5116036224365235,-6.0703867216110226,3.0104204092025735
amp100_freq5,100,5,A_dHPC_96-127,200,-0.7543106079101562,-4.9140593576431275,3.0344779329299896,-0.6025535202026367,-5.139972208023072,3.7327435207366944,-0.15175708770751953,-3.508368577003479,3.1858098297119124
amp100_freq5,100,5,B_LEC_128-191,200,1.140228271484375,-0.36302251386642453,2.62530914735794,1.2617291259765624,-0.35826153326034543,2.825844979286193,-0.1215008544921875,-1.2683702888488768,1.1091952323913568
amp100_freq5,100,5,B_LEC_192-255,200,-0.34860700607299805,-1.7437956840991973,1.0854862153530118,-1.4139001560211182,-2.8525253026485444,0.11791342115402079,1.0652931499481202,-0.02656665706634519,2.224130079269409
amp180_freq5,180,5,A_dHPC_0-31,200,4.903375282287597,-0.7733917322158813,10.765299335479735,6.403196067810058,0.36209782218933106,12.866492531776426,-1.499820785522461,-6.91910964012146,3.9414129695892295
amp180_freq5,180,5,A_dHPC_32-63,200,1.2633697128295898,-5.328070798873902,7.578997224807737,2.8809274673461913,-4.588184337615966,9.904104937553397,-1.6175577545166016,-6.909022481918335,3.495084923744191
amp180_freq5,180,5,A_dHPC_64-95,200,3.648605613708496,-2.1293492374420167,8.996750253677364,2.4701906204223634,-3.381843300819397,8.09718494129181,1.1784149932861328,-3.4007255334854127,5.657740914344785
amp180_freq5,180,5,A_dHPC_96-127,200,3.2121772384643554,0.004543829917907721,6.44490784549713,4.561269035339356,0.7621028060913085,8.315063803672789,-1.349091796875,-4.472528428077698,2.024552229881286
amp180_freq5,180,5,B_LEC_128-191,200,2.5072266387939455,1.138965585708618,3.876039261817932,2.8416355895996093,1.4175241270065309,4.301743309497832,-0.3344089508056641,-1.5030940198898315,0.8112640676498394
