condition,amplitude,frequency,n_trials,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq5,100,5,200,1.5973085212707518,-2.9842968015670777,6.170834578037262,4.920659928321839,-1.7504458113908767,12.004787457466103,-0.08211076615944318,-0.22491839889996745,0.05774035288085756
amp180_freq5,180,5,200,-0.3404702663421631,-4.798744559049606,3.981054280996313,2.228115510940552,-4.555180721759796,9.38570174920559,0.05073190368751899,-0.08295137622343228,0.1884919632414227
amp250_freq5,250,5,200,0.5794992828369141,-4.090469259023666,4.804941940784452,-0.2778463792800903,-7.121724793672562,6.630634738087651,-0.042208891193409565,-0.20372648772498775,0.11179524791917045
amp100_freq26,100,26,200,3.268682107925415,-1.2309143013954162,7.7247051301002445,1.3266290092468263,-5.087721117258072,8.13959999179839,0.07643662760733777,-0.052979536577667616,0.19760207084175738
amp180_freq26,180,26,200,6.651756114959717,2.9267859139442445,10.707368690729142,12.579995412826538,5.5109468938112265,20.03946319067478,-0.04486509200694546,-0.1688979169189693,0.0766457669974574
amp250_freq26,250,26,200,0.982249984741211,-3.333335217475891,5.024326155662532,7.691533331871033,0.99745272231102,14.329413444042203,-0.0355957360723996,-0.16172356887294853,0.08548666524900901
