trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
1,amp250_freq10,250,10,A_dHPC_0-31,32,-71.02717590332031,-112.80262756347656,-1.576050809542057
1,amp250_freq10,250,10,A_dHPC_32-63,32,-72.06756591796875,-85.08175659179688,-1.9375526945255592
1,amp250_freq10,250,10,A_dHPC_64-95,32,-7.641326904296875,-58.040435791015625,-0.8153243864380078
1,amp250_freq10,250,10,A_dHPC_96-127,31,-29.172279357910156,-9.32464599609375,-3.1241681354624067
1,amp250_freq10,250,10,B_LEC_128-191,51,-12.9744873046875,6.4707794189453125,1.2135471977357986
1,amp250_freq10,250,10,B_LEC_192-255,32,-1.2999725341796875,-6.350250244140625,-1.2140579737216362
2,amp100_freq10,100,10,A_dHPC_0-31,32,30.282867431640625,70.46258544921875,1.1596534056381524
2,amp100_freq10,100,10,A_dHPC_32-63,32,34.67219543457031,33.51683044433594,0.5482211542921885
2,amp100_freq10,100,10,A_dHPC_64-95,32,22.710403442382812,-48.36559295654297,1.0879249888048568
2,amp100_freq10,100,10,A_dHPC_96-127,31,-7.166481018066406,-1.0574493408203125,0.18439115050546534
2,amp100_freq10,100,10,B_LEC_128-191,51,-5.449012756347656,-2.1911468505859375,1.1952614642615478
2,amp100_freq10,100,10,B_LEC_192-255,32,-7.238788604736328,19.894023895263672,0.6349993207521973
3,amp180_freq26,180,26,A_dHPC_0-31,32,5.6542816162109375,-71.793701171875,-1.469059332374165
3,amp180_freq26,180,26,A_dHPC_32-63,32,30.379745483398438,-10.536590576171875,-1.1869521442895852
3,amp180_freq26,180,26,A_dHPC_64-95,32,-2.1157379150390625,-22.784332275390625,-0.6471305343404238
3,amp180_freq26,180,26,A_dHPC_96-127,31,-0.7725372314453125,-2.9556961059570312,1.341401689202104
3,amp180_freq26,180,26,B_LEC_128-191,51,16.444137573242188,37.612388610839844,-0.5361822322481812
3,amp180_freq26,180,26,B_LEC_192-255,32,8.706291198730469,5.250774383544922,0.04819489654274289
4,amp180_freq10,180,10,A_dHPC_0-31,32,-47.29408264160156,-79.47274780273438,-0.45830754522240214
4,amp180_freq10,180,10,A_dHPC_32-63,32,-22.843032836914062,5.679656982421875,-1.8189569590141386
4,amp180_freq10,180,10,A_dHPC_64-95,32,-17.980621337890625,43.0333251953125,-0.30683346271809964
4,amp180_freq10,180,10,A_dHPC_96-127,31,-56.10088348388672,-22.823211669921875,-1.6963341024477439
4,amp180_freq10,180,10,B_LEC_128-191,51,0.3853912353515625,9.276962280273438,0.7009855656202102
4,amp180_freq10,180,10,B_LEC_192-255,32,-0.7598342895507812,4.4208984375,0.06822882462980104
5,amp180_freq5,180,5,A_dHPC_0-31,32,-9.0211181640625,-38.68656921386719,-0.3963761804345464
5,amp180_freq5,180,5,A_dHPC_32-63,32,28.044876098632812,38.2572021484375,-0.8748583316947419
5,amp180_freq5,180,5,A_dHPC_64-95,32,-9.924819946289062,11.741455078125,-1.3841857190352778
5,amp180_freq5,180,5,A_dHPC_96-127,31,14.016098022460938,33.0172119140625,1.029299994269689
5,amp180_freq5,180,5,B_LEC_128-191,51,3.9629135131835938,24.494728088378906,1.166007794826854
5,amp180_freq5,180,5,B_LEC_192-255,32,-18.41253662109375,-23.380510330200195,-1.3877774568981698
6,amp250_freq26,250,26,A_dHPC_0-31,32,-20.09088134765625,-2.706878662109375,-1.0986136158321083
6,amp250_freq26,250,26,A_dHPC_32-63,32,16.307815551757812,20.23638916015625,2.1467198780175805
6,amp250_freq26,250,26,A_dHPC_64-95,32,12.251754760742188,-50.89814758300781,-0.20434778674482726
6,amp250_freq26,250,26,A_dHPC_96-127,31,16.49211883544922,45.39350128173828,0.11006517842343988
