condition,amplitude,frequency,channel,shank,n_trials,pre_abs_lfp,onset_abs_lfp,sustained_abs_lfp,offset_abs_lfp,recovery_abs_lfp,onset_minus_pre_abs_lfp,sustained_minus_pre_abs_lfp,offset_minus_pre_abs_lfp,recovery_minus_pre_abs_lfp
amp100_freq26,100,26,28,Section 4 (0-31),100,1209.478271484375,1259.427490234375,1235.46875,1236.6839599609375,1246.906494140625,49.94921875,25.990478515625,27.2056884765625,37.42822265625
amp100_freq26,100,26,29,Section 4 (0-31),100,1532.0372314453125,1588.216796875,1571.9720458984375,1565.37841796875,1583.3802490234375,56.1795654296875,39.934814453125,33.3411865234375,51.343017578125
amp100_freq26,100,26,30,Section 4 (0-31),100,1557.2335205078125,1611.9720458984375,1595.4801025390625,1587.2633056640625,1607.498779296875,54.738525390625,38.24658203125,30.02978515625,50.2652587890625
amp100_freq26,100,26,31,Section 4 (0-31),100,1529.869140625,1588.4361572265625,1564.5941162109375,1553.4783935546875,1575.8992919921875,58.5670166015625,34.7249755859375,23.6092529296875,46.0301513671875
amp100_freq26,100,26,32,Section 3 (32-63),100,1802.9490966796875,1872.469482421875,1831.716796875,1896.8172607421875,1841.6400146484375,69.5203857421875,28.7677001953125,93.8681640625,38.69091796875
amp100_freq26,100,26,33,Section 3 (32-63),100,1842.79833984375,1902.6656494140625,1874.5712890625,1931.4769287109375,1888.3076171875,59.8673095703125,31.77294921875,88.6785888671875,45.50927734375
amp100_freq26,100,26,34,Section 3 (32-63),100,1787.4044189453125,1837.4237060546875,1815.046630859375,1862.0458984375,1832.96337890625,50.019287109375,27.6422119140625,74.6414794921875,45.5589599609375
amp100_freq26,100,26,35,Section 3 (32-63),100,1710.1583251953125,1752.37841796875,1731.974365234375,1768.108642578125,1751.02978515625,42.2200927734375,21.8160400390625,57.9503173828125,40.8714599609375
amp100_freq26,100,26,36,Section 3 (32-63),100,1635.6787109375,1673.5601806640625,1652.559326171875,1683.7872314453125,1672.2203369140625,37.8814697265625,16.880615234375,48.1085205078125,36.5416259765625
amp100_freq26,100,26,37,Section 3 (32-63),100,1573.8216552734375,1613.344970703125,1589.46142578125,1619.579833984375,1609.7091064453125,39.5233154296875,15.6397705078125,45.7581787109375,35.887451171875
amp100_freq26,100,26,38,Section 3 (32-63),100,1542.255859375,1584.0201416015625,1556.7164306640625,1589.3939208984375,1576.3697509765625,41.7642822265625,14.4605712890625,47.1380615234375,34.1138916015625
