condition,amplitude,frequency,n_trials,on_delta_slope_per_trial,on_delta_slope_per_100_trials,on_delta_pvalue,on_delta_rvalue,off_delta_slope_per_trial,off_delta_slope_per_100_trials,off_delta_pvalue,off_delta_rvalue,on_minus_off_slope_per_trial,on_minus_off_slope_per_100_trials,on_minus_off_pvalue,on_minus_off_rvalue
amp100_freq5,100,5,200,-0.011909891699948294,-1.1909891699948294,0.7000285736546034,-0.027410232676503075,-0.029471093238140653,-2.9471093238140655,0.38775943317152917,-0.061399155861553346,0.017561201538192375,1.7561201538192375,0.522581222874017,0.045472026130382016
amp180_freq5,180,5,200,0.044268073862309895,4.42680738623099,0.11798908162228815,0.11089376685466126,0.04071089920858976,4.0710899208589755,0.1969824601224913,0.0916129262887707,0.003557174653720132,0.3557174653720132,0.8923943073974289,0.009625511423259658
amp250_freq5,250,5,200,-0.018642962441992414,-1.8642962441992414,0.5711244473026131,-0.04028651591050395,-0.012723187989224657,-1.2723187989224658,0.7079751119360466,-0.02664892241480319,-0.005919774452767764,-0.5919774452767764,0.8048495728501074,-0.01757973673179441
amp100_freq10,100,10,200,-0.05491359007031015,-5.491359007031015,0.05873749192042297,-0.13389082906645283,-0.014299299320509065,-1.4299299320509065,0.6576541078031449,-0.03152555614943297,-0.04061429074980109,-4.061429074980109,0.10612845145314366,-0.11459886679650026
amp180_freq10,180,10,200,0.025902424752734597,2.5902424752734596,0.4313059785552277,0.0559534985589856,0.05456680098862442,5.456680098862441,0.11307893863037612,0.11239058605394596,-0.02866437623588982,-2.866437623588982,0.2795346646512426,-0.07683257366087844
amp250_freq10,250,10,200,0.018653116772903752,1.8653116772903753,0.5336192994162001,0.04427264828493598,0.04484546096978383,4.4845460969783835,0.16414091500599717,0.09875662153399488,-0.026192344196880074,-2.6192344196880075,0.30632884112262504,-0.07269378490058337
amp100_freq26,100,26,200,-0.017671232525833067,-1.7671232525833067,0.5846641860507282,-0.03887843907334398,0.015676721956358018,1.5676721956358017,0.625483185762746,0.034720686864544624,-0.03334795448219107,-3.334795448219107,0.19295297942780498,-0.09243991609427311
amp180_freq26,180,26,200,-0.05347227059291862,-5.347227059291862,0.06445727186797451,-0.13100142425504924,-0.006464695795651877,-0.6464695795651877,0.8246138510385058,-0.01576838720144548,-0.04700757479726675,-4.700757479726675,0.026686911415037432,-0.15671240624557495
amp250_freq26,250,26,200,-0.0387891497581362,-3.87891497581362,0.2163171949767542,-0.08780671059139183,0.01814235071596012,1.8142350715960118,0.5846270847620885,0.03888227660401981,-0.05693150047409632,-5.693150047409632,0.0028772159276855645,-0.20972307986643943
amp100_freq50,100,50,200,-0.08013501620184776,-8.013501620184776,0.007198162361064377,-0.18950017623005005,-0.03983270566032339,-3.983270566032339,0.21551878930208312,-0.08795893678139295,-0.040302310541524375,-4.030231054152438,0.09227861871581948,-0.1193635325084247
amp180_freq50,180,50,200,-0.018691929553955162,-1.8691929553955162,0.5589448350811761,-0.04156666836323991,0.00955996872767851,0.955996872767851,0.7710118013641577,0.02070805284019888,-0.02825189828163367,-2.8251898281633667,0.18538637675760497,-0.09402754542223937
amp250_freq50,250,50,200,-0.04742168276043945,-4.7421682760439445,0.08260662085277028,-0.12304106387251734,-0.04660136567744296,-4.6601365677442965,0.15572095097502117,-0.10075757653099976,-0.0008203170829965008,-0.08203170829965008,0.9692579816103458,-0.0027422986458132802
