trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
63,amp100_freq10,100,10,3158.780025,3161.780025,3158.780025,3161.780025,3161.780025,3164.780025
64,amp100_freq10,100,10,3164.780025,3167.780025,3164.780025,3167.780025,3167.780025,3170.780025
65,amp100_freq10,100,10,3170.780025,3173.780025,3170.780025,3173.780025,3173.780025,3176.780025
66,amp180_freq5,180,5,3176.780025,3179.780025,3176.780025,3179.780025,3179.780025,3182.780025
67,amp180_freq10,180,10,3182.780025,3185.780025,3182.780025,3185.780025,3185.780025,3188.780025
68,amp180_freq26,180,26,3188.780025,3191.780025,3188.780025,3191.780025,3191.780025,3194.780025
69,amp250_freq50,250,50,3194.780025,3197.780025,3194.780025,3197.780025,3197.780025,3200.780025
70,amp250_freq10,250,10,3200.780025,3203.780025,3200.780025,3203.780025,3203.780025,3206.780025
71,amp180_freq5,180,5,3206.780025,3209.780025,3206.780025,3209.780025,3209.780025,3212.780025
72,amp250_freq50,250,50,3212.780025,3215.780025,3212.780025,3215.780025,3215.780025,3218.780025
73,amp180_freq5,180,5,3218.780025,3221.780025,3218.780025,3221.780025,3221.780025,3224.780025
74,amp180_freq10,180,10,3224.780025,3227.780025,3224.780025,3227.780025,3227.780025,3230.780025
75,amp100_freq50,100,50,3230.780025,3233.780025,3230.780025,3233.780025,3233.780025,3236.780025
76,amp180_freq50,180,50,3236.780025,3239.780025,3236.780025,3239.780025,3239.780025,3242.780025
77,amp100_freq26,100,26,3242.780025,3245.780025,3242.780025,3245.780025,3245.780025,3248.780025
78,amp180_freq5,180,5,3248.780025,3251.780025,3248.780025,3251.780025,3251.780025,3254.780025
79,amp180_freq5,180,5,3254.780025,3257.780025,3254.780025,3257.780025,3257.780025,3260.780025
80,amp100_freq10,100,10,3260.780025,3263.780025,3260.780025,3263.780025,3263.780025,3266.780025
81,amp250_freq10,250,10,3266.780025,3269.780025,3266.780025,3269.780025,3269.780025,3272.780025
82,amp180_freq26,180,26,3272.780025,3275.780025,3272.780025,3275.780025,3275.780025,3278.780025
83,amp180_freq5,180,5,3278.780025,3281.780025,3278.780025,3281.780025,3281.780025,3284.780025
84,amp180_freq10,180,10,3284.780025,3287.780025,3284.780025,3287.780025,3287.780025,3290.780025
85,amp180_freq50,180,50,3290.780025,3293.780025,3290.780025,3293.780025,3293.780025,3296.780025
86,amp180_freq10,180,10,3296.780025,3299.780025,3296.780025,3299.780025,3299.780025,3302.780025
87,amp250_freq26,250,26,3302.780025,3305.780025,3302.780025,3305.780025,3305.780025,3308.780025
88,amp100_freq26,100,26,3308.780025,3311.780025,3308.780025,3311.780025,3311.780025,3314.780025
