condition,amplitude,frequency,physical_shank,n_channels,driven_log2_power_change,five_hz_log2_power_change,twenty_six_hz_log2_power_change
amp100_freq26,100,26,Physical Shank A (0-63),64,0.0023677136804328034,0.1401667767634306,0.0023677136804328034
amp100_freq26,100,26,Physical Shank B (64-127),64,-0.032166781249867285,0.14831018378741642,-0.032166781249867285
amp100_freq5,100,5,Physical Shank A (0-63),64,-0.09751398108196535,-0.09751398108196535,-0.11252684897795853
amp100_freq5,100,5,Physical Shank B (64-127),64,-0.06902097942612936,-0.06902097942612936,-0.10123439010546065
amp180_freq26,180,26,Physical Shank A (0-63),64,-0.042441056070476504,0.04498925511944904,-0.042441056070476504
amp180_freq26,180,26,Physical Shank B (64-127),64,-0.07609300084505058,0.022788018590149874,-0.07609300084505058
amp180_freq5,180,5,Physical Shank A (0-63),64,0.1341647603117531,0.1341647603117531,-0.07621525332777174
amp180_freq5,180,5,Physical Shank B (64-127),64,0.13564897277546886,0.13564897277546886,-0.07683609515317698
amp250_freq26,250,26,Physical Shank A (0-63),64,-0.15350171084740233,0.0391294301444692,-0.15350171084740233
amp250_freq26,250,26,Physical Shank B (64-127),64,-0.14072164827015865,0.0706049938915723,-0.14072164827015865
amp250_freq5,250,5,Physical Shank A (0-63),64,-0.039864179033486165,-0.039864179033486165,-0.16055220882109503
amp250_freq5,250,5,Physical Shank B (64-127),64,-0.07445308624946571,-0.07445308624946571,-0.17536377794998176
