dataset,cluster_id,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,firing_rate_hz,refractory_pct,burst_pct,cv2,cell_type,type_posterior,narrow_by_litcut,on50_minus_base_hz
dec3_dHPC,0,0,0.7,0.3,0.1152644497753357,8.089768614260619,0.15213099523864823,0.6201370340262455,0.9068821778071405,pyramidal-like,0.9999622298810084,False,
dec3_dHPC,9,7,0.35,0.25,0.23086764810201876,23.90592340615982,0.624449823943662,21.940235160965795,0.922446641371196,interneuron-like,0.9658355490370446,True,
dec3_dHPC,21,11,0.45,0.25,0.1207103401744021,9.102692459053479,0.5191347066837304,3.027081699211493,0.7876871681134642,interneuron-like,0.8260504737877525,True,
dec3_dHPC,23,12,0.8,0.25,0.06797787864305593,1.2789784105926543,0.05142143539263939,32.26327774921031,1.1775103204500175,pyramidal-like,0.9999999999999958,False,
dec3_dHPC,76,51,0.65,0.2,0.14084518655825276,10.163340781044889,0.5398310254940748,2.6196594627572054,0.9631290074941901,pyramidal-like,0.9988474981332957,False,
dec3_dHPC,80,54,0.55,0.3,0.16679932926894353,12.876871882231772,0.22689799074898223,2.7665504209650824,0.9387534704358268,pyramidal-like,0.8470103041645487,False,
dec3_dHPC,101,72,0.95,0.45,0.06204093587899378,1.8702734095841458,0.24614457226101372,4.510976038579394,1.1358936683896121,pyramidal-like,1.0,False,
dec3_dHPC,102,72,0.3,0.2,0.23213874443687596,18.80654422833043,0.7493106342165208,14.760919953642649,0.955380924198274,interneuron-like,0.9924903400200601,True,
dec3_dHPC,110,76,0.8,0.25,0.059647453343858396,0.41242215531818366,0.11392116655274549,21.02984734563682,1.2885005940068723,pyramidal-like,1.0,False,
dec3_dHPC,111,76,0.75,0.3,0.0937233222393217,1.95783091499566,0.019194779020106533,18.21104659532607,1.1651066099937544,pyramidal-like,0.9999999999626417,False,
dec3_dHPC,112,75,0.3,0.2,0.15378631988772062,10.467161566989994,0.1992532490845121,10.727364112874273,0.9450271697687763,interneuron-like,0.9947456652398653,True,
dec3_dHPC,118,77,0.65,0.2,0.11743113608624622,0.8820573157818739,0.05325948018747337,13.55986365573072,1.2035694823474374,pyramidal-like,0.9999999999997389,False,
dec3_dHPC,119,77,0.8,0.15,0.06937373312284306,1.1454813985864722,0.09842519685039369,15.378937007874017,1.252959816893241,pyramidal-like,0.9999999999999991,False,
dec3_dHPC,120,77,0.7,0.15,0.07443526419154295,2.324971184467975,0.29902614458318183,12.324726229441954,1.237636654870162,pyramidal-like,0.9999999935248205,False,
