channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto,max_noise_rz
25,1593.7627,1099.5,9450.5,8437.0,0.000425,0.0,31.5,0.7897957326660417,1.0394938353765324,0.6750776260168507,-6.5762750625,0.1845628555254286,,False,6.5762750625
28,1596.4214,1101.75,9430.0,8433.0,0.000375,0.0,31.5,0.7937404568953891,1.0448094288528895,0.6697214223077668,-6.5762750625,0.1837720130807562,,False,6.5762750625
62,1978.1399,1229.0,12988.0,14828.0,0.000325,0.0,32.0,1.3600996196451494,1.3454357710157618,1.5993493636209568,-6.407652625,1.4481313715008062,,False,6.407652625
24,1593.8362,1101.0,9439.5,8405.0,0.000375,0.0,32.0,0.7899047649886344,1.0430375643607706,0.6722035654900252,-6.407652625,0.1782361159680492,,False,6.407652625
26,1595.3232,1103.0,9440.0,8430.0,0.000425,0.0,32.0,0.7921111300282078,1.047762536339755,0.6723342046048809,-6.407652625,0.1831788812472519,,False,6.407652625
27,1590.5985,1095.5,9426.5,8404.0,0.000375,0.0,32.0,0.7851010037060366,1.030043891418564,0.6688069485037769,-6.407652625,0.1780384053568811,,False,6.407652625
75,696.42554,472.0,3858.5,4009.0,0.00085,0.0,33.0,-0.5415914383070033,-0.4429661230297723,-0.7859902345293435,-6.07040775,-0.690899730726953,,False,6.07040775
70,687.88025,461.25,3878.0,4301.0,0.00115,0.0,33.0,-0.5542701587031006,-0.4683628474168126,-0.780895309049971,-6.07040775,-0.6331682322658654,,False,6.07040775
69,734.61774,485.5,4066.5,4458.0,0.000975,0.0,33.0,-0.4849253298589772,-0.4110725621716287,-0.7316443627493705,-6.07040775,-0.6021276663124725,,False,6.07040775
63,1979.2305,1222.5,13014.0,14832.0,0.00035,0.0,33.0,1.3617177172698045,1.330079612084063,1.6061425975934536,-6.07040775,1.4489222139454785,,False,6.07040775
74,674.0536,471.0,3743.0,3954.0,0.0009,0.0,33.0,-0.574784898097486,-0.4453286090192644,-0.8161678700610111,-6.07040775,-0.7017738143411989,,False,6.07040775
89,243.43542,161.5,1429.5,1390.0,0.00275,0.0,33.0,-1.2136969212759572,-1.1765180227670753,-1.4206350544983537,-6.07040775,-1.2087038213762271,,False,6.07040775
90,261.91788,180.0,1488.5,1327.0,0.00195,0.0,33.0,-1.186274341280637,-1.1328120319614712,-1.4052196389453806,-6.07040775,-1.2211595898798182,,False,6.07040775
91,315.78232,217.0,1785.0,1631.0,0.001925,0.0,33.0,-1.1063551883131797,-1.0454000503502627,-1.327750643835948,-6.07040775,-1.1610555640847136,,False,6.07040775
92,422.5301,291.5,2361.0,2377.0,0.0013,0.0,33.0,-0.947972563499124,-0.8693948441330999,-1.177254383522177,-6.07040775,-1.013563448153305,,False,6.07040775
64,1972.3792,1223.75,12921.0,14772.0,0.00035,0.0,34.0,1.3515523549146002,1.3330327195709282,1.5818437222302923,-5.733162875,1.437059577275392,,False,5.733162875
88,311.02087,187.0,1946.5,1883.0,0.0018,0.0,37.0,-1.1134197855174433,-1.116274630035026,-1.2855542097375556,-4.72142825,-1.1112324900703503,,False,4.72142825
80,397.8356,268.0,2553.5,1957.0,0.001475,0.0,37.0,-0.9846119970898188,-0.9249132648861648,-1.126958324302731,-4.72142825,-1.0966019048439104,,False,4.72142825
76,1037.9683,654.5,5849.5,7144.0,0.00075,0.0,37.0,-0.0348414416896025,-0.0118124299474605,-0.2657852791739299,-4.72142825,-0.0710769647149347,,False,4.72142825
68,1114.5422,737.5,6379.5,8102.0,0.000525,0.0,37.0,0.0787720496200483,0.1842739071803852,-0.1273078174268836,-4.72142825,0.1183298007841125,,False,4.72142825
79,736.9823,449.5,4287.5,4767.0,0.0008,0.0,37.5,-0.4814170065952227,-0.4961220577933449,-0.6739018739831494,-4.5528058125,-0.5410350874615272,,False,4.5528058125
73,958.08563,647.5,5626.0,6567.0,0.000525,0.0,37.5,-0.1533640137097375,-0.0283498318739054,-0.3241809635144296,-4.5528058125,-0.185155987358933,,False,4.5528058125
93,652.708,403.0,3806.0,4216.0,0.00085,0.0,38.0,-0.6064555277079708,-0.6059776563047286,-0.7997073415891923,-4.384183375,-0.6499736342151546,,False,4.384183375
71,969.4281,662.75,5605.0,6547.0,0.00055,0.0,38.0,-0.1365350920577458,0.0076780794658493,-0.3296678063383692,-4.384183375,-0.1891101995822951,,False,4.384183375
5,2352.9092,1381.5,15337.0,19580.0,0.00035,0.0,52.5,1.9161481643541247,1.70571488441331,2.213091925213054,0.5058673124999999,2.3876521957716546,,False,2.3876521957716546
