cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
79,amp250_freq50,200,18.69,12.448333333333334,6.241666666666667,1.5932611042759626,4.333333333333333,3.917541606906367,0.00012292755932075906,0.006986249060368039,mua,99.2,12.9,False,ON>OFF,True
40,amp250_freq50,200,12.49,9.043333333333333,3.4466666666666663,1.0798454094542305,2.666666666666667,3.1918148991425186,0.0016432507599312362,0.026121284807218613,mua,86.7,12.4,False,ON>OFF,True
55,amp250_freq50,200,9.903333333333332,6.625,3.2783333333333338,0.9504378417395892,1.6666666666666667,3.4492874645363347,0.000686060200077328,0.014821692930797312,mua,106.2,11.6,False,ON>OFF,True
56,amp250_freq50,200,11.285,8.181666666666667,3.1033333333333335,1.0844991536620443,2.0,2.861535966030275,0.004666546911262693,0.05599856293515231,mua,100.7,10.6,False,ON>OFF,False
79,amp180_freq26,200,11.033333333333335,8.015,3.0183333333333335,1.4166852841421262,0.3333333333333335,2.1305602360097113,0.03435301615073578,0.20118704195454828,mua,99.2,12.9,False,ON>OFF,False
79,amp100_freq50,200,8.478333333333332,5.651666666666666,2.826666666666666,1.0286541271160248,1.0,2.7479272110554986,0.006548461507742112,0.07490950360258267,mua,99.2,12.9,False,ON>OFF,False
78,amp250_freq50,200,10.531666666666665,7.735,2.7966666666666664,0.9379188325543303,2.1666666666666683,2.9817789872607823,0.003223633147152927,0.041533968127528235,mua,118.5,11.9,False,ON>OFF,True
84,amp250_freq50,200,9.885,7.221666666666667,2.663333333333333,0.7791210025225528,2.166666666666666,3.418382157213429,0.0007639807487265229,0.015223961954978075,mua,126.8,12.8,False,ON>OFF,True
79,amp180_freq5,200,9.27,6.686666666666667,2.583333333333333,1.3839588099782305,0.0,1.8666258812818053,0.0634247998629454,0.2578338670895179,mua,99.2,12.9,False,ON>OFF,False
92,amp250_freq50,200,8.616666666666667,6.103333333333333,2.5133333333333336,0.7046065226484878,1.9999999999999996,3.5670026497713514,0.0004523489274746414,0.011534897650603356,mua,125.3,11.3,False,ON>OFF,True
79,amp250_freq10,200,10.651666666666667,8.215,2.436666666666667,1.33684084296498,0.6666666666666667,1.8227051331423887,0.06984878935414496,0.26940739002852615,mua,99.2,12.9,False,ON>OFF,False
79,amp250_freq5,200,7.65,5.296666666666668,2.353333333333333,1.2291673040341307,0.33333333333333304,1.9145752784097712,0.05698101910044834,0.24471848203139918,mua,99.2,12.9,False,ON>OFF,False
47,amp250_freq50,200,8.821666666666667,6.506666666666666,2.315,0.7871922750088522,1.666666666666667,2.9408317046479744,0.0036611584348908576,0.04619853530212793,mua,102.5,10.4,False,ON>OFF,True
82,amp180_freq50,200,19.698333333333334,21.988333333333333,-2.29,0.6045994839671965,-2.333333333333332,-3.787631416708664,0.00020139123140147335,0.008500098870186323,good,2.4,12.5,True,ON<OFF,True
87,amp250_freq50,200,8.598333333333334,6.456666666666667,2.141666666666667,0.26861139187246463,1.8333333333333335,7.973104385995363,1.1867811136151801e-13,7.263100415324902e-11,good,15.9,12.4,True,ON>OFF,True
56,amp180_freq26,200,7.168333333333333,5.153333333333332,2.015,1.0121327011267431,0.3333333333333333,1.9908456645623922,0.04786610279758527,0.23078286745110937,mua,100.7,10.6,False,ON>OFF,False
39,amp250_freq50,200,7.42,5.426666666666666,1.9933333333333332,0.6106397044803784,1.6666666666666667,3.264336266881881,0.001291628106741966,0.02258504003788809,mua,125.1,13.0,False,ON>OFF,True
72,amp250_freq50,200,3.663333333333333,5.64,-1.9766666666666668,0.2068280290785245,-2.333333333333333,-9.557054116278428,4.7376098132682335e-18,5.798834411440318e-15,mua,24.3,13.1,False,ON<OFF,True
40,amp100_freq50,200,6.126666666666668,4.236666666666666,1.8900000000000003,0.7009927952120051,0.6666666666666666,2.6961760704379243,0.007614894613571263,0.07849789203342913,mua,86.7,12.4,False,ON>OFF,False
46,amp250_freq50,200,5.381666666666668,3.501666666666667,1.88,0.4643940835970623,1.3333333333333333,4.048285855491663,7.385536154333779e-05,0.006637400065661777,mua,125.4,10.7,False,ON>OFF,True
56,amp180_freq5,200,6.141666666666667,4.265,1.8766666666666665,1.0021314804892643,0.0,1.8726750962363077,0.06257982231044217,0.2561796070501044,mua,100.7,10.6,False,ON>OFF,False
55,amp180_freq26,200,5.836666666666666,4.065,1.7716666666666665,0.8176602423471079,0.3333333333333333,2.1667516346166797,0.03144198674868235,0.19063894092903197,mua,106.2,11.6,False,ON>OFF,False
40,amp180_freq26,200,7.668333333333333,5.925,1.7433333333333334,0.9264091986536424,0.33333333333333337,1.881817814273577,0.06132054924766105,0.2535687576997876,mua,86.7,12.4,False,ON>OFF,False
40,amp180_freq5,200,6.578333333333334,4.863333333333333,1.7149999999999996,0.9359689918246089,0.0,1.8323256592686068,0.06839744499400223,0.26744692291628586,mua,86.7,12.4,False,ON>OFF,False
40,amp250_freq10,200,7.795,6.1,1.695,0.9087169444903054,0.3333333333333335,1.8652672983342649,0.06361587243548562,0.2578338670895179,mua,86.7,12.4,False,ON>OFF,False
56,amp250_freq10,200,7.158333333333332,5.476666666666667,1.6816666666666666,1.0036874990536448,0.33333333333333337,1.6754883051271174,0.09540899846033864,0.3182033082164973,mua,100.7,10.6,False,ON>OFF,False
32,amp250_freq50,200,5.736666666666667,4.066666666666666,1.67,0.5077346475884909,1.0,3.2891196374557894,0.0011884785261936609,0.021245961844660877,mua,138.1,10.4,False,ON>OFF,True
40,amp250_freq5,200,5.718333333333334,4.05,1.6683333333333334,0.8226874344125894,0.33333333333333337,2.027906667280688,0.043902888137403034,0.22298292884473306,mua,86.7,12.4,False,ON>OFF,False
1,amp250_freq50,200,5.191666666666667,3.53,1.6616666666666666,0.6178007024796639,0.6666666666666667,2.6896483930776425,0.0077600040327164424,0.07849789203342913,mua,113.9,12.2,False,ON>OFF,False
78,amp180_freq5,200,5.48,3.8216666666666668,1.6583333333333334,0.7840268767684269,0.33333333333333326,2.1151485777740056,0.035661400442614836,0.20589412331019133,mua,118.5,11.9,False,ON>OFF,False
55,amp180_freq5,200,5.2266666666666675,3.5733333333333337,1.653333333333333,0.92817081448398,0.0,1.7812813197024624,0.07639174028492714,0.28217407260511385,mua,106.2,11.6,False,ON>OFF,False
92,amp180_freq26,200,5.533333333333332,3.913333333333333,1.62,0.6757919852811101,0.33333333333333326,2.3971873524456297,0.017446239318878638,0.13515314510321172,mua,125.3,11.3,False,ON>OFF,False
82,amp250_freq10,200,22.868333333333336,21.26833333333333,1.6,0.6305501749832543,1.5000000000000009,2.5374665862910777,0.011932257985533342,0.10739032186980009,good,2.4,12.5,True,ON>OFF,False
