cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
59,61,18920,28593,0.5003117322921753,51,59.66,0.85,0.0027,separate
61,62,28593,28997,0.5657252073287964,77,91.43,0.84,0.0027,separate
41,42,29275,30083,0.5664809942245483,77,97.12,0.79,0.0026,separate
23,25,24770,23239,0.5468866229057312,60,63.48,0.95,0.0026,separate
16,19,13461,16539,0.4091089367866516,31,24.55,1.26,0.0023,separate
53,54,16051,18995,0.5241538882255554,35,33.62,1.04,0.0022,separate
30,35,7971,26062,0.437000572681427,16,22.91,0.7,0.002,separate
73,74,12637,1979,0.6109195947647095,4,2.76,1.45,0.002,separate
85,88,20159,8036,0.9523221254348755,15,17.87,0.84,0.0019,separate
44,45,24800,23233,0.5788898468017578,43,63.54,0.68,0.0019,separate
59,60,18920,19235,0.5441303849220276,35,40.13,0.87,0.0018,separate
96,97,17004,18017,0.5731959342956543,29,33.79,0.86,0.0017,separate
85,91,20159,4586,0.2606554925441742,8,10.2,0.78,0.0017,separate
18,21,20137,22336,0.5694148540496826,31,49.6,0.62,0.0015,separate
34,35,25362,26062,0.579085111618042,36,72.89,0.49,0.0014,separate
28,34,8481,25362,0.4757612347602844,12,23.72,0.51,0.0014,separate
17,20,13817,15082,0.4087267816066742,16,22.98,0.7,0.0012,separate
76,77,10073,11804,0.7184165716171265,12,13.11,0.92,0.0012,separate
91,97,4586,18017,0.10545451939105988,5,9.11,0.55,0.0011,separate
19,20,16539,15082,0.5783101916313171,16,27.51,0.58,0.0011,separate
67,68,13463,13317,0.5719329714775085,13,19.77,0.66,0.001,separate
28,30,8481,7971,0.5637857913970947,7,7.46,0.94,0.0009,separate
16,17,13461,13817,0.5479410290718079,12,20.51,0.59,0.0009,separate
74,77,1979,11804,0.6001352071762085,1,2.58,0.39,0.0005,separate
74,76,1979,10073,0.9594197273254395,1,2.2,0.45,0.0005,separate
