condition,n_trials,corr_n_edges_vs_sustained_broadband_delta,corr_first_edge_ms_vs_sustained_broadband_delta,corr_n_edges_vs_offset_broadband_delta,corr_first_edge_ms_vs_offset_broadband_delta,corr_n_edges_vs_driven_power_log2_delta,corr_first_edge_ms_vs_driven_power_log2_delta
amp100_freq26,200,-0.02896503092604334,0.021128575841315837,-0.002407319085944419,-0.02100111503448389,-0.035153420854463255,-0.1015481592628705
amp100_freq5,200,0.013788033454920027,-0.08267703084669527,-0.04565640925780983,-0.048313730447263045,-0.03310835813353055,-0.010418109877868596
amp180_freq26,200,0.16056982328006866,0.051873762872028904,0.07079684489925334,0.01738627387464172,0.12598804302907055,0.014653352023006563
amp180_freq5,200,0.09117420104822521,-0.08874667054301637,-0.01983864378907857,0.012599922022555912,0.05439544091026892,-0.06185788999941033
amp250_freq26,200,-0.15194533439454092,-0.07810738133617696,-0.1374253175279741,0.039444183713479325,-0.05278610797417477,-0.16468419046442226
amp250_freq5,200,-0.012841151091504993,0.04332548621684716,0.00039728254811782743,-0.034335267103677715,0.06259950259802426,0.006635734272860333
