condition,amplitude,frequency,trial_number,on_delta,off_delta,on_minus_off,condition_repeat_index,condition_repeat_fraction,epoch
amp180_freq5,180,5,1,-12.710184097290039,-11.82284164428711,-0.8873424530029297,1,0.0,early
amp250_freq5,250,5,2,-6.182649612426758,13.471700668334961,-19.65435028076172,1,0.0,early
amp180_freq5,180,5,3,-13.230998992919922,-0.9287643432617188,-12.302234649658203,2,0.005025125628140704,early
amp250_freq5,250,5,4,-0.5255832672119143,-7.85328483581543,7.327701568603516,2,0.005025125628140704,early
amp250_freq5,250,5,5,-8.461868286132812,-4.922868728637695,-3.538999557495117,3,0.010050251256281407,early
amp250_freq26,250,26,6,3.9163818359374996,-15.222282409667969,19.13866424560547,1,0.0,early
amp250_freq26,250,26,7,15.83940315246582,16.811912536621094,-0.972509384155273,2,0.005025125628140704,early
amp180_freq26,180,26,8,34.29546928405762,28.846084594726562,5.449384689331055,1,0.0,early
amp250_freq5,250,5,9,9.304563522338867,0.3109855651855469,8.99357795715332,4,0.01507537688442211,early
amp250_freq26,250,26,10,3.0024795532226562,-17.559228897094727,20.561708450317383,3,0.010050251256281407,early
amp180_freq5,180,5,11,16.62904167175293,5.226184844970703,11.402856826782227,3,0.010050251256281407,early
amp100_freq5,100,5,12,-16.942548751831055,-17.34356117248535,0.4010124206542969,1,0.0,early
amp100_freq5,100,5,13,-5.834033966064453,5.376073837280273,-11.210107803344727,2,0.005025125628140704,early
amp100_freq26,100,26,14,-4.303462982177734,0.02867889404296875,-4.332141876220703,1,0.0,early
amp100_freq26,100,26,15,-10.74583435058594,2.998016357421875,-13.743850708007812,2,0.005025125628140704,early
amp180_freq26,180,26,16,-5.414112091064453,-15.048913955688477,9.634801864624023,2,0.005025125628140704,early
amp180_freq5,180,5,17,-5.510835647583007,-18.179410934448242,12.668575286865234,4,0.01507537688442211,early
amp100_freq5,100,5,18,18.318880081176758,37.24810028076172,-18.92922019958496,3,0.010050251256281407,early
amp250_freq26,250,26,19,-17.65054702758789,-12.66827392578125,-4.982273101806641,4,0.01507537688442211,early
amp180_freq26,180,26,20,-0.5897865295410157,4.27470588684082,-4.864492416381836,3,0.010050251256281407,early
amp100_freq5,100,5,21,17.827993392944336,16.172548294067383,1.6554450988769531,4,0.01507537688442211,early
amp250_freq5,250,5,22,13.364105224609375,8.43218994140625,4.931915283203125,5,0.020100502512562814,early
amp180_freq5,180,5,23,-10.613969802856445,-34.90069007873535,24.286720275878906,5,0.020100502512562814,early
amp100_freq5,100,5,24,8.331338882446289,9.801319122314453,-1.4699802398681645,5,0.020100502512562814,early
amp250_freq26,250,26,25,31.27814292907715,23.215957641601562,8.062185287475586,5,0.020100502512562814,early
amp100_freq5,100,5,26,29.150897979736328,16.782941818237305,12.367956161499023,6,0.02512562814070352,early
amp100_freq5,100,5,27,3.096820831298828,-1.5427742004394531,4.639595031738281,7,0.03015075376884422,early
amp180_freq26,180,26,28,-14.583503723144531,-9.486873626708984,-5.096630096435547,4,0.01507537688442211,early
amp100_freq5,100,5,29,5.625356674194336,-3.1034088134765625,8.728765487670898,8,0.035175879396984924,early
amp180_freq26,180,26,30,27.989160537719727,29.11507797241211,-1.1259174346923828,5,0.020100502512562814,early
amp100_freq5,100,5,31,-3.3651981353759766,5.875946044921875,-9.241144180297852,9,0.04020100502512563,early
amp100_freq26,100,26,32,9.821846008300781,13.602602005004883,-3.780755996704102,3,0.010050251256281407,early
amp180_freq26,180,26,33,4.480779647827148,17.34759521484375,-12.866815567016602,6,0.02512562814070352,early
amp100_freq5,100,5,34,9.183399200439453,7.217750549316406,1.9656486511230469,10,0.04522613065326633,early
amp250_freq5,250,5,35,6.347404479980469,2.7235660552978516,3.623838424682617,6,0.02512562814070352,early
amp180_freq26,180,26,36,17.229923248291016,18.445270538330078,-1.2153472900390625,7,0.03015075376884422,early
amp180_freq26,180,26,37,-12.11807632446289,-20.187467575073242,8.069391250610352,8,0.035175879396984924,early
amp250_freq5,250,5,38,-43.2099666595459,-47.18709182739258,3.9771251678466797,7,0.03015075376884422,early
amp100_freq26,100,26,39,10.592805862426758,-7.557538986206055,18.150344848632812,4,0.01507537688442211,early
amp180_freq26,180,26,40,7.017702102661133,-2.6029891967773446,9.620691299438477,9,0.04020100502512563,early
amp180_freq26,180,26,41,7.486034393310547,-14.31452941894531,21.80056381225586,10,0.04522613065326633,early
amp180_freq26,180,26,42,10.74664306640625,12.834184646606445,-2.0875415802001953,11,0.05025125628140704,early
amp100_freq5,100,5,43,15.917013168334961,21.102087020874023,-5.1850738525390625,11,0.05025125628140704,early
amp180_freq26,180,26,44,22.09661865234375,19.697280883789062,2.3993377685546875,12,0.05527638190954774,early
amp180_freq5,180,5,45,-66.5743408203125,-54.32912063598633,-12.245220184326172,6,0.02512562814070352,early
amp100_freq5,100,5,46,22.479148864746094,14.436594009399414,8.04255485534668,12,0.05527638190954774,early
amp100_freq5,100,5,47,-26.154542922973633,-22.54476547241211,-3.6097774505615234,13,0.06030150753768844,early
amp100_freq5,100,5,48,9.729309082031252,29.844858169555664,-20.115549087524414,14,0.06532663316582915,early
amp100_freq5,100,5,49,-22.425594329833984,-4.631826400756836,-17.79376792907715,15,0.07035175879396985,early
amp250_freq5,250,5,50,-18.011629104614258,-19.39703369140625,1.3854045867919922,8,0.035175879396984924,early
amp180_freq26,180,26,51,25.76063346862793,9.444784164428711,16.31584930419922,13,0.06030150753768844,early
amp250_freq5,250,5,52,16.426908493041992,13.923128128051758,2.5037803649902344,9,0.04020100502512563,early
amp180_freq5,180,5,53,20.611892700195312,20.870132446289062,-0.25823974609375,7,0.03015075376884422,early
amp250_freq5,250,5,54,-23.104598999023438,-5.733736038208008,-17.37086296081543,10,0.04522613065326633,early
amp250_freq26,250,26,55,-24.059206008911133,0.7677974700927734,-24.827003479003906,6,0.02512562814070352,early
amp180_freq26,180,26,56,6.701498031616211,-14.054534912109375,20.756032943725586,14,0.06532663316582915,early
amp100_freq5,100,5,57,-3.1028976440429683,10.358682632446289,-13.461580276489258,16,0.07537688442211055,early
amp100_freq26,100,26,58,-4.546586990356445,-3.674211502075195,-0.8723754882812496,5,0.020100502512562814,early
amp100_freq5,100,5,59,26.678546905517578,46.12676811218262,-19.44822120666504,17,0.08040201005025126,early
amp180_freq5,180,5,60,16.340864181518555,23.567014694213867,-7.2261505126953125,8,0.035175879396984924,early
amp180_freq26,180,26,61,-11.991775512695312,-21.230947494506836,9.239171981811523,15,0.07035175879396985,early
amp250_freq5,250,5,62,-9.052228927612305,-28.234365463256836,19.18213653564453,11,0.05025125628140704,early
amp180_freq5,180,5,63,32.615936279296875,28.344392776489258,4.271543502807617,9,0.04020100502512563,early
amp100_freq26,100,26,64,15.596921920776367,12.393560409545898,3.2033615112304688,6,0.02512562814070352,early
amp250_freq5,250,5,65,-16.494415283203125,5.238965988159179,-21.733381271362305,12,0.05527638190954774,early
amp180_freq5,180,5,66,-34.06219291687012,-32.175331115722656,-1.886861801147461,10,0.04522613065326633,early
amp250_freq5,250,5,67,27.23373794555664,9.974874496459961,17.25886344909668,13,0.06030150753768844,early
amp100_freq26,100,26,68,11.34197235107422,-18.99292755126953,30.33489990234375,7,0.03015075376884422,early
amp100_freq26,100,26,69,40.13577842712402,6.733341217041016,33.40243721008301,8,0.035175879396984924,early
amp250_freq5,250,5,70,20.12178611755371,20.881153106689453,-0.7593669891357431,14,0.06532663316582915,early
amp100_freq26,100,26,71,-68.75053596496582,-75.08102035522461,6.330484390258789,9,0.04020100502512563,early
amp250_freq26,250,26,72,41.13538932800293,8.767454147338867,32.36793518066406,7,0.03015075376884422,early
amp250_freq5,250,5,73,49.80336952209473,35.57606315612793,14.227306365966797,15,0.07035175879396985,early
amp100_freq26,100,26,74,61.433523178100586,27.610139846801758,33.82338333129883,10,0.04522613065326633,early
amp180_freq26,180,26,75,7.9131431579589835,11.783000946044922,-3.8698577880859375,16,0.07537688442211055,early
amp100_freq26,100,26,76,25.398244857788086,-3.7749462127685547,29.17319107055664,11,0.05025125628140704,early
amp100_freq26,100,26,77,20.77804183959961,57.48967361450195,-36.711631774902344,12,0.05527638190954774,early
amp180_freq5,180,5,78,-13.448043823242188,-13.015434265136719,-0.43260955810546875,11,0.05025125628140704,early
amp100_freq26,100,26,79,36.51430320739746,21.662824630737305,14.851478576660156,13,0.06030150753768844,early
amp180_freq26,180,26,80,21.6552734375,19.6126651763916,2.0426082611083984,17,0.08040201005025126,early
amp250_freq5,250,5,81,14.361629486083984,14.382856369018555,-0.021226882934570312,16,0.07537688442211055,early
amp180_freq26,180,26,82,22.67113876342773,4.648372650146484,18.02276611328125,18,0.08542713567839195,early
amp100_freq5,100,5,83,-8.194540023803711,4.408672332763672,-12.603212356567383,18,0.08542713567839195,early
amp180_freq5,180,5,84,-26.614805221557617,-19.391494750976562,-7.223310470581054,12,0.05527638190954774,early
amp250_freq5,250,5,85,-3.7464828491210946,-11.272804260253906,7.5263214111328125,17,0.08040201005025126,early
amp180_freq26,180,26,86,17.7138729095459,35.874868392944336,-18.160995483398438,19,0.09045226130653267,early
amp100_freq26,100,26,87,-44.76961326599121,-59.14530944824219,14.375696182250977,14,0.06532663316582915,early
amp100_freq5,100,5,88,22.531551361083984,28.70833969116211,-6.176788330078125,19,0.09045226130653267,early
amp180_freq26,180,26,89,-26.616884231567383,-27.688329696655273,1.0714454650878888,20,0.09547738693467336,early
amp180_freq5,180,5,90,13.93954849243164,-4.359916687011719,18.29946517944336,13,0.06030150753768844,early
amp180_freq26,180,26,91,21.07926368713379,20.964618682861328,0.11464500427246183,21,0.10050251256281408,early
amp100_freq26,100,26,92,13.148738861083984,22.08523178100586,-8.936492919921875,15,0.07035175879396985,early
amp180_freq26,180,26,93,-3.3578414916992188,7.675682067871094,-11.033523559570312,22,0.10552763819095477,early
amp250_freq5,250,5,94,5.995384216308594,24.31515121459961,-18.319766998291016,18,0.08542713567839195,early
amp100_freq5,100,5,95,-7.208005905151367,-10.169145584106445,2.961139678955078,20,0.09547738693467336,early
amp100_freq26,100,26,96,21.80219078063965,60.42433547973633,-38.62214469909668,16,0.07537688442211055,early
amp250_freq5,250,5,97,-61.08574295043945,-58.973440170288086,-2.112302780151367,19,0.09045226130653267,early
amp250_freq5,250,5,98,-46.25627899169922,-52.54774856567383,6.291469573974609,20,0.09547738693467336,early
amp100_freq5,100,5,99,30.60306167602539,-12.28274154663086,42.88580322265625,21,0.10050251256281408,early
amp250_freq5,250,5,100,71.13209915161133,19.84963035583496,51.28246879577637,21,0.10050251256281408,early
amp180_freq26,180,26,101,18.94032859802246,18.785886764526367,0.15444183349609375,23,0.11055276381909548,early
amp100_freq5,100,5,102,-1.1916656494140625,16.354358673095703,-17.546024322509766,22,0.10552763819095477,early
amp100_freq26,100,26,103,-1.2641620635986328,-10.370014190673828,9.105852127075195,17,0.08040201005025126,early
amp100_freq26,100,26,104,12.289718627929688,11.136514663696289,1.1532039642333984,18,0.08542713567839195,early
amp100_freq26,100,26,105,-1.8474540710449219,-3.397298812866211,1.549844741821289,19,0.09045226130653267,early
amp180_freq26,180,26,106,5.961721420288086,8.382568359375,-2.420846939086914,24,0.11557788944723618,early
amp250_freq5,250,5,107,-11.054079055786133,-4.8406219482421875,-6.213457107543945,22,0.10552763819095477,early
amp180_freq5,180,5,108,-10.022367477416992,-13.08504867553711,3.062681198120117,14,0.06532663316582915,early
amp250_freq5,250,5,109,4.925569534301758,8.75452995300293,-3.828960418701172,23,0.11055276381909548,early
amp100_freq26,100,26,110,-4.720754623413085,-1.3030509948730464,-3.41770362854004,20,0.09547738693467336,early
amp250_freq5,250,5,111,-14.222082138061523,2.6540756225585938,-16.876157760620117,24,0.11557788944723618,early
amp250_freq5,250,5,112,2.6846446990966797,31.042285919189453,-28.357641220092773,25,0.12060301507537688,early
amp100_freq5,100,5,113,-33.485612869262695,-56.44539833068848,22.95978546142578,23,0.11055276381909548,early
amp250_freq5,250,5,114,-4.594869613647461,10.641218185424805,-15.236087799072266,26,0.12562814070351758,early
amp250_freq5,250,5,115,10.321870803833008,19.844619750976562,-9.522748947143555,27,0.1306532663316583,early
amp100_freq26,100,26,116,-53.856693267822266,-47.208431243896484,-6.648262023925781,21,0.10050251256281408,early
amp100_freq5,100,5,117,-7.755630493164062,-11.582744598388672,3.8271141052246094,24,0.11557788944723618,early
amp250_freq26,250,26,118,4.6118011474609375,-7.160711288452148,11.772512435913086,8,0.035175879396984924,early
amp250_freq26,250,26,119,8.070869445800781,12.597347259521486,-4.526477813720703,9,0.04020100502512563,early
amp100_freq5,100,5,120,2.2397327423095708,19.26869010925293,-17.02895736694336,25,0.12060301507537688,early
amp250_freq5,250,5,121,5.760704040527344,8.141641616821289,-2.3809375762939453,28,0.135678391959799,early
amp100_freq26,100,26,122,1.0328521728515625,13.216655731201172,-12.18380355834961,22,0.10552763819095477,early
amp250_freq5,250,5,123,-14.946455001831055,-14.854915618896484,-0.09153938293456987,29,0.1407035175879397,early
amp180_freq26,180,26,124,7.843608856201172,2.3205528259277353,5.5230560302734375,25,0.12060301507537688,early
amp250_freq5,250,5,125,4.126819610595703,-11.614995956420898,15.741815567016602,30,0.1457286432160804,early
amp100_freq5,100,5,126,37.80620574951172,46.75352096557617,-8.947315216064453,26,0.12562814070351758,early
amp180_freq26,180,26,127,21.848134994506836,15.147581100463867,6.700553894042969,26,0.12562814070351758,early
amp100_freq5,100,5,128,-58.431983947753906,-34.05876159667969,-24.37322235107422,27,0.1306532663316583,early
amp180_freq26,180,26,129,2.8898906707763663,-31.930259704589844,34.82015037536621,27,0.1306532663316583,early
amp250_freq5,250,5,130,9.044149398803713,33.333274841308594,-24.289125442504883,31,0.1507537688442211,early
amp250_freq26,250,26,131,-20.77524757385254,-21.374555587768555,0.5993080139160156,10,0.04522613065326633,early
amp250_freq26,250,26,132,29.570758819580078,39.36096000671387,-9.790201187133789,11,0.05025125628140704,early
amp250_freq5,250,5,133,30.966381072998047,31.277692794799805,-0.3113117218017578,32,0.15577889447236182,early
amp180_freq26,180,26,134,5.840303421020507,-0.21652793884277566,6.056831359863281,28,0.135678391959799,early
amp180_freq5,180,5,135,37.70174598693848,46.36888885498047,-8.667142868041992,15,0.07035175879396985,early
amp250_freq26,250,26,136,-28.092924118041992,-20.163978576660156,-7.928945541381836,12,0.05527638190954774,early
amp100_freq26,100,26,137,-40.36857223510742,-43.78671073913574,3.4181385040283216,23,0.11055276381909548,early
amp180_freq5,180,5,138,-0.03947830200195268,14.332212448120117,-14.37169075012207,16,0.07537688442211055,early
amp180_freq5,180,5,139,21.818206787109375,15.790533065795898,6.027673721313477,17,0.08040201005025126,early
