condition,amplitude,frequency,epoch,n_trials,on_delta_mean,on_delta_ci_low,on_delta_ci_high,off_delta_mean,off_delta_ci_low,off_delta_ci_high,on_minus_off_mean,on_minus_off_ci_low,on_minus_off_ci_high
amp100_freq26,100,26,early,67,3.4943016109181873,-4.2537059855105275,11.068146257258173,2.582846627306582,-6.112218623374825,10.417609155711839,0.911454983611605,-3.6779388676828413,5.702729344723822
amp100_freq26,100,26,middle,66,2.83646213647091,-4.706859951308279,10.143293763651991,-0.8651324474450314,-9.21244540864771,7.220286962480235,3.7015945839159414,-2.631855521057591,9.859347314545598
amp100_freq26,100,26,late,67,3.4688315320370804,-4.012528573932933,11.159657211446046,4.87858709648474,-3.5913093751935814,13.672384571673255,-1.4097555644476591,-7.934385234918167,5.387152555807313
amp100_freq5,100,5,early,67,2.7244686866874126,-4.170717521211993,9.576404080462094,2.999453900465325,-3.54598680183069,9.354578340587329,-0.2749852137779122,-5.288086000841055,4.93004117439042
amp100_freq5,100,5,middle,66,2.902209021828391,-4.128069254846284,9.840126457358851,4.035367618907582,-3.4375730153286095,11.251048843788377,-1.1331585970791904,-7.445262748544867,4.999163952018275
amp100_freq5,100,5,late,67,-0.8152760178295534,-9.838408078008623,7.719621724513038,1.3333134722353808,-8.727584766274068,10.639808095391114,-2.1485894900649343,-10.007294126766832,6.344251389289967
amp180_freq26,180,26,early,67,9.392661251238923,3.221966095113043,15.175256038779644,7.808017730712891,1.960430516769637,13.829718887272165,1.5846435205260319,-3.8126004582020774,7.016435221771693
amp180_freq26,180,26,middle,66,7.8203692580714375,1.2716233412424722,14.711220742716932,9.947456475460168,4.102895736694336,15.876377854925211,-2.127087217388731,-7.887029361002373,3.2236997026385676
amp180_freq26,180,26,late,67,2.7596798227794133,-4.356945990804416,9.981500012127318,8.627669604856576,0.40901050923475585,16.79979037242149,-5.867989782077163,-10.945933876464617,-1.022222135316081
amp180_freq5,180,5,early,67,-2.27290164890574,-11.135740348474304,6.02975568842532,-1.822437257909063,-11.533797518886736,6.996934926331931,-0.4504643909966768,-6.009621166115377,5.390252421507195
amp180_freq5,180,5,middle,66,-2.549645626183712,-9.070758763949076,4.069651561072372,-0.88802196040298,-8.209329644116488,6.023725426558288,-1.6616236657807322,-7.208578421852805,3.9597791671752915
amp180_freq5,180,5,late,67,3.7681637094981633,-4.002433704974046,11.953293053783588,7.691493646422429,-1.504729671620611,16.35464051232409,-3.9233299369242656,-9.744492421933074,1.7907335665688549
amp250_freq26,250,26,early,67,6.222336384787488,-0.6073512974070079,12.712714331897335,8.680780638509722,1.334350676323051,16.313235629494507,-2.4584442537222335,-8.351630102698483,3.717329655832319
amp250_freq26,250,26,middle,66,0.7181003454959753,-5.502810229677142,6.8982405575838905,2.492340087890625,-6.019295946756999,10.50121257305145,-1.7742397423946497,-7.4679102305209994,3.528366486953963
amp250_freq26,250,26,late,67,-3.997629307988864,-12.235608818993638,3.7621222766477653,-5.0115359861459305,-14.093700233858023,3.30871441613382,1.0139066781570663,-4.755234016589265,6.834969030209435
amp250_freq5,250,5,early,67,-0.9429513447320284,-7.097669131008547,5.25144345084233,1.3728958243754372,-5.578074002621778,8.239457358175247,-2.3158471691074656,-7.101506871607766,2.438565001558901
amp250_freq5,250,5,middle,66,2.6546149398341323,-5.521846152074409,10.630509527524312,0.7311706831960967,-8.685947315620654,9.454950484362506,1.9234442566380356,-3.8859595320441507,7.706343430461305
amp250_freq5,250,5,late,67,0.057806128886208605,-8.257858415148151,8.223436148486895,-0.1285877797141004,-10.73783855794081,8.997946525687603,0.186393908600309,-5.850049042345873,5.9797541952844675
