condition,amplitude,frequency,n_trials,on_delta_slope_per_trial,on_delta_slope_per_100_trials,on_delta_pvalue,on_delta_rvalue,off_delta_slope_per_trial,off_delta_slope_per_100_trials,off_delta_pvalue,off_delta_rvalue,on_minus_off_slope_per_trial,on_minus_off_slope_per_100_trials,on_minus_off_pvalue,on_minus_off_rvalue
amp100_freq5,100,5,200,-0.023536761887636978,-2.3536761887636977,0.5570306971596464,-0.04176906713825348,-0.02834921214922614,-2.834921214922614,0.49589554785238177,-0.0484265625738776,0.00481245026158918,0.481245026158918,0.8861279307436447,0.010189761112381408
amp180_freq5,180,5,200,0.05254622795804804,5.254622795804804,0.18014710692675434,0.09515492535644587,0.08894866578569831,8.89486657856983,0.043538713054730165,0.1428922344924377,-0.03640243782765026,-3.6402437827650256,0.21691368314415524,-0.08769324429996841
amp250_freq5,250,5,200,0.0013380623765014187,0.13380623765014188,0.9729184797016249,0.0024156361080324507,-0.005718732216008947,-0.5718732216008947,0.8978700840122508,-0.009132943075656801,0.007056794592510387,0.7056794592510387,0.8043079452260962,0.017629529829522338
amp100_freq26,100,26,200,-0.0006975272100041321,-0.06975272100041321,0.98585053892506,-0.0012619384803896783,0.018829374336958526,1.8829374336958526,0.6632725660532096,0.030974143185795312,-0.019526901546962648,-1.9526901546962647,0.5235675828445951,-0.04536433080837013
amp180_freq26,180,26,200,-0.03423823361849916,-3.4238233618499163,0.32395467246182863,-0.07009999405843584,0.016752962472781602,1.67529624727816,0.6356137994738023,0.03370732370310478,-0.05099119609128076,-5.099119609128076,0.06920876424380022,-0.12875687295474256
amp250_freq26,250,26,200,-0.09895862352747023,-9.895862352747024,0.0058531634709278755,-0.19422939796445324,-0.10643611219722705,-10.643611219722706,0.010674760967492796,-0.1801856355586451,0.00747748866975687,0.747748866975687,0.8036961582040795,0.01768578315524597
