cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
140,amp250_freq50,200,27.513333333333332,16.035,11.478333333333332,2.1262741475216127,7.833333333333336,5.3983317940033695,1.903666397885403e-07,6.34117841502517e-06,mua,96.4,14.2,False,ON>OFF,True
141,amp250_freq50,200,26.236666666666668,16.801666666666666,9.435,2.2587075721982584,7.5,4.177167560835468,4.415066692433426e-05,0.0006629022950185938,mua,94.5,13.7,False,ON>OFF,True
117,amp250_freq50,200,19.64,11.46,8.18,0.6581823608244924,8.166666666666668,12.428166549089937,1.2737852896354375e-26,2.4609531795756653e-23,mua,55.2,17.7,False,ON>OFF,True
117,amp180_freq50,200,19.586666666666662,12.528333333333332,7.058333333333334,0.6148335627490964,6.666666666666667,11.48007161771311,9.744281665589019e-24,9.412976088958993e-21,mua,55.2,17.7,False,ON>OFF,True
101,amp250_freq50,200,20.208333333333336,14.3,5.908333333333335,0.6513908904239475,5.0,9.070334602757477,1.152869898285973e-16,7.424482144961667e-14,mua,111.8,11.1,False,ON>OFF,True
140,amp180_freq26,200,14.331666666666667,9.601666666666667,4.73,1.7675598860761235,0.6666666666666666,2.6760055131712206,0.008071373233472108,0.05609314060096443,mua,96.4,14.2,False,ON>OFF,False
83,amp250_freq50,200,20.115,15.598333333333334,4.516666666666667,0.781456463505875,4.333333333333332,5.77980588503087,2.8535090014710533e-08,1.0809763511455048e-06,mua,40.9,10.4,False,ON>OFF,True
43,amp250_freq50,200,10.603333333333335,6.125,4.4783333333333335,0.8691260604064993,3.0,5.1526855968842655,6.163456151968987e-07,1.5266406776415492e-05,mua,123.4,13.7,False,ON>OFF,True
106,amp250_freq50,200,22.78166666666667,18.465,4.316666666666666,0.6758610117492204,4.666666666666664,6.386914752627236,1.1717352279151225e-09,6.859977152521262e-08,mua,117.3,14.6,False,ON>OFF,True
71,amp250_freq50,200,9.37,13.676666666666666,-4.306666666666667,0.5842926306914116,-4.0,-7.370735895762461,4.44793800293123e-12,5.054950718625375e-10,mua,95.1,11.3,False,ON<OFF,True
140,amp100_freq50,200,11.073333333333334,6.855,4.218333333333334,1.3832785351702115,1.0,3.0495183913298205,0.002603930390807772,0.021226976856711457,mua,96.4,14.2,False,ON>OFF,True
141,amp180_freq26,200,13.875,9.871666666666668,4.003333333333333,1.8758612241359005,0.3333333333333334,2.1341308631065896,0.03405585045390945,0.17045570745324626,mua,94.5,13.7,False,ON>OFF,False
71,amp180_freq50,200,7.8516666666666675,11.851666666666667,-4.0,0.5766148154959856,-4.0,-6.937039931170219,5.493305698326783e-11,3.79038093184548e-09,mua,95.1,11.3,False,ON<OFF,True
126,amp250_freq50,200,16.97833333333333,13.001666666666667,3.976666666666666,0.5016249975738397,3.0,7.927568773287252,1.5685918333659713e-13,3.0305194220630564e-11,good,0.2,29.2,True,ON>OFF,True
