trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
1,amp180_freq5,9,172.90000000002692,2375.7499999999254,2202.8499999998985,True
2,amp250_freq5,8,149.1000000000895,2352.000000000089,2202.8999999999996,True
3,amp180_freq5,2,171.100000000024,963.649999999916,792.549999999892,True
4,amp250_freq5,0,,,,False
5,amp250_freq5,0,,,,False
6,amp250_freq26,9,180.90000000006512,1909.49999999998,1728.5999999999149,True
7,amp250_freq26,8,62.5,2099.999999999909,2037.499999999909,True
8,amp180_freq26,5,59.5499999999447,1448.0499999999665,1388.5000000000218,True
9,amp250_freq5,2,246.90000000009604,446.59999999998945,199.6999999998934,True
10,amp250_freq26,13,131.59999999993488,2200.29999999997,2068.7000000000353,True
11,amp180_freq5,4,401.14999999991596,1795.9000000000742,1394.7500000001583,True
12,amp100_freq5,1,984.7999999999502,984.7999999999502,0.0,True
13,amp100_freq5,3,189.3000000000029,1789.9500000000899,1600.650000000087,True
14,amp100_freq26,5,230.0000000000182,1768.25000000008,1538.2500000000618,True
15,amp100_freq26,5,189.5999999999276,2189.6500000000287,2000.0500000001011,True
16,amp180_freq26,10,33.75000000005457,2417.599999999993,2383.8499999999385,True
17,amp180_freq5,5,501.95000000007894,1506.650000000036,1004.6999999999571,True
18,amp100_freq5,3,1094.9000000000524,2296.199999999999,1201.2999999999465,True
19,amp250_freq26,11,59.15000000004511,1943.8000000000102,1884.649999999965,True
20,amp180_freq26,10,18.749999999954525,2402.599999999893,2383.8499999999385,True
21,amp100_freq5,4,209.25000000011096,2443.2999999999083,2234.0499999997974,True
22,amp250_freq5,3,397.6500000001124,1467.9000000000997,1070.2499999999873,True
23,amp180_freq5,6,819.0500000000611,2444.7000000000116,1625.6499999999505,True
24,amp100_freq5,9,273.1499999999869,1873.8499999999476,1600.6999999999607,True
25,amp250_freq26,31,83.00000000008367,2354.4999999999163,2271.4999999998327,True
26,amp100_freq5,3,332.75000000003274,1933.4499999999935,1600.6999999999607,True
27,amp100_freq5,3,332.9000000001088,2332.9499999999825,2000.0499999998738,True
