trial_number,condition,event,start_s,end_s
55,amp250_freq26,stim_offset_margin,1866.9,1867.2
56,amp180_freq26,stim_onset_margin,1869.95,1870.1
56,amp180_freq26,stim_offset_margin,1872.9,1873.2
57,amp100_freq5,stim_onset_margin,1875.95,1876.1
57,amp100_freq5,stim_offset_margin,1878.9,1879.2
58,amp100_freq26,stim_onset_margin,1881.95,1882.1
58,amp100_freq26,stim_offset_margin,1884.9,1885.2
59,amp100_freq5,stim_onset_margin,1887.95,1888.1
59,amp100_freq5,stim_offset_margin,1890.9,1891.2
60,amp180_freq5,stim_onset_margin,1893.95,1894.1
60,amp180_freq5,stim_offset_margin,1896.9,1897.2
61,amp180_freq26,stim_onset_margin,1899.95,1900.1
61,amp180_freq26,stim_offset_margin,1902.9,1903.2
62,amp250_freq5,stim_onset_margin,1905.95,1906.1
62,amp250_freq5,stim_offset_margin,1908.9,1909.2
63,amp180_freq5,stim_onset_margin,1911.95,1912.1
63,amp180_freq5,stim_offset_margin,1914.9,1915.2
64,amp100_freq26,stim_onset_margin,1917.95,1918.1
64,amp100_freq26,stim_offset_margin,1920.9,1921.2
65,amp250_freq5,stim_onset_margin,1923.95,1924.1
65,amp250_freq5,stim_offset_margin,1926.9,1927.2
66,amp180_freq5,stim_onset_margin,1929.95,1930.1
66,amp180_freq5,stim_offset_margin,1932.9,1933.2
67,amp250_freq5,stim_onset_margin,1935.95,1936.1
67,amp250_freq5,stim_offset_margin,1938.9,1939.2
68,amp100_freq26,stim_onset_margin,1941.95,1942.1
68,amp100_freq26,stim_offset_margin,1944.9,1945.2
69,amp100_freq26,stim_onset_margin,1947.95,1948.1
69,amp100_freq26,stim_offset_margin,1950.9,1951.2
70,amp250_freq5,stim_onset_margin,1953.95,1954.1
70,amp250_freq5,stim_offset_margin,1956.9,1957.2
71,amp100_freq26,stim_onset_margin,1959.95,1960.1
71,amp100_freq26,stim_offset_margin,1962.9,1963.2
72,amp250_freq26,stim_onset_margin,1965.95,1966.1
72,amp250_freq26,stim_offset_margin,1968.9,1969.2
73,amp250_freq5,stim_onset_margin,1971.95,1972.1
73,amp250_freq5,stim_offset_margin,1974.9,1975.2
74,amp100_freq26,stim_onset_margin,1977.95,1978.1
74,amp100_freq26,stim_offset_margin,1980.9,1981.2
75,amp180_freq26,stim_onset_margin,1983.95,1984.1
75,amp180_freq26,stim_offset_margin,1986.9,1987.2
76,amp100_freq26,stim_onset_margin,1989.95,1990.1
76,amp100_freq26,stim_offset_margin,1992.9,1993.2
77,amp100_freq26,stim_onset_margin,1995.95,1996.1
77,amp100_freq26,stim_offset_margin,1998.9,1999.2
78,amp180_freq5,stim_onset_margin,2001.95,2002.1
78,amp180_freq5,stim_offset_margin,2004.9,2005.2
79,amp100_freq26,stim_onset_margin,2007.95,2008.1
79,amp100_freq26,stim_offset_margin,2010.9,2011.2
80,amp180_freq26,stim_onset_margin,2013.95,2014.1
80,amp180_freq26,stim_offset_margin,2016.9,2017.2
81,amp250_freq5,stim_onset_margin,2019.95,2020.1
81,amp250_freq5,stim_offset_margin,2022.9,2023.2
82,amp180_freq26,stim_onset_margin,2025.95,2026.1
82,amp180_freq26,stim_offset_margin,2028.9,2029.2
83,amp100_freq5,stim_onset_margin,2031.95,2032.1
83,amp100_freq5,stim_offset_margin,2034.9,2035.2
84,amp180_freq5,stim_onset_margin,2037.95,2038.1
84,amp180_freq5,stim_offset_margin,2040.9,2041.2
85,amp250_freq5,stim_onset_margin,2043.95,2044.1
85,amp250_freq5,stim_offset_margin,2046.9,2047.2
86,amp180_freq26,stim_onset_margin,2049.95,2050.1
86,amp180_freq26,stim_offset_margin,2052.9,2053.2
87,amp100_freq26,stim_onset_margin,2055.95,2056.1
87,amp100_freq26,stim_offset_margin,2058.9,2059.2
88,amp100_freq5,stim_onset_margin,2061.95,2062.1
88,amp100_freq5,stim_offset_margin,2064.9,2065.2
89,amp180_freq26,stim_onset_margin,2067.95,2068.1
89,amp180_freq26,stim_offset_margin,2070.9,2071.2
90,amp180_freq5,stim_onset_margin,2073.95,2074.1
90,amp180_freq5,stim_offset_margin,2076.9,2077.2
91,amp180_freq26,stim_onset_margin,2079.95,2080.1
91,amp180_freq26,stim_offset_margin,2082.9,2083.2
92,amp100_freq26,stim_onset_margin,2085.95,2086.1
92,amp100_freq26,stim_offset_margin,2088.9,2089.2
93,amp180_freq26,stim_onset_margin,2091.95,2092.1
93,amp180_freq26,stim_offset_margin,2094.9,2095.2
94,amp250_freq5,stim_onset_margin,2097.95,2098.1
94,amp250_freq5,stim_offset_margin,2100.9,2101.2
95,amp100_freq5,stim_onset_margin,2103.95,2104.1
95,amp100_freq5,stim_offset_margin,2106.9,2107.2
96,amp100_freq26,stim_onset_margin,2109.95,2110.1
96,amp100_freq26,stim_offset_margin,2112.9,2113.2
97,amp250_freq5,stim_onset_margin,2115.95,2116.1
97,amp250_freq5,stim_offset_margin,2118.9,2119.2
98,amp250_freq5,stim_onset_margin,2121.95,2122.1
98,amp250_freq5,stim_offset_margin,2124.9,2125.2
99,amp100_freq5,stim_onset_margin,2127.95,2128.1
99,amp100_freq5,stim_offset_margin,2130.9,2131.2
100,amp250_freq5,stim_onset_margin,2133.95,2134.1
100,amp250_freq5,stim_offset_margin,2136.9,2137.2
101,amp180_freq26,stim_onset_margin,2139.95,2140.1
101,amp180_freq26,stim_offset_margin,2142.9,2143.2
102,amp100_freq5,stim_onset_margin,2145.95,2146.1
102,amp100_freq5,stim_offset_margin,2148.9,2149.2
103,amp100_freq26,stim_onset_margin,2151.95,2152.1
103,amp100_freq26,stim_offset_margin,2154.9,2155.2
104,amp100_freq26,stim_onset_margin,2157.95,2158.1
104,amp100_freq26,stim_offset_margin,2160.9,2161.2
105,amp100_freq26,stim_onset_margin,2163.95,2164.1
105,amp100_freq26,stim_offset_margin,2166.9,2167.2
106,amp180_freq26,stim_onset_margin,2169.95,2170.1
106,amp180_freq26,stim_offset_margin,2172.9,2173.2
107,amp250_freq5,stim_onset_margin,2175.95,2176.1
107,amp250_freq5,stim_offset_margin,2178.9,2179.2
108,amp180_freq5,stim_onset_margin,2181.95,2182.1
108,amp180_freq5,stim_offset_margin,2184.9,2185.2
109,amp250_freq5,stim_onset_margin,2187.95,2188.1
109,amp250_freq5,stim_offset_margin,2190.9,2191.2
110,amp100_freq26,stim_onset_margin,2193.95,2194.1
110,amp100_freq26,stim_offset_margin,2196.9,2197.2
111,amp250_freq5,stim_onset_margin,2199.95,2200.1
111,amp250_freq5,stim_offset_margin,2202.9,2203.2
112,amp250_freq5,stim_onset_margin,2205.95,2206.1
112,amp250_freq5,stim_offset_margin,2208.9,2209.2
113,amp100_freq5,stim_onset_margin,2211.95,2212.1
113,amp100_freq5,stim_offset_margin,2214.9,2215.2
114,amp250_freq5,stim_onset_margin,2217.95,2218.1
114,amp250_freq5,stim_offset_margin,2220.9,2221.2
115,amp250_freq5,stim_onset_margin,2223.95,2224.1
115,amp250_freq5,stim_offset_margin,2226.9,2227.2
116,amp100_freq26,stim_onset_margin,2229.95,2230.1
116,amp100_freq26,stim_offset_margin,2232.9,2233.2
117,amp100_freq5,stim_onset_margin,2235.95,2236.1
117,amp100_freq5,stim_offset_margin,2238.9,2239.2
118,amp250_freq26,stim_onset_margin,2241.95,2242.1
118,amp250_freq26,stim_offset_margin,2244.9,2245.2
119,amp250_freq26,stim_onset_margin,2247.95,2248.1
119,amp250_freq26,stim_offset_margin,2250.9,2251.2
120,amp100_freq5,stim_onset_margin,2253.95,2254.1
120,amp100_freq5,stim_offset_margin,2256.9,2257.2
121,amp250_freq5,stim_onset_margin,2259.95,2260.1
121,amp250_freq5,stim_offset_margin,2262.9,2263.2
122,amp100_freq26,stim_onset_margin,2265.95,2266.1
122,amp100_freq26,stim_offset_margin,2268.9,2269.2
123,amp250_freq5,stim_onset_margin,2271.95,2272.1
123,amp250_freq5,stim_offset_margin,2274.9,2275.2
124,amp180_freq26,stim_onset_margin,2277.95,2278.1
124,amp180_freq26,stim_offset_margin,2280.9,2281.2
125,amp250_freq5,stim_onset_margin,2283.95,2284.1
125,amp250_freq5,stim_offset_margin,2286.9,2287.2
126,amp100_freq5,stim_onset_margin,2289.95,2290.1
126,amp100_freq5,stim_offset_margin,2292.9,2293.2
127,amp180_freq26,stim_onset_margin,2295.95,2296.1
127,amp180_freq26,stim_offset_margin,2298.9,2299.2
128,amp100_freq5,stim_onset_margin,2301.95,2302.1
128,amp100_freq5,stim_offset_margin,2304.9,2305.2
129,amp180_freq26,stim_onset_margin,2307.95,2308.1
129,amp180_freq26,stim_offset_margin,2310.9,2311.2
130,amp250_freq5,stim_onset_margin,2313.95,2314.1
130,amp250_freq5,stim_offset_margin,2316.9,2317.2
131,amp250_freq26,stim_onset_margin,2319.95,2320.1
131,amp250_freq26,stim_offset_margin,2322.9,2323.2
132,amp250_freq26,stim_onset_margin,2325.95,2326.1
132,amp250_freq26,stim_offset_margin,2328.9,2329.2
133,amp250_freq5,stim_onset_margin,2331.95,2332.1
133,amp250_freq5,stim_offset_margin,2334.9,2335.2
134,amp180_freq26,stim_onset_margin,2337.95,2338.1
134,amp180_freq26,stim_offset_margin,2340.9,2341.2
