trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
1,amp180_freq5,180,5,Group 96-127,32,-34.959686279296875,7.5864105224609375,-22.673500061035156,-1.0777130126953125,-30.259910583496094
1,amp180_freq5,180,5,Group 64-95,30,-48.539451599121094,-13.860931396484375,-37.26325225830078,-32.50892639160156,-23.402320861816406
1,amp180_freq5,180,5,Group 32-63,28,-30.818199157714844,-19.764305114746094,-5.191917419433594,-6.4603271484375,14.5723876953125
1,amp180_freq5,180,5,Group 0-31,29,-13.714309692382812,-24.801910400390625,-20.907974243164062,-1.8876190185546875,3.8939361572265625
2,amp250_freq5,250,5,Group 96-127,32,-22.990005493164062,-9.793441772460938,-14.028755187988281,-4.826194763183594,-4.235313415527344
2,amp250_freq5,250,5,Group 64-95,30,-4.0658111572265625,-1.8508758544921875,-15.559478759765625,5.864997863769531,-13.708602905273438
2,amp250_freq5,250,5,Group 32-63,28,15.883758544921875,8.308036804199219,-24.30731201171875,2.822235107421875,-32.61534881591797
2,amp250_freq5,250,5,Group 0-31,29,-25.656951904296875,-21.394317626953125,-49.83598327636719,-13.737701416015625,-28.441665649414062
3,amp180_freq5,180,5,Group 96-127,32,4.58544921875,0.36754608154296875,-51.465110778808594,-8.535942077636719,-51.83265686035156
3,amp180_freq5,180,5,Group 64-95,30,-29.255508422851562,-38.64685821533203,-19.033241271972656,48.2532958984375,19.613616943359375
3,amp180_freq5,180,5,Group 32-63,28,59.652008056640625,13.103713989257812,-7.502967834472656,34.086944580078125,-20.60668182373047
3,amp180_freq5,180,5,Group 0-31,29,7.01837158203125,-27.748397827148438,-36.264373779296875,-16.01190185546875,-8.515975952148438
4,amp250_freq5,250,5,Group 96-127,32,-48.57117462158203,-18.51728057861328,-1.2304229736328125,-30.127845764160156,17.28685760498047
4,amp250_freq5,250,5,Group 64-95,30,34.38847351074219,4.562164306640625,-1.6401824951171875,2.523956298828125,-6.2023468017578125
4,amp250_freq5,250,5,Group 32-63,28,-25.870582580566406,4.2982025146484375,1.28826904296875,-5.263916015625,-3.0099334716796875
4,amp250_freq5,250,5,Group 0-31,29,-69.18852233886719,7.5545806884765625,-21.769073486328125,-26.990798950195312,-29.323654174804688
5,amp250_freq5,250,5,Group 96-127,32,-9.702346801757812,-9.510589599609375,13.279029846191406,-9.272804260253906,22.78961944580078
5,amp250_freq5,250,5,Group 64-95,30,-41.901458740234375,-12.05181884765625,19.828475952148438,-4.1853485107421875,31.880294799804688
5,amp250_freq5,250,5,Group 32-63,28,-29.572723388671875,11.547164916992188,-11.094284057617188,-5.477012634277344,-22.641448974609375
5,amp250_freq5,250,5,Group 0-31,29,-75.52774047851562,-23.832229614257812,47.45295715332031,-35.159820556640625,71.28518676757812
6,amp250_freq26,250,26,Group 96-127,32,58.25901794433594,6.24163818359375,15.103713989257812,-20.72594451904297,8.862075805664062
6,amp250_freq26,250,26,Group 64-95,30,-45.50316619873047,-9.487152099609375,25.1824951171875,-17.164344787597656,34.669647216796875
6,amp250_freq26,250,26,Group 32-63,28,13.472213745117188,5.182098388671875,57.899627685546875,-12.564712524414062,52.717529296875
6,amp250_freq26,250,26,Group 0-31,29,-19.730575561523438,13.72894287109375,62.76072692871094,-30.924713134765625,49.03178405761719
7,amp250_freq26,250,26,Group 96-127,32,-7.201637268066406,-4.659278869628906,-13.779197692871094,9.370819091796875,-9.119918823242188
7,amp250_freq26,250,26,Group 64-95,30,57.64068603515625,25.994064331054688,-4.452445983886719,35.46217346191406,-30.446510314941406
7,amp250_freq26,250,26,Group 32-63,28,3.0779953002929688,20.169281005859375,73.38685607910156,47.27644348144531,53.21757507324219
7,amp250_freq26,250,26,Group 0-31,29,-42.845848083496094,21.853546142578125,52.74891662597656,11.155609130859375,30.895370483398438
8,amp180_freq26,180,26,Group 96-127,32,-27.974510192871094,8.593238830566406,51.87036895751953,-10.974945068359375,43.277130126953125
8,amp180_freq26,180,26,Group 64-95,30,24.509796142578125,30.3056640625,211.17138671875,8.373489379882812,180.86572265625
8,amp180_freq26,180,26,Group 32-63,28,-9.584739685058594,33.86256408691406,140.12982177734375,20.946762084960938,106.26725769042969
8,amp180_freq26,180,26,Group 0-31,29,29.386260986328125,64.42041015625,90.45799255371094,35.11334228515625,26.037582397460938
9,amp250_freq5,250,5,Group 96-127,32,18.84899139404297,-12.018234252929688,-8.651252746582031,-8.0618896484375,3.3669815063476562
9,amp250_freq5,250,5,Group 64-95,30,66.04463195800781,-1.93157958984375,-36.6512451171875,-2.0589447021484375,-34.71966552734375
9,amp250_freq5,250,5,Group 32-63,28,14.492271423339844,29.09740447998047,22.421852111816406,-5.78607177734375,-6.6755523681640625
9,amp250_freq5,250,5,Group 0-31,29,44.693695068359375,22.070663452148438,18.496047973632812,21.378692626953125,-3.574615478515625
10,amp250_freq26,250,26,Group 96-127,32,6.647727966308594,0.5631866455078125,8.60784912109375,-18.30255126953125,8.044662475585938
10,amp250_freq26,250,26,Group 64-95,30,87.12843322753906,2.4319610595703125,9.565505981445312,-28.953231811523438,7.133544921875
10,amp250_freq26,250,26,Group 32-63,28,17.487884521484375,12.039291381835938,-15.06182861328125,-19.3067626953125,-27.101119995117188
10,amp250_freq26,250,26,Group 0-31,29,-72.59324645996094,-3.0245208740234375,-63.278076171875,-39.483856201171875,-60.25355529785156
11,amp180_freq5,180,5,Group 96-127,32,-32.94402313232422,-5.003578186035156,-13.804527282714844,-12.716163635253906,-8.800949096679688
11,amp180_freq5,180,5,Group 64-95,30,-11.213172912597656,35.64524841308594,56.250823974609375,-21.216339111328125,20.605575561523438
11,amp180_freq5,180,5,Group 32-63,28,26.353378295898438,18.478347778320312,-5.9560546875,-19.412147521972656,-24.434402465820312
11,amp180_freq5,180,5,Group 0-31,29,-28.560470581054688,17.396148681640625,-63.269439697265625,-29.352935791015625,-80.66558837890625
12,amp100_freq5,100,5,Group 96-127,32,-14.227523803710938,-18.93529510498047,-30.41515350341797,-27.505165100097656,-11.4798583984375
12,amp100_freq5,100,5,Group 64-95,30,-43.31932830810547,-22.079986572265625,-26.587860107421875,-30.29792022705078,-4.50787353515625
12,amp100_freq5,100,5,Group 32-63,28,-39.7701416015625,-19.645736694335938,-12.89093017578125,-23.653472900390625,6.7548065185546875
12,amp100_freq5,100,5,Group 0-31,29,-34.49229431152344,-7.1091766357421875,-53.64361572265625,-30.95050048828125,-46.53443908691406
13,amp100_freq5,100,5,Group 96-127,32,-19.46197509765625,-7.289848327636719,-8.914604187011719,-16.119949340820312,-1.624755859375
13,amp100_freq5,100,5,Group 64-95,30,-40.47920227050781,-1.1729278564453125,23.890792846679688,23.684677124023438,25.063720703125
13,amp100_freq5,100,5,Group 32-63,28,-8.081367492675781,-5.693046569824219,42.64540100097656,12.892143249511719,48.33844757080078
