cluster_id	ContamPct
0	8.0
1	129.1
2	189.1
3	107.0
4	171.8
5	249.8
6	171.8
7	105.0
8	275.9
9	9.0
10	176.6
11	40.6
12	24.2
13	49.3
14	241.3
15	308.0
16	41.2
17	186.4
18	98.8
19	46.8
20	0.0
21	16.4
22	49.6
23	0.6
24	229.7
25	177.2
26	118.9
27	138.6
28	185.5
29	94.4
30	172.6
31	56.8
32	212.9
33	54.9
34	113.2
35	137.2
36	151.8
37	179.9
38	150.2
39	141.9
40	134.3
41	118.8
42	131.9
43	50.4
44	168.0
45	151.6
46	150.3
47	168.6
48	197.1
49	212.5
50	164.8
51	185.6
52	165.6
53	89.6
54	228.2
55	168.7
56	151.8
57	152.5
58	48.2
59	233.1
60	45.4
61	105.3
62	103.6
63	264.3
64	200.0
65	94.1
66	151.7
67	81.6
68	265.6
69	88.8
70	203.4
71	130.3
72	48.0
73	105.2
74	213.8
75	146.3
76	21.0
77	36.5
78	163.2
79	108.1
80	8.0
81	105.1
82	110.5
83	44.6
84	67.1
85	115.3
86	72.5
87	75.7
88	125.0
89	61.4
90	115.9
91	187.2
92	86.9
93	95.8
94	179.4
95	93.4
96	227.6
97	64.4
98	242.7
99	158.2
100	30.6
101	19.2
102	12.6
103	54.0
104	0.0
105	214.1
106	46.4
107	10.4
108	238.3
109	52.1
110	3.6
111	0.8
112	4.1
113	82.8
114	97.0
115	237.5
116	239.5
117	154.6
118	1.9
119	5.6
120	13.3
121	99.6
122	40.8
123	120.2
124	57.8
125	52.0
126	120.0
127	113.3
128	78.8
129	49.2
130	63.5
131	63.9
132	99.5
133	118.0
134	46.7
135	134.7
136	119.8
137	112.2
138	51.6
139	26.7
140	127.8
141	69.5
142	61.0
143	105.2
144	57.0
145	105.2
146	76.1
147	83.0
148	106.5
149	149.3
150	91.9
151	136.1
152	136.4
153	66.3
154	150.7
155	179.1
156	271.0
157	1.4
158	8.8
159	277.8
160	0.0
161	114.5
162	110.6
163	56.0
164	250.7
165	25.0
166	76.3
167	298.7
168	2.7
169	0.0
170	72.0
171	58.3
172	47.2
173	13.9
174	0.0
175	3.5
176	73.8
177	0.1
178	20.3
179	370.1
180	48.6
181	1.8
182	21.0
183	10.2
184	40.3
185	80.2
186	206.4
187	11.5
188	150.0
189	71.3
190	78.6
191	3.8
192	65.6
193	87.2
