trial_number,condition,emg_off_raw,off_ttl_toggles,moving
121,amp250_freq5,0.29786764665185395,2,False
122,amp100_freq26,0.7343638128816927,2,False
123,amp250_freq5,0.5507572763758489,3,False
124,amp180_freq26,0.30649837763282556,1,False
125,amp250_freq5,0.8545860856871862,2,True
126,amp100_freq5,0.3663984923050036,1,False
127,amp180_freq26,0.3136270545593233,1,False
128,amp100_freq5,0.7213980256431586,5,False
129,amp180_freq26,0.6471145573614994,2,False
130,amp250_freq5,0.3991161410032368,3,False
131,amp250_freq26,0.3804218302877551,3,False
132,amp250_freq26,0.5265483316946031,0,False
133,amp250_freq5,0.5052290364081372,5,False
134,amp180_freq26,0.3005077357759251,2,False
135,amp180_freq5,0.3370806129206953,4,False
136,amp250_freq26,0.5176366920547123,0,False
137,amp100_freq26,0.7045798565910992,2,False
138,amp180_freq5,0.44299076188676934,3,False
139,amp180_freq5,0.28594868745404683,3,False
140,amp100_freq26,0.24545022723460722,7,False
141,amp250_freq26,0.37444811197309785,4,False
142,amp250_freq26,0.595699974021883,2,False
143,amp180_freq26,0.7472628093240895,11,False
144,amp250_freq26,0.33662363870615974,1,False
145,amp180_freq5,0.6629925238352519,0,False
146,amp180_freq5,0.622240813879278,0,False
147,amp250_freq5,0.5541805763732588,1,False
148,amp100_freq5,0.43492251719620184,3,False
149,amp180_freq26,0.3829263447879666,3,False
150,amp180_freq5,0.9520393617110768,1,True
151,amp180_freq26,0.6114764217155472,8,False
152,amp250_freq26,0.891246509522291,2,True
153,amp180_freq26,0.7011518658317318,3,False
154,amp180_freq5,0.5418646536248447,0,False
155,amp100_freq26,0.25566290619945836,1,False
156,amp250_freq5,0.42561244548405935,0,False
157,amp100_freq5,0.5182997463850638,0,False
158,amp100_freq5,0.289674540762386,1,False
159,amp100_freq26,0.37057806669486737,4,False
160,amp180_freq26,0.2617080086285989,1,False
161,amp180_freq26,0.29130096145029183,1,False
162,amp100_freq5,0.4096042535168274,3,False
163,amp250_freq26,0.2614945671886007,0,False
164,amp250_freq5,0.3166427092068282,3,False
165,amp250_freq5,0.353901959563173,1,False
166,amp100_freq26,0.6839805637869217,2,False
167,amp180_freq26,0.421716939514159,2,False
168,amp180_freq5,0.42435151995401404,5,False
169,amp250_freq26,0.33895788540505045,2,False
170,amp100_freq26,0.274518935923992,8,False
171,amp250_freq26,0.2979620947609871,1,False
172,amp100_freq5,0.253193933869941,0,False
173,amp180_freq5,0.2922153067484525,0,False
174,amp180_freq5,0.30437015951834917,0,False
175,amp100_freq5,0.24580343053354956,2,False
176,amp180_freq26,0.26307376791277637,2,False
177,amp100_freq5,0.2656290937137392,1,False
178,amp250_freq5,0.3362006587641046,1,False
179,amp100_freq26,0.3013493465489125,3,False
180,amp250_freq26,0.6411178469030291,5,False
181,amp250_freq26,0.688329980757943,2,False
182,amp100_freq5,0.3692728116995182,0,False
183,amp250_freq5,0.7477202131980402,5,False
184,amp100_freq26,0.5930525331677006,1,False
185,amp250_freq26,0.4019787652250604,5,False
186,amp180_freq26,0.5150247342984796,1,False
187,amp100_freq26,0.3442022899140308,5,False
188,amp180_freq26,0.3805893881130962,1,False
189,amp100_freq5,0.572480351166784,0,False
190,amp180_freq26,0.329291572411092,4,False
191,amp250_freq26,0.506338158707441,1,False
192,amp250_freq5,0.366600459956062,0,False
193,amp100_freq26,0.49910206563014764,1,False
194,amp100_freq26,0.6827054359592081,9,False
195,amp250_freq26,0.8857320625873645,2,True
196,amp250_freq26,0.31000917054929805,0,False
197,amp250_freq5,0.34946008959418606,0,False
198,amp250_freq5,0.3510185691977227,0,False
199,amp100_freq5,0.29131649761133194,2,False
200,amp100_freq26,0.2924367595195067,0,False
201,amp250_freq5,0.7140865139762437,0,False
202,amp180_freq5,0.8720574825645198,1,True
203,amp180_freq26,0.6822871237854308,0,False
204,amp100_freq5,0.8522969508021755,2,True
205,amp180_freq5,0.8361230071903029,0,True
206,amp100_freq26,0.610382337512622,0,False
207,amp100_freq26,0.7424154782720815,1,False
208,amp180_freq5,0.48092568134740804,2,False
209,amp180_freq26,0.29341375161008126,0,False
210,amp180_freq5,0.25936943124373607,0,False
211,amp100_freq5,0.2717855043050195,3,False
212,amp180_freq26,0.3813844729318689,1,False
213,amp100_freq5,0.29306964299676663,4,False
214,amp250_freq26,0.5185709546205098,2,False
215,amp250_freq5,0.2956667523118659,1,False
216,amp180_freq26,0.2495797549352857,4,False
217,amp250_freq26,0.36214792188524064,1,False
218,amp100_freq5,0.4769548512459146,0,False
219,amp250_freq5,0.30365676674725844,0,False
220,amp250_freq5,0.5500929827471859,2,False
221,amp250_freq26,0.2586566239357995,1,False
