channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,common_corr,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
0,1880.9878,1237.0,13106.0,9579.0,0.0003125,0.0,55.0,0.39079416,1.2247423965131892,1.2115398579902303,0.848308137443649,0.607040775,0.7080540757794755,,False
1,1838.7971,1208.5,12905.5,9260.0,0.0003125,0.0,52.0,0.40639126,1.1748415708813735,1.1578819155617586,0.8196186238133121,0.337244875,0.619199138653727,,False
2,1860.2954,1208.0,13613.0,9836.0,0.000325,0.0,52.0,0.4528604,1.2002685758095952,1.1569405481507327,0.9208546881198622,0.337244875,0.7796394013008466,,False
3,1932.7363,1234.5,14429.5,11158.0,0.0003375,0.0,53.0,0.4880144,1.2859477387187574,1.2068330209351013,1.0376875453725802,0.42717684166666664,1.147872087445798,,False
4,2077.503,1299.0,15161.5,13915.0,0.00024375,0.0,54.0,0.5275849,1.4571697716094774,1.328269416957432,1.1424293108459296,0.5171088083333334,1.915812719595292,,False
5,2235.91,1371.5,17196.0,16342.0,0.0002875,0.0,54.0,0.54302186,1.6445249022930433,1.464767691556176,1.4335455975338105,0.5171088083333334,2.591834451269874,,False
6,2332.3677,1415.5,18549.0,17530.0,0.000275,0.0,54.0,0.5510494,1.7586098791159654,1.547608023726448,1.6271461558472553,0.5171088083333334,2.9227424929795585,,False
7,2277.2896,1387.0,17982.5,16504.0,0.00029375,0.0,54.0,0.5539664,1.6934664798199772,1.4939500812979762,1.546085759480244,0.5171088083333334,2.636958275139376,,False
8,2109.8,1301.0,16998.0,15493.0,0.0003125,0.0,53.0,0.553388,1.4953690408890294,1.3320348866015352,1.405213808512331,0.42717684166666664,2.3553521891389635,,False
9,1861.5188,1150.0,14685.0,12119.0,0.0003875,0.0,53.0,0.54189193,1.2017155331405889,1.0477419284717377,1.0742470003977724,0.42717684166666664,1.4155510673136484,,False
10,1544.9688,965.5,12166.5,9578.0,0.00040625,0.0,54.0,0.50337654,0.8273174172284169,0.7003773538032101,0.7138752294351631,0.5171088083333334,0.7077755336568242,,False
11,1254.4122,769.0,10151.5,8007.0,0.00046875,0.0,54.0,0.4162805,0.4836630298239762,0.3304199612700628,0.42554919469636704,0.5171088083333334,0.27018585897171177,,False
12,1069.9001,673.0,9657.0,7548.0,0.0005875,0.0,53.0,0.31275374,0.2654322090481119,0.14967741835310538,0.35479126706443914,0.42717684166666664,0.14233502467478834,,False
13,1010.01733,638.5,9252.5,8009.0,0.00059375,0.0,51.0,0.24823081,0.19460608768587792,0.08472306699232379,0.2969114253513657,0.24731290833333333,0.27074294321701425,,False
14,977.6085,611.5,9339.5,8329.0,0.00053125,0.0,53.0,0.18519169,0.15627471244365765,0.03388922679692952,0.30936024173959165,0.42717684166666664,0.35987642246541396,,False
15,964.6508,594.0,9859.5,8620.0,0.00066875,0.0,49.0,0.10514982,0.14094904918220041,0.00094136741102582,0.38376696038186153,0.067448975,0.4409321801569275,,False
16,799.39246,485.5,7756.5,8120.0,0.00076875,0.0,51.0,0.37800336,-0.05450951900266502,-0.2033353607815771,0.08284901941129674,0.24731290833333333,0.3016611188313029,,False
17,795.56366,475.0,8036.5,8808.0,0.00073125,0.0,52.0,0.45572066,-0.05903801033825525,-0.22310407641311933,0.12291417560328825,0.337244875,0.4932980992153624,,False
18,806.194,487.0,8515.5,9286.0,0.0007625,0.0,51.5,0.50313133,-0.04646505995573711,-0.20051125854849963,0.1914542106603023,0.29227889166666665,0.6264412338426595,,False
19,819.8255,495.0,8965.0,9838.0,0.00083125,0.0,51.0,0.5427346,-0.030342429575233226,-0.18544937997208655,0.25577309533280296,0.24731290833333333,0.7801964855461491,,False
20,847.60486,522.0,8924.5,10206.0,0.000725,0.0,52.0,0.5909326,0.0025134783651238,-0.13461553977669224,0.24997795666931846,0.337244875,0.8826999866818088,,False
21,897.92004,555.0,8905.5,10100.0,0.00065625,0.0,53.0,0.6135591,0.0620235329055028,-0.07248529064898813,0.24725924964200477,0.42717684166666664,0.8531745216807763,,False
22,959.4724,597.5,8927.0,9520.0,0.00061875,0.0,52.0,0.63603884,0.13482431355889643,0.00753093928820656,0.25033568127817557,0.337244875,0.6916200905430517,,False
23,1057.8691,670.5,8679.5,8516.0,0.00058125,0.0,51.0,0.62417185,0.2512025921424958,0.14497058129797627,0.2149209450013259,0.24731290833333333,0.4119637994011976,,False
24,1486.5227,976.0,10504.0,7850.0,0.0003875,0.0,31.5,0.48588896,0.7581906261182081,0.7201460694347522,0.4759883645452135,-1.5063604416666665,0.22645474571546562,,False
25,1485.9103,975.5,10497.0,7881.0,0.0004125,0.0,31.5,0.48483992,0.7574662811841035,0.7192047020237264,0.4749867356404137,-1.5063604416666665,0.23508955151765437,,False
26,1486.7173,976.0,10521.5,7793.0,0.00034375,0.0,31.5,0.48635772,0.7584207648116429,0.7201460694347522,0.47849243680721293,-1.5063604416666665,0.2105778447243444,,False
27,1482.4177,973.0,10406.0,7802.0,0.0003375,0.0,32.0,0.48473138,0.7533354793284797,0.7144978649685974,0.4619655598780164,-1.4613944583333334,0.21308472382820565,,False
28,1488.9774,978.25,10523.0,7860.0,0.0004375,0.0,31.5,0.48484772,0.7610939253567787,0.7243822227843684,0.4787070715725271,-1.5063604416666665,0.22924016694197813,,False
29,1907.4838,1267.25,13500.0,10249.0,0.0003,0.0,52.0,0.385926,1.256080385285775,1.2684925863572925,0.9046855357995226,0.337244875,0.8946772979558125,,False
30,1933.3533,1273.0,13823.5,10314.0,0.00031875,0.0,52.0,0.37644678,1.2866774256426092,1.2793183115840894,0.9509751001856273,0.337244875,0.9127825359281437,,False
31,1892.0029,1246.0,13438.0,9898.0,0.00034375,0.0,50.0,0.3741784,1.2377704988599816,1.228484471388695,0.8958139654998674,0.15738094166666666,0.796909012905224,,False
32,2249.56,1405.0,16046.5,14203.0,0.00028125,0.0,53.0,0.58448493,1.6606695503339919,1.527839308094906,1.269063822381331,0.42717684166666664,1.996032850918852,,False
33,2306.2788,1441.5,16260.5,14529.0,0.0002375,0.0,53.0,0.5757803,1.7277533913111371,1.5965591290997907,1.2996850488994962,0.42717684166666664,2.086837582903159,,False
34,2210.3818,1403.5,15812.0,13602.0,0.00026875,0.0,52.0,0.5687911,1.6143316874854794,1.5250152058618283,1.2355092540705384,0.337244875,1.8286290352054513,,False
35,2082.3584,1330.5,15214.5,12683.0,0.0002625,0.0,53.0,0.5596473,1.4629125549658542,1.3875755638520586,1.1500130725536992,0.42717684166666664,1.5726488244889532,,False
36,1998.1394,1269.0,14358.0,12059.0,0.000275,0.0,52.0,0.5522002,1.3633029265769205,1.2717873722958828,1.027456621559268,0.337244875,1.3988385399545735,,False
37,1925.7351,1231.0,13710.0,11337.0,0.0003125,0.0,51.0,0.5502074,1.277667077098141,1.2002434490579204,0.9347344029435163,0.24731290833333333,1.1977311274003717,,False
38,1887.4818,1207.5,13442.0,11210.0,0.0003625,0.0,53.0,0.5524252,1.2324231671230013,1.155999180739707,0.8963863248740387,0.42717684166666664,1.162356277823663,,False
39,1879.2422,1193.0,13387.5,11216.0,0.0003,0.0,51.0,0.56015325,1.2226777896649341,1.1286995258199581,0.8885879284009548,0.24731290833333333,1.1640275305595706,,False
40,1894.7333,1197.0,13541.5,11444.0,0.000275,0.0,49.0,0.5694324,1.2409998038512349,1.1362304651081647,0.9106237643065501,0.067448975,1.2275351345240553,,False
41,1926.1868,1214.0,13822.0,12511.0,0.000375,0.0,50.5,0.578005,1.2782012760728645,1.1682369570830426,0.950760465420313,0.202346925,1.5247395793929381,,False
42,2012.7095,1259.0,14204.5,13577.0,0.00029375,0.0,53.0,0.58464897,1.3805356079890894,1.2529600240753662,1.0054923305754442,0.42717684166666664,1.82166548213917,,False
43,2073.9138,1290.0,14658.5,14603.0,0.0002875,0.0,53.0,0.5887755,1.4529247666757434,1.3113248035589673,1.0704551195438876,0.42717684166666664,2.1074496999793517,,False
44,1979.9951,1221.0,13669.0,13967.0,0.00036875,0.0,45.0,0.5958202,1.341842854359374,1.181416100837404,0.9288677193582604,-0.29227889166666665,1.930296909973157,,False
45,1603.854,1000.0,11240.5,10437.0,0.00041875,0.0,43.0,0.6102321,0.8969636807470187,0.7653317051639916,0.5813740343145054,-0.472142825,0.9470432170142474,,False
46,1226.596,786.5,9299.5,7071.0,0.0004375,0.0,51.0,0.6114403,0.45076344750798303,0.3633678206559665,0.30363664799787854,0.24731290833333333,0.009470432170142474,,False
47,976.4924,625.0,7786.0,6361.0,0.00064375,0.0,45.0,0.57735306,0.15495459127463532,0.05930614689462666,0.08707016979581013,-0.29227889166666665,-0.18829447491224446,,False
48,843.3546,519.0,7257.5,6636.0,0.00069375,0.0,53.0,-0.019427061,-0.0025134783651238,-0.14026374424284715,0.011447187483426147,0.42717684166666664,-0.11169539118315093,,False
49,743.5111,463.0,6838.5,5801.0,0.0007875,0.0,53.5,0.07062961,-0.12060292620505304,-0.245696894277739,-0.0485074569610183,0.472142825,-0.344278063596944,,False
50,665.4232,420.0,5794.5,4422.0,0.000825,0.0,53.0,0.1986154,-0.21296102007926948,-0.32665449162595955,-0.1978932536197295,0.42717684166666664,-0.7283876507330168,,False
51,633.70197,399.0,5701.5,5034.0,0.0008625,0.0,52.0,0.3003438,-0.2504791856660495,-0.366191922889044,-0.21120060906921242,0.337244875,-0.5579198716704522,,False
52,621.09607,388.5,5853.5,5580.0,0.0009625,0.0,48.0,0.38673717,-0.26538875123962763,-0.38596063852058615,-0.18945095285070274,-0.022482991666666667,-0.4058358727028701,,False
53,618.10474,380.5,5891.5,5991.0,0.00095,0.0,51.0,0.47780693,-0.26892673661141,-0.40102251709699926,-0.1840135387960753,0.24731290833333333,-0.2913550602932067,,False
54,643.11304,394.25,6158.0,6566.0,0.00096875,0.0,53.0,0.54992354,-0.23934828375908174,-0.37513491329378923,-0.14588009549191197,0.42717684166666664,-0.1311933397687384,,False
55,677.0989,412.0,6438.0,7047.0,0.001,0.0,49.0,0.5942023,-0.19915168782646944,-0.3417163702023726,-0.10581493929992045,0.067448975,0.0027854212265124925,,False
56,730.5737,446.5,6756.0,7249.0,0.0008375,0.0,50.0,0.63390726,-0.13590455051264771,-0.2767620188415911,-0.060312369053301514,0.15738094166666666,0.059050930002064836,,False
57,804.0797,493.5,7367.5,7402.0,0.0008125,0.0,51.0,0.65266156,-0.048965688669847296,-0.18827348220516402,0.0271870702731371,0.24731290833333333,0.10166787476770597,,False
