unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
dec4_LEC,38,amp100_freq10,200,1.613333333333333,1.5433333333333334,0.06999999999999998,0.14184691459579293,0.0,0.49348976112361725,0.6222107528240298,0.7887178556924321,ON>OFF,False,good,0.2,9.5,high_confidence_ks_good,1,86,6
dec4_LEC,69,amp100_freq10,200,2.931666666666666,2.8216666666666668,0.11,0.16790345129237383,0.33333333333333304,0.6551384093258135,0.513135230561762,0.7358897628084148,ON>OFF,False,good,19.3,11.5,manual_review,2,47,5
dec4_LEC,71,amp100_freq10,200,2.4783333333333335,2.3533333333333335,0.125,0.1352755836385668,0.16666666666666652,0.9240396281266737,0.3565847732775171,0.5914181013465967,ON>OFF,False,good,3.2,21.8,high_confidence_ks_good,3,45,5
dec4_LEC,72,amp100_freq10,200,5.066666666666666,5.215,-0.14833333333333334,0.22950554356746275,-0.33333333333333326,-0.6463169953440843,0.518818755061272,0.7358897628084148,ON<OFF,False,mua,24.3,13.1,manual_review,14,45,5
dec4_LEC,73,amp100_freq10,200,0.7566666666666667,0.6766666666666665,0.08,0.06604568406900588,0.0,1.2112827829357382,0.22722349463898409,0.46341827213990233,ON>OFF,False,good,6.2,15.2,high_confidence_ks_good,4,46,5
dec4_LEC,74,amp100_freq10,200,0.095,0.09833333333333333,-0.0033333333333333357,0.017994043309936373,0.0,-0.1852464882916369,0.853224375259544,0.9133343809806669,ON<OFF,False,good,0.0,18.3,high_confidence_ks_good,5,46,5
dec4_LEC,76,amp100_freq10,200,0.49,0.5299999999999999,-0.04000000000000001,0.05624386560011477,0.0,-0.7111886705013103,0.47780009899659803,0.7240401715403503,ON<OFF,False,good,1.8,22.3,high_confidence_ks_good,6,46,5
dec4_LEC,77,amp100_freq10,200,0.5616666666666666,0.6866666666666665,-0.125,0.0747389837337845,0.0,-1.6724872851528463,0.09599970812154711,0.3260367445637449,ON<OFF,False,good,0.0,28.9,high_confidence_ks_good,7,47,5
dec4_LEC,80,amp100_freq10,200,2.445,2.5516666666666667,-0.10666666666666665,0.1261852793902087,-0.16666666666666652,-0.8453178309081225,0.398948613517929,0.6360767926945095,ON<OFF,False,mua,24.2,9.9,manual_review,16,48,5
dec4_LEC,81,amp100_freq10,200,4.036666666666667,4.068333333333333,-0.031666666666666676,0.1761553153963245,0.0,-0.17976560398090266,0.8575195021429595,0.9133343809806669,ON<OFF,False,mua,29.4,11.3,manual_review,17,48,5
dec4_LEC,82,amp100_freq10,200,21.56833333333333,22.12,-0.5516666666666666,0.5989503078262123,-0.6666666666666656,-0.9210558195868477,0.35813651692655024,0.5914181013465967,ON<OFF,False,good,2.4,12.5,high_confidence_ks_good,8,50,5
dec4_LEC,85,amp100_freq10,200,1.0733333333333333,1.2383333333333333,-0.165,0.08806491882364312,0.0,-1.8736178060917243,0.06244898957523056,0.26763852675098815,ON<OFF,False,good,16.2,10.9,manual_review,9,53,5
dec4_LEC,87,amp100_freq10,200,6.673333333333334,6.8066666666666675,-0.13333333333333333,0.2619025865166677,-0.16666666666666696,-0.5090951376490048,0.6112495557585665,0.7880220471523255,ON<OFF,False,good,15.9,12.4,manual_review,10,53,5
dec4_LEC,88,amp100_freq10,200,0.55,0.4233333333333333,0.12666666666666665,0.06258706944621134,0.0,2.023847222556517,0.04432292175435839,0.2404168034856952,ON>OFF,False,good,0.0,21.4,high_confidence_ks_good,11,53,5
dec4_LEC,91,amp100_freq10,200,0.29,0.305,-0.014999999999999998,0.04534731654476678,0.0,-0.3307803226943325,0.7411584439874279,0.8375119770708508,ON<OFF,False,good,0.0,17.6,high_confidence_ks_good,12,55,5
dec4_LEC,38,amp100_freq26,200,1.545,1.3883333333333334,0.15666666666666662,0.13909072994192995,0.0,1.1263631065281963,0.26136831533128535,0.4892721947986849,ON>OFF,False,good,0.2,9.5,high_confidence_ks_good,1,86,6
dec4_LEC,69,amp100_freq26,200,2.3349999999999995,2.8416666666666663,-0.5066666666666667,0.14587114848316987,-0.33333333333333326,-3.4733850520490295,0.0006305367468184094,0.012610734936368188,ON<OFF,True,good,19.3,11.5,manual_review,2,47,5
dec4_LEC,71,amp100_freq26,200,2.12,2.28,-0.16,0.12386751085604654,0.0,-1.291702714410279,0.19795831874038594,0.42226066200666573,ON<OFF,False,good,3.2,21.8,high_confidence_ks_good,3,45,5
dec4_LEC,72,amp100_freq26,200,5.45,5.435,0.014999999999999956,0.22600723739912384,0.0,0.06636955600457291,0.9471502379947337,0.9577923755002925,ON>OFF,False,mua,24.3,13.1,manual_review,14,45,5
dec4_LEC,73,amp100_freq26,200,0.7733333333333333,0.7833333333333334,-0.009999999999999976,0.0638391159020182,0.0,-0.15664377331522283,0.8756844058716603,0.921773058812274,ON<OFF,False,good,6.2,15.2,high_confidence_ks_good,4,46,5
dec4_LEC,74,amp100_freq26,200,0.04833333333333333,0.06166666666666666,-0.01333333333333333,0.014146083184344814,0.0,-0.942545944314046,0.34705604127608847,0.5914181013465967,ON<OFF,False,good,0.0,18.3,high_confidence_ks_good,5,46,5
dec4_LEC,76,amp100_freq26,200,0.6483333333333333,0.6116666666666667,0.03666666666666668,0.06782041843645312,0.0,0.5406434745167916,0.5893579578471061,0.7793590533056222,ON>OFF,False,good,1.8,22.3,high_confidence_ks_good,6,46,5
dec4_LEC,77,amp100_freq26,200,0.755,0.68,0.075,0.08322228782241226,0.0,0.9012008917616183,0.3685708999554053,0.6018828359127251,ON>OFF,False,good,0.0,28.9,high_confidence_ks_good,7,47,5
dec4_LEC,80,amp100_freq26,200,2.53,2.578333333333333,-0.04833333333333334,0.11567290325387507,0.0,-0.4178449055372366,0.6765110223650369,0.8033578312569355,ON<OFF,False,mua,24.2,9.9,manual_review,16,48,5
dec4_LEC,81,amp100_freq26,200,4.168333333333333,4.036666666666667,0.1316666666666667,0.17223361843384788,-0.33333333333333304,0.7644655431612949,0.44549539822365325,0.6853775357286973,ON>OFF,False,mua,29.4,11.3,manual_review,17,48,5
