trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
12,amp100_freq5,100,5,A_dHPC_0-31,32,-75.40648651123047,26.427490234375,17.701141357421875,13.664443969726562,-8.726348876953125
12,amp100_freq5,100,5,A_dHPC_32-63,32,-70.37640380859375,59.892303466796875,85.42247009277344,37.69807434082031,25.530166625976562
12,amp100_freq5,100,5,A_dHPC_64-95,32,-37.145118713378906,71.39794158935547,55.39301300048828,47.757362365722656,-16.004928588867188
12,amp100_freq5,100,5,A_dHPC_96-127,31,-39.07548904418945,19.147537231445312,25.246185302734375,25.498504638671875,6.0986480712890625
12,amp100_freq5,100,5,B_LEC_128-191,51,-12.960487365722656,0.11949920654296875,-17.6259765625,-13.802909851074219,-17.74547576904297
12,amp100_freq5,100,5,B_LEC_192-255,32,5.745552062988281,-4.49822998046875,-19.885761260986328,3.3191490173339844,-15.387531280517578
13,amp250_freq50,250,50,A_dHPC_0-31,32,-2.905487060546875,-32.32965087890625,-1.2619781494140625,47.65673828125,31.067672729492188
13,amp250_freq50,250,50,A_dHPC_32-63,32,110.42713928222656,-45.78053283691406,-103.67823028564453,44.48033142089844,-57.89769744873047
13,amp250_freq50,250,50,A_dHPC_64-95,32,153.9539794921875,-47.852203369140625,-104.32713317871094,56.569671630859375,-56.47492980957031
13,amp250_freq50,250,50,A_dHPC_96-127,31,-14.381210327148438,-23.596282958984375,-38.816429138183594,-26.247909545898438,-15.220146179199219
13,amp250_freq50,250,50,B_LEC_128-191,51,50.357688903808594,12.865058898925781,4.271415710449219,26.347091674804688,-8.593643188476562
13,amp250_freq50,250,50,B_LEC_192-255,32,-7.500049591064453,-4.455783843994141,10.306575775146484,14.306282043457031,14.762359619140625
14,amp100_freq10,100,10,A_dHPC_0-31,32,-10.838592529296875,-18.7376708984375,69.66578674316406,0.822601318359375,88.40345764160156
14,amp100_freq10,100,10,A_dHPC_32-63,32,-25.509979248046875,-8.780029296875,72.12570190429688,6.13226318359375,80.90573120117188
14,amp100_freq10,100,10,A_dHPC_64-95,32,103.43360900878906,21.019790649414062,9.865676879882812,-6.210174560546875,-11.15411376953125
14,amp100_freq10,100,10,A_dHPC_96-127,31,-0.8342361450195312,-8.875083923339844,18.430274963378906,10.4139404296875,27.30535888671875
14,amp100_freq10,100,10,B_LEC_128-191,51,-8.424945831298828,3.0903854370117188,0.6527862548828125,15.911949157714844,-2.4375991821289062
14,amp100_freq10,100,10,B_LEC_192-255,32,1.7734642028808594,10.061126708984375,-8.616287231445312,3.149547576904297,-18.677413940429688
15,amp100_freq26,100,26,A_dHPC_0-31,32,-20.374664306640625,40.37361145019531,9.97308349609375,19.081390380859375,-30.400527954101562
15,amp100_freq26,100,26,A_dHPC_32-63,32,-107.4920425415039,14.052490234375,-51.539794921875,-9.146575927734375,-65.59228515625
15,amp100_freq26,100,26,A_dHPC_64-95,32,-147.5501251220703,-42.4150390625,-11.60162353515625,-15.796707153320312,30.81341552734375
15,amp100_freq26,100,26,A_dHPC_96-127,31,-34.9605712890625,6.3975830078125,-15.9583740234375,24.495010375976562,-22.35595703125
15,amp100_freq26,100,26,B_LEC_128-191,51,5.401618957519531,-7.577232360839844,12.520355224609375,2.4688568115234375,20.09758758544922
15,amp100_freq26,100,26,B_LEC_192-255,32,-19.792823791503906,-9.890968322753906,11.826927185058594,-2.1676864624023438,21.7178955078125
16,amp180_freq10,180,10,A_dHPC_0-31,32,-11.597305297851562,-3.967132568359375,-7.4485626220703125,-3.1474761962890625,-3.4814300537109375
16,amp180_freq10,180,10,A_dHPC_32-63,32,-64.04845428466797,-10.562149047851562,14.239669799804688,-7.2870025634765625,24.80181884765625
16,amp180_freq10,180,10,A_dHPC_64-95,32,-38.419525146484375,3.0355987548828125,60.62522888183594,-6.51507568359375,57.589630126953125
16,amp180_freq10,180,10,A_dHPC_96-127,31,-10.252922058105469,5.65216064453125,3.58306884765625,23.974937438964844,-2.069091796875
16,amp180_freq10,180,10,B_LEC_128-191,51,-14.539871215820312,-21.318397521972656,-22.867088317871094,-24.904815673828125,-1.5486907958984375
16,amp180_freq10,180,10,B_LEC_192-255,32,19.554481506347656,-23.306968688964844,-20.294395446777344,-34.44096755981445,3.0125732421875
17,amp180_freq10,180,10,A_dHPC_0-31,32,-29.411865234375,19.99505615234375,20.033126831054688,-16.860595703125,0.0380706787109375
17,amp180_freq10,180,10,A_dHPC_32-63,32,-60.931488037109375,50.597930908203125,34.68975830078125,-13.581436157226562,-15.908172607421875
17,amp180_freq10,180,10,A_dHPC_64-95,32,-35.73857879638672,51.979583740234375,41.07855224609375,44.86161804199219,-10.901031494140625
17,amp180_freq10,180,10,A_dHPC_96-127,31,-14.584640502929688,33.160911560058594,59.14580535888672,31.213600158691406,25.984893798828125
17,amp180_freq10,180,10,B_LEC_128-191,51,-9.605522155761719,5.914398193359375,12.990234375,21.871360778808594,7.075836181640625
17,amp180_freq10,180,10,B_LEC_192-255,32,5.967502593994141,19.430953979492188,-12.476249694824219,5.702613830566406,-31.907203674316406
18,amp180_freq10,180,10,A_dHPC_0-31,32,47.70988464355469,-8.394973754882812,22.22845458984375,-26.423049926757812,30.623428344726562
18,amp180_freq10,180,10,A_dHPC_32-63,32,56.660675048828125,-24.779327392578125,49.96391296386719,-18.532150268554688,74.74324035644531
18,amp180_freq10,180,10,A_dHPC_64-95,32,82.136474609375,-1.276336669921875,31.084091186523438,-12.244140625,32.36042785644531
18,amp180_freq10,180,10,A_dHPC_96-127,31,93.89532470703125,3.30242919921875,-17.714981079101562,-17.272186279296875,-21.017410278320312
18,amp180_freq10,180,10,B_LEC_128-191,51,-16.73211669921875,1.2559432983398438,33.83196258544922,-3.5299835205078125,32.576019287109375
18,amp180_freq10,180,10,B_LEC_192-255,32,-17.569347381591797,18.750900268554688,36.15977478027344,27.35462188720703,17.40887451171875
19,amp100_freq5,100,5,A_dHPC_0-31,32,-81.76356506347656,30.449203491210938,67.87879943847656,24.737075805664062,37.429595947265625
19,amp100_freq5,100,5,A_dHPC_32-63,32,-107.02029418945312,37.35630798339844,113.10195922851562,27.621185302734375,75.74565124511719
19,amp100_freq5,100,5,A_dHPC_64-95,32,-40.97984313964844,42.54063415527344,37.70947265625,34.62556457519531,-4.8311614990234375
