condition,n_trials,n_channels_used,excluded_channels,sustained_mean,sustained_ci_low,sustained_ci_high,offset_mean,offset_ci_low,offset_ci_high
amp100_freq5,200,119,5 6 7 32 33 34 43 66 67,14.998201106786729,-7.521012323528528,37.252809649646274,35.3792094835639,-2.414218296423554,74.57753762292111
amp180_freq5,200,119,5 6 7 32 33 34 43 66 67,16.800707682818175,-5.726450164344161,39.49862775620818,16.318283355236055,-19.994199237823484,53.85722898316382
amp250_freq5,200,119,5 6 7 32 33 34 43 66 67,14.257644859254361,-9.968307937167584,37.93621021779253,29.364387877881526,-9.586032371222972,68.25149961833655
amp100_freq26,200,119,5 6 7 32 33 34 43 66 67,25.978041222095488,3.425961245894432,49.38370409071443,19.58314333677292,-18.232275389194488,56.98472428739067
amp180_freq26,200,119,5 6 7 32 33 34 43 66 67,45.606208844333885,24.12911069436744,66.95802562600373,72.10148386836052,32.1090930467844,112.91903606945272
amp250_freq26,200,119,5 6 7 32 33 34 43 66 67,15.196345872282983,-7.361764159426093,37.10445632562042,56.108609043359756,19.37375880524516,92.52831422594188
