cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
90,97,67227,842,0.135420560836792,1744,10.64,163.98,2.0713,separate
90,92,67227,13873,0.6037731766700745,19825,175.24,113.13,1.429,strong_merge
92,97,13873,842,0.3093034625053406,848,2.19,386.37,1.0071,strong_merge
92,99,13873,496,0.2730090022087097,464,1.29,358.89,0.9355,separate
97,104,842,43,0.786120593547821,32,0.01,4703.94,0.7442,strong_merge
90,91,67227,1470,0.657517671585083,945,18.57,50.89,0.6429,strong_merge
90,93,67227,48439,0.7518643140792847,19187,611.85,31.36,0.3961,possible_merge
9,12,254465,5505,0.17963051795959473,2005,263.2,7.62,0.3642,separate
93,99,48439,496,0.17792943120002747,176,4.51,38.99,0.3548,separate
93,97,48439,842,0.21058203279972076,284,7.66,37.06,0.3373,separate
95,104,70155,43,0.05302325263619423,14,0.57,24.7,0.3256,separate
95,99,70155,496,0.15394048392772675,158,6.54,24.17,0.3185,separate
126,127,46702,54753,0.35568735003471375,14740,480.45,30.68,0.3156,possible_merge
9,13,254465,5739,0.18180544674396515,1487,274.39,5.42,0.2591,separate
179,191,2588,129790,0.4001622498035431,650,63.11,10.3,0.2512,possible_merge
6,9,28399,254465,0.5319173336029053,7078,1357.81,5.21,0.2492,possible_merge
4,9,18245,254465,0.2796398997306824,4404,872.33,5.05,0.2414,separate
126,129,46702,80212,0.540683388710022,11202,703.85,15.92,0.2399,possible_merge
98,100,5430,243061,0.3381807506084442,1279,247.98,5.16,0.2355,possible_merge
89,92,91328,13873,0.625027060508728,3128,238.06,13.14,0.2255,possible_merge
100,112,243061,111417,0.4626445472240448,24534,5088.32,4.82,0.2202,possible_merge
5,9,20604,254465,0.2720869481563568,4412,985.12,4.48,0.2141,separate
109,113,3732,177706,0.835421621799469,794,124.61,6.37,0.2128,possible_merge
7,9,27245,254465,0.28794580698013306,5727,1302.63,4.4,0.2102,separate
92,93,13873,48439,0.9027753472328186,2877,126.26,22.79,0.2074,possible_merge
19,22,4910,25584,0.44316619634628296,1002,23.6,42.45,0.2041,possible_merge
91,92,1470,13873,0.5060491561889648,300,3.83,78.29,0.2041,possible_merge
167,177,7418,153187,0.15812553465366364,1513,213.51,7.09,0.204,separate
61,63,236690,10646,0.5371444225311279,2166,473.45,4.57,0.2035,possible_merge
89,90,91328,67227,0.9876250624656677,13499,1153.6,11.7,0.2008,possible_merge
9,10,254465,59836,0.5261141061782837,11814,2860.87,4.13,0.1974,separate
91,97,1470,842,0.1238156408071518,160,0.23,687.99,0.19,separate
88,91,77421,1470,0.059192609041929245,266,21.38,12.44,0.181,separate
179,187,2588,102502,0.27493396401405334,465,49.84,9.33,0.1797,separate
88,92,77421,13873,0.020065221935510635,2485,201.81,12.31,0.1791,separate
126,128,46702,60428,0.7392800450325012,8274,530.25,15.6,0.1772,separate
127,129,54753,80212,0.8350740075111389,9555,825.19,11.58,0.1745,separate
173,177,89779,153187,0.179158553481102,15631,2584.07,6.05,0.1741,separate
100,102,243061,200185,0.585564136505127,33503,9142.28,3.66,0.1674,separate
91,93,1470,48439,0.5936830043792725,244,13.38,18.24,0.166,separate
89,93,91328,48439,0.7761146426200867,7968,831.2,9.59,0.1645,separate
99,104,496,43,0.7491231560707092,7,0.0,1746.79,0.1628,separate
123,127,8813,54753,0.9156366586685181,1390,90.66,15.33,0.1577,separate
11,12,170053,5505,0.5891204476356506,864,175.89,4.91,0.1569,separate
8,9,20799,254465,0.20185869932174683,3182,994.44,3.2,0.153,separate
97,105,842,8386,0.16911964118480682,128,1.33,96.48,0.152,separate
95,97,70155,842,0.06958121061325073,127,11.1,11.44,0.1508,separate
187,191,102502,129790,0.9135205149650574,15400,2499.66,6.16,0.1502,separate
161,162,23944,26087,0.6879938840866089,3569,117.36,30.41,0.1491,separate
168,177,8465,153187,0.4896780550479889,1249,243.64,5.13,0.1475,separate
100,105,243061,8386,0.48513537645339966,1218,382.98,3.18,0.1452,separate
102,109,200185,3732,0.25366905331611633,530,140.37,3.78,0.142,separate
171,177,125268,153187,0.3697575330734253,17600,3605.53,4.88,0.1405,separate
61,66,236690,12871,0.2191922813653946,1796,572.4,3.14,0.1395,separate
127,128,54753,60428,0.6842928528785706,7482,621.66,12.04,0.1367,separate
89,97,91328,842,0.13361674547195435,115,14.45,7.96,0.1366,separate
59,62,10621,165486,0.23321014642715454,1441,330.24,4.36,0.1357,separate
170,177,31394,153187,0.325971782207489,4253,903.6,4.71,0.1355,separate
97,99,842,496,0.7364528775215149,65,0.08,828.35,0.131,separate
3,9,19211,254465,0.11694886535406113,2506,918.51,2.73,0.1304,separate
2,10,15663,59836,0.24135930836200714,2030,176.09,11.53,0.1296,separate
59,61,10621,236690,0.496981680393219,1365,472.34,2.89,0.1285,separate
100,101,243061,19908,0.43116384744644165,2553,909.18,2.81,0.1282,separate
123,126,8813,46702,0.39185667037963867,1127,77.33,14.57,0.1279,separate
1,9,26403,254465,0.16808100044727325,3371,1262.38,2.67,0.1277,separate
178,191,50141,129790,0.41301676630973816,6366,1222.76,5.21,0.127,separate
58,62,98506,165486,0.32827967405319214,12320,3062.89,4.02,0.1251,separate
10,11,59836,170053,0.6424238085746765,7479,1911.85,3.91,0.125,separate
161,163,23944,32539,0.8521568775177002,2981,146.39,20.36,0.1245,separate
102,107,200185,993,0.3286714255809784,123,37.35,3.29,0.1239,separate
109,112,3732,111417,0.4247654676437378,450,78.13,5.76,0.1206,separate
61,64,236690,14234,0.3551183044910431,1712,633.02,2.7,0.1203,separate
113,116,177706,9930,0.2905089557170868,1193,331.56,3.6,0.1201,separate
100,103,243061,64049,0.6357040405273438,7688,2925.06,2.63,0.12,separate
62,63,165486,10646,0.4134877920150757,1252,331.02,3.78,0.1176,separate
100,106,243061,19178,0.4711812138557434,2254,875.84,2.57,0.1175,separate
86,92,45865,13873,0.015351289883255959,1604,119.55,13.42,0.1156,separate
123,129,8813,80212,0.7907364964485168,1009,132.82,7.6,0.1145,separate
86,91,45865,1470,0.025529855862259865,168,12.67,13.26,0.1143,separate
11,13,170053,5739,0.43121758103370667,653,183.37,3.56,0.1138,separate
91,95,1470,70155,0.14489834010601044,164,19.38,8.46,0.1116,separate
55,61,16767,236690,0.10290126502513885,1861,745.66,2.5,0.111,separate
61,67,236690,60407,0.21118615567684174,6663,2686.42,2.48,0.1103,separate
1,3,26403,19211,0.4272991120815277,2100,95.3,22.03,0.1093,separate
88,94,77421,14267,0.009196787141263485,1555,207.54,7.49,0.109,separate
107,113,993,177706,0.837035596370697,107,33.16,3.23,0.1078,separate
89,91,91328,1470,0.6450046896934509,156,25.22,6.18,0.1061,separate
166,177,18039,153187,0.2160121202468872,1899,519.21,3.66,0.1053,separate
108,113,9408,177706,0.43223848938941956,989,314.13,3.15,0.1051,separate
164,171,7034,125268,0.309258371591568,738,165.56,4.46,0.1049,separate
36,41,22247,12377,0.3557935059070587,1298,51.74,25.09,0.1049,separate
