condition,amplitude,frequency,sustained_broadband,offset_broadband,driven_power_analysis_group_median,driven_power_physical_shank_median,driven_power_raw,sustained_timefreq,offset_timefreq,sustained_minus_pre_plv,interpretation
amp100_freq5,100,5,15.94071340560913,37.74043107032776,-0.1045040005434392,-0.1002740096146375,-0.0824693693979842,-0.0459843002194796,-0.050520411265499575,-0.013136696510485874,moderate broadband LFP response; offset/transition-heavy; driven-frequency power suppressed/negative; negative PLV change
amp180_freq5,180,5,18.80588150024414,18.302168607711792,0.1244885223083194,0.1258137544801199,0.1360897156832976,0.06447934776756485,0.10710341505180547,0.0052061928159963,moderate broadband LFP response; clear driven-frequency power increase; no meaningful PLV increase
amp250_freq5,250,5,15.77930736541748,31.78302538394928,-0.0297029119759622,-0.0259083340304838,-0.059883179610778,0.04370685233532293,0.056350476343094424,-0.0006106530667465998,moderate broadband LFP response; offset/transition-heavy; near-zero driven-frequency power; no meaningful PLV increase
amp100_freq26,100,26,27.873571634292603,23.466209411621094,0.0433807525229174,0.0331654954030792,-0.0131819211066414,0.09119917857313903,0.26546680596956496,-0.00417263882402065,moderate broadband LFP response; weak positive driven-frequency power; no meaningful PLV increase
amp180_freq26,180,26,48.502427101135254,77.29226469993591,-0.0144198433431514,-0.0325775141967874,-0.0615732177566356,-0.043110790273474975,0.14180371861931712,-0.000735919962117151,large broadband LFP response; offset/transition-heavy; near-zero driven-frequency power; no meaningful PLV increase
amp250_freq26,250,26,15.929459810256958,60.62793517112732,-0.1325471171860528,-0.1313403011142975,-0.1444285524892642,-0.3002307260722863,-0.11025626082738894,-0.010499051601212176,moderate broadband LFP response; offset/transition-heavy; driven-frequency power suppressed/negative; negative PLV change
