edge,sample
rising,39436587
rising,39464356
rising,39477773
rising,39484326
rising,39555841
rising,39574312
rising,39583548
rising,39586731
rising,39608198
rising,39608510
rising,39673597
rising,39682833
rising,39687389
rising,39687638
rising,39692006
rising,39696624
rising,39708918
rising,39709168
rising,39713598
rising,39715034
rising,39719651
rising,39724269
rising,39726079
rising,39795036
rising,39798093
rising,39813507
rising,39819623
rising,39828859
rising,39844335
rising,39914352
rising,39920405
rising,39932699
rising,39938815
rising,39941997
rising,39951171
rising,39951483
rising,39960406
rising,40034792
rising,40038848
rising,40042842
rising,40054761
rising,40067804
rising,40078787
rising,40086837
rising,40164717
rising,40180194
rising,40198603
rising,40198915
rising,40269452
rising,40273945
rising,40275443
rising,40280061
rising,40295475
rising,40295724
rising,40300155
rising,40304711
rising,40310826
rising,40321622
rising,40321872
rising,40326302
rising,40389268
rising,40398067
rising,40420657
rising,40436695
rising,40510831
rising,40515449
rising,40520067
rising,40532610
rising,40537228
rising,40541659
rising,40543094
rising,40547712
rising,40558758
rising,40563188
rising,40567744
rising,40569241
rising,40639821
rising,40647871
rising,40660664
rising,40749464
rising,40792898
rising,40872421
rising,40885838
rising,40896385
rising,40925839
rising,40989492
rising,40998228
rising,41002846
rising,41013642
rising,41018135
rising,41022878
rising,41027496
rising,41035234
rising,41039789
rising,41045905
rising,41114487
rising,41120540
rising,41126656
rising,41157421
rising,41231307
rising,41246908
rising,41262946
rising,41266191
rising,41286909
rising,41355180
rising,41359735
rising,41365851
rising,41376647
rising,41376896
rising,41381327
rising,41385882
rising,41390500
rising,41400735
rising,41405353
rising,41470315
rising,41502953
rising,41507009
rising,41527977
rising,41590942
rising,41593314
rising,41594811
rising,41598181
rising,41601301
rising,41605670
rising,41619461
rising,41619711
rising,41625577
rising,41636373
rising,41636872
rising,41639430
rising,41641240
rising,41642301
rising,41642800
rising,41644111
rising,41647106
rising,41664267
rising,41709510
rising,41726359
rising,41735595
rising,41763240
rising,41830075
rising,41837064
rising,41843305
rising,41847860
rising,41866269
rising,41869452
rising,41874007
rising,41875505
rising,41880123
rising,41949412
rising,41952657
rising,41992658
rising,42069353
rising,42100867
rising,42189356
rising,42217563
rising,42242212
rising,42309547
rising,42328642
rising,42351232
rising,42429362
rising,42459192
rising,42488646
rising,42559475
rising,42583438
rising,42591551
rising,42669369
rising,42675235
rising,42703192
rising,42789497
rising,42794988
rising,42798171
rising,42804224
rising,42819638
rising,42821136
rising,42825753
rising,42836799
rising,42845785
rising,42847283
rising,43044230
rising,43048224
rising,43053092
rising,43062640
rising,43065697
rising,43068069
rising,43072021
rising,43073394
rising,43078074
rising,43079946
rising,43082006
rising,43082172
rising,43084606
rising,43085230
rising,43086998
rising,43090368
rising,43091304
rising,43092989
rising,43093176
rising,43095485
rising,43103972
rising,43110899
rising,43115891
rising,43132803
rising,43133115
rising,43136921
rising,43137046
rising,43139667
rising,43142662
rising,43156454
rising,43160884
rising,43168810
rising,43190339
rising,43199887
rising,43209435
rising,43280264
rising,43289499
rising,43302167
rising,43311528
rising,43320265
rising,43323697
rising,43389408
rising,43391093
rising,43395898
rising,43400267
rising,43404885
rising,43421796
rising,43423294
rising,43426664
rising,43429722
rising,43434090
rising,43437148
rising,43443575
rising,43448193
rising,43509620
rising,43514238
rising,43524784
rising,43532335
rising,43540822
rising,43552866
rising,43558232
rising,43568779
rising,43649363
rising,43673264
rising,43749647
rising,43756886
rising,43784780
rising,43792830
rising,43800881
rising,43888434
rising,43900852
rising,43910025
rising,43928435
rising,43990652
rising,43995332
rising,44003382
rising,44015301
rising,44021167
rising,44021292
rising,44039285
rising,44109552
rising,44127338
rising,44155295
rising,44234735
rising,44255578
rising,44279604
rising,44342694
rising,44350183
rising,44359294
rising,44363288
rising,44371338
rising,44375332
rising,44379450
rising,44399295
rising,44495397
rising,44627507
rising,44725981
rising,44757994
rising,44829572
rising,44845922
rising,44851975
rising,44866515
rising,44888918
rising,44951884
rising,44967423
rising,44972665
rising,44986581
rising,44994194
rising,45077566
rising,45189644
rising,45316387
rising,45322565
rising,45359383
rising,45435891
rising,45467842
rising,45475892
rising,45555270
rising,45563008
rising,45579857
rising,45587595
rising,45601512
rising,45606129
rising,45670031
rising,45706413
rising,45790659
rising,45825917
rising,45841955
rising,45921146
rising,45933502
rising,45938120
rising,45942675
rising,45959649
rising,45964205
rising,45964454
rising,45968822
rising,45969634
rising,46072226
rising,46149732
rising,46153664
rising,46158094
rising,46170388
rising,46176441
rising,46184179
rising,46191917
rising,46201153
rising,46205709
rising,46272419
rising,46296507
rising,46304557
rising,46392422
rising,46399349
rising,46406276
rising,46407024
rising,46408460
rising,46411642
rising,46413078
rising,46420816
rising,46423187
rising,46430114
rising,46436167
rising,46440036
rising,46447962
rising,46510678
rising,46513112
rising,46521786
rising,46526216
rising,46527652
rising,46530772
rising,46531521
rising,46537636
rising,46539259
rising,46543066
rising,46548370
rising,46549992
rising,46551490
rising,46553175
rising,46555297
rising,46558479
rising,46562286
rising,46565344
rising,46569213
rising,46642850
rising,46646906
rising,46674801
rising,46686845
rising,46753617
rising,46758298
rising,46762915
rising,46767471
rising,46779827
rising,46784445
rising,46789000
rising,46796739
rising,46805974
rising,46869627
rising,46885789
rising,46889658
rising,46897833
rising,46901890
rising,46913684
rising,46989630
rising,46989838
rising,47000509
rising,47004378
rising,47005813
rising,47008996
rising,47010431
rising,47012116
rising,47012865
rising,47013614
rising,47015049
rising,47018169
rising,47021290
rising,47022038
rising,47026719
rising,47031149
rising,47032772
rising,47036703
rising,47041196
rising,47126690
rising,47135926
rising,47145099
rising,47145411
rising,47157518
rising,47166629
rising,47237395
rising,47253433
