burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
242,59726649,59764341,2986.33245,2988.21705,1.8846,5,2.967359050445104,242,250,26,12,2352.0,634.3324499999999
243,59830323,59881183,2991.51615,2994.05915,2.543,5,2.074366021884561,243,250,5,12,2358.0,633.5161499999999
244,59966240,60006241,2998.312,3000.31205,2.00005,1,,244,180,26,12,2364.0,634.3119999999999
245,60070330,60125807,3003.5165,3006.29035,2.77385,6,3.3036009250082587,245,100,26,12,2370.0,633.5165000000002
246,60191457,60314206,3009.57285,3015.7103,6.13745,7,2.0810571770459396,246,100,26,12,2376.0,633.57285
247,60323442,60357327,3016.1721,3017.86635,1.69425,3,1.300178774581505,247,100,26,12,2382.0,634.1720999999998
248,60430340,60468844,3021.517,3023.4422,1.9252,3,1.996805111821086,248,180,5,12,2388.0,633.5169999999998
249,60550365,60675673,3027.51825,3033.78365,6.2654,2,0.506303478304896,249,180,26,12,2394.0,633.5182500000001
250,60680291,60729528,3034.01455,3036.4764,2.46185,4,2.5846471956577926,250,250,26,12,2400.0,634.0145499999999
251,60790372,60910375,3039.5186,3045.51875,6.00015,7,2.19514872132587,251,100,26,12,2406.0,633.5185999999999
252,60910500,60965603,3045.525,3048.28015,2.75515,2,0.8217602103706138,252,100,26,12,2412.0,633.5250000000001
253,61030379,61072502,3051.51895,3053.6251,2.10615,2,0.8456302059109552,253,100,5,12,2418.0,633.5189500000001
254,61270510,61308951,3063.5255,3065.44755,1.92205,2,9.42507068803016,254,180,5,12,2424.0,639.5255000000002
255,61320995,61390389,3066.04975,3069.51945,3.4697,1,,255,100,26,12,2430.0,636.0497500000001
256,61395631,61441685,3069.78155,3072.08425,2.3027,2,0.5923995142323983,256,100,5,12,2436.0,633.7815500000002
257,61545713,61568491,3077.28565,3078.42455,1.1389,1,,257,180,5,12,2442.0,635.2856499999998
258,61664718,61756765,3083.2359,3087.83825,4.60235,1,,258,180,5,12,2448.0,635.2359000000001
259,61760821,61849747,3088.04105,3092.48735,4.4463,4,1.3353809174066902,259,180,5,12,2454.0,634.0410499999998
260,61850246,61880762,3092.5123,3094.0381,1.5258,1,,260,100,26,12,2460.0,632.5122999999999
261,61904725,61995648,3095.23625,3099.7824,4.54615,2,1.0078105316200554,261,100,5,12,2466.0,629.2362499999999
262,61998394,62044511,3099.9197,3102.22555,2.30585,3,0.9999750006249845,262,250,5,12,2472.0,627.9196999999999
263,62111346,62154218,3105.5673,3107.7109,2.1436,2,0.6069986949528058,263,100,5,12,2478.0,627.5673000000002
264,62230538,62351041,3111.5269,3117.55205,6.02515,6,1.8964536317087048,264,250,5,12,2484.0,627.5268999999998
265,62352351,62470607,3117.61755,3123.53035,5.9128,3,0.7137886115027036,265,180,26,12,2490.0,627.6175499999999
266,62472355,62524275,3123.61775,3126.21375,2.596,4,1.2470382840753211,266,100,5,12,2496.0,627.6177499999999
267,62606836,62717541,3130.3418,3135.87705,5.53525,7,3.8153376573826785,267,250,5,12,2502.0,628.3418000000001
268,62733641,62770460,3136.68205,3138.523,1.84095,3,1.249453364153183,268,250,26,12,2508.0,628.6820499999999
269,62830555,62869433,3141.52775,3143.47165,1.9439,3,1.1466574934067195,269,250,5,12,2514.0,627.5277500000002
270,62950559,63010092,3147.52795,3150.5046,2.97665,18,6.67779632721202,270,100,5,12,2520.0,627.5279500000001
271,63077364,63192125,3153.8682,3159.60625,5.73805,3,0.7913427107444556,271,250,26,12,2526.0,627.8681999999999
272,63224264,63315249,3161.2132,3165.76245,4.54925,2,1.165433249810617,272,100,26,12,2532.0,629.2132000000001
273,63320678,63369915,3166.0339,3168.49575,2.46185,14,4.930966469428007,273,250,26,12,2538.0,628.0338999999999
274,63435252,63484552,3171.7626,3174.2276,2.465,6,3.2372936225315634,274,180,26,12,2544.0,627.7626
275,63550513,63608362,3177.52565,3180.4181,2.89245,21,8.113590263691684,275,100,5,12,2550.0,627.52565
276,63670537,63726015,3183.52685,3186.30075,2.7739,11,4.3308791684712,276,250,5,12,2556.0,627.5268500000002
277,63790665,63849388,3189.53325,3192.4694,2.93615,5,1.4976225242427645,277,250,5,12,2562.0,627.53325
278,63921964,63965959,3196.0982,3198.29795,2.19975,3,0.9999750006249845,278,180,26,12,2568.0,628.0981999999999
279,64038036,64085962,3201.9018,3204.2981,2.3963,5,2.4843177442394886,279,100,26,12,2574.0,627.9018000000001
280,64150738,64207963,3207.5369,3210.39815,2.86125,5,1.8578727357176033,280,180,5,12,2580.0,627.5369000000001
281,64284907,64404723,3214.24535,3220.23615,5.9908,5,3.253619651862697,281,180,26,12,2586.0,628.2453500000001
282,64408717,64444725,3220.43585,3222.23625,1.8004,1,,282,250,26,12,2592.0,628.4358499999998
283,64511809,64632499,3225.59045,3231.62495,6.0345,7,2.900232018561485,283,250,26,12,2598.0,627.5904500000001
284,64640237,64754749,3232.01185,3237.73745,5.7256,11,4.3308791684712,284,250,26,12,2604.0,628.0118499999999
285,64760053,64809415,3238.00265,3240.47075,2.4681,11,5.168626437524228,285,180,5,12,2610.0,628.0026499999999
286,64871507,64930105,3243.57535,3246.50525,2.9299,11,5.671345526726215,286,100,26,12,2616.0,627.5753500000001
287,65003804,65131608,3250.1902,3256.5804,6.3902,3,0.998402555910543,287,250,26,12,2622.0,628.1902
288,65156321,65162374,3257.81605,3258.1187,0.30265,1,,288,100,26,12,2628.0,629.8160499999999
289,65230582,65289242,3261.5291,3264.4621,2.933,14,6.283380458686773,289,100,5,12,2634.0,627.5291000000002
290,65370804,65395391,3268.5402,3269.76955,1.22935,3,2.1654395842356,290,100,5,12,2640.0,628.5401999999999
291,65478888,65529997,3273.9444,3276.49985,2.55545,4,1.7804682631532094,291,100,26,12,2646.0,627.9443999999999
292,65590716,65729004,3279.5358,3286.4502,6.9144,3,0.6974716652136007,292,250,26,12,2652.0,627.5358000000001
293,65729067,65830786,3286.45335,3291.5393,5.08595,4,2.1083702298123552,293,180,5,12,2658.0,628.4533499999998
294,65834280,65889009,3291.714,3294.45045,2.73645,18,6.410256410256411,294,250,26,12,2664.0,627.7139999999999
295,65957404,66001461,3297.8702,3300.07305,2.20285,5,3.253884324412267,295,250,26,12,2670.0,627.8701999999998
296,66070855,66191857,3303.54275,3309.59285,6.0501,23,8.781558726673984,296,180,5,12,2676.0,627.5427500000001
297,66192668,66248145,3309.6334,3312.40725,2.77385,24,8.6617583369424,297,100,5,12,2682.0,627.6334000000002
298,66320971,66360972,3316.04855,3318.0486,2.00005,2,0.9953219866626855,298,180,5,12,2688.0,628.04855
299,66432737,66552054,3321.63685,3327.6027,5.96585,6,2.4654832347140037,299,100,5,12,2694.0,627.6368499999999
300,66564972,66672557,3328.2486,3333.62785,5.37925,4,1.2470382840753211,300,100,26,12,2700.0,628.2485999999999
301,66673992,66792248,3333.6996,3339.6124,5.9128,3,0.7300469055136792,301,180,5,12,2706.0,627.6995999999999
302,66804791,66841672,3340.23955,3342.0836,1.84405,2,0.6500893872907525,302,100,5,12,2712.0,628.2395499999998
303,66910691,66967417,3345.53455,3348.37085,2.8363,4,1.3353809174066902,303,250,26,12,2718.0,627.5345499999999
304,67039181,67152882,3351.95905,3357.6441,5.68505,1,,304,250,5,12,2724.0,627.9590499999999
305,67156065,67270847,3357.80325,3363.54235,5.7391,13,5.211047420531527,305,250,5,12,2730.0,627.8032499999999
306,67285450,67329444,3364.2725,3366.4722,2.1997,3,0.9999750006249845,306,100,26,12,2736.0,628.2725
307,67390746,67520360,3369.5373,3376.018,6.4807,3,0.8557797222994803,307,250,26,12,2742.0,627.5373
308,67551125,67631689,3377.55625,3381.58445,4.0282,3,2.6055237102657633,308,100,5,12,2748.0,629.5562500000001
309,67632500,67751942,3381.625,3387.5971,5.9721,18,6.408202499198975,309,180,5,12,2754.0,627.625
310,67760991,67884052,3388.04955,3394.2026,6.15305,4,1.7806267806267806,310,180,26,12,2760.0,628.0495500000002
311,67884114,67997753,3394.2057,3399.88765,5.68195,5,1.7560804284836244,311,180,26,12,2766.0,628.2057
312,67999250,68050047,3399.9625,3402.50235,2.53985,6,4.272591326639607,312,250,26,12,2772.0,627.9625000000001
313,68110954,68169240,3405.5477,3408.462,2.9143,7,3.7264766163592324,313,180,5,12,2778.0,627.5477000000001
314,68230957,68350794,3411.54785,3417.5397,5.99185,21,7.283321194464675,314,250,5,12,2784.0,627.5478499999999
315,68393978,68470985,3419.6989,3423.54925,3.85035,1,,315,100,26,12,2790.0,629.6988999999999
316,68473606,68606652,3423.6803,3430.3326,6.6523,4,1.2470382840753211,316,250,5,12,2796.0,627.6803
317,68612768,68720165,3430.6384,3436.00825,5.36985,2,0.6500893872907525,317,180,26,12,2802.0,628.6383999999998
318,68764161,68768154,3438.20805,3438.4077,0.19965,1,,318,180,26,12,2808.0,630.2080500000002
319,68836612,68888969,3441.8306,3444.44845,2.61785,7,3.3386194808446703,319,180,26,12,2814.0,627.8305999999998
320,68953745,69010470,3447.68725,3450.5235,2.83625,11,4.451368795904741,320,100,26,12,2820.0,627.68725
321,69074996,69195749,3453.7498,3459.78745,6.03765,9,4.302000430200043,321,250,26,12,2826.0,627.7498
322,69201864,69310822,3460.0932,3465.5411,5.4479,5,1.6186468112657817,322,100,26,12,2832.0,628.0931999999998
323,69312195,69411106,3465.60975,3470.5553,4.94555,22,8.6617583369424,323,100,26,12,2838.0,627.6097500000001
324,69430826,69487925,3471.5413,3474.39625,2.85495,3,1.033858878263117,324,100,5,12,2844.0,627.5412999999999
325,69554823,69610238,3477.74115,3480.5119,2.77075,5,1.4469162597214686,325,100,5,12,2850.0,627.7411499999998
326,69726934,69814924,3486.3467,3490.7462,4.3995,1,,326,100,26,12,2856.0,630.3467
327,69830962,69831024,3491.5481,3491.5512,0.0031,1,,327,250,26,12,2862.0,629.5481
328,69915644,70030967,3495.7822,3501.54835,5.76615,3,0.9302974626136709,328,100,5,12,2868.0,627.7822000000001
329,70031529,70090085,3501.57645,3504.50425,2.9278,13,8.6617583369424,329,250,26,12,2874.0,627.57645
330,70150888,70201685,3507.5444,3510.08425,2.53985,5,2.374028132233367,330,100,26,12,2880.0,627.5444000000002
331,70273699,70330862,3513.68495,3516.5431,2.85815,21,8.545182653279214,331,180,5,12,2886.0,627.6849499999998
332,70396074,70442503,3519.8037,3522.12515,2.32145,5,2.115506663845991,332,250,26,12,2892.0,627.8036999999999
333,70512458,70633335,3525.6229,3531.66675,6.04385,3,1.0629816635663034,333,250,26,12,2898.0,627.6228999999998
334,70639513,70750905,3531.97565,3537.54525,5.5696,18,8.6617583369424,334,100,5,12,2904.0,627.9756499999999
335,70752527,70809003,3537.62635,3540.45015,2.8238,16,5.9347181008902075,335,180,5,12,2910.0,627.62635
336,70870908,70930317,3543.5454,3546.51585,2.97045,6,2.180074122520166,336,250,26,12,2916.0,627.5454
337,70991036,71110936,3549.5518,3555.5468,5.995,7,3.321155762205247,337,180,5,12,2922.0,627.5518000000002
338,71113120,71161608,3555.656,3558.0804,2.4244,11,4.360623569170391,338,100,5,12,2928.0,627.656
339,71230960,71286001,3561.548,3564.30005,2.75205,6,2.8360748723766305,339,180,26,12,2934.0,627.5479999999998
340,71357578,71477519,3567.8789,3573.87595,5.99705,3,0.8093234056328911,340,100,5,12,2940.0,627.8789000000002
341,71477769,71609567,3573.88845,3580.47835,6.5899,10,4.5787545787545785,341,100,26,12,2946.0,627.8884499999999
342,71616244,71717963,3580.8122,3585.89815,5.08595,5,2.848799943024001,342,250,5,12,2952.0,628.8121999999998
343,71724141,71761417,3586.20705,3588.07085,1.8638,5,2.207749199690915,343,100,5,12,2958.0,628.20705
344,71831185,71951251,3591.55925,3597.56255,6.0033,4,1.375515818431912,344,180,26,12,2964.0,627.5592499999998
345,71958739,72071026,3597.93695,3603.5513,5.61435,5,2.3056083924145483,345,180,5,12,2970.0,627.9369499999998
346,72077765,72125442,3603.88825,3606.2721,2.38385,9,4.5787545787545785,346,100,5,12,2976.0,627.88825
347,72191091,72311095,3609.55455,3615.55475,6.0002,5,1.6957056255034124,347,180,26,12,2982.0,627.5545499999998
348,72314465,72435155,3615.72325,3621.75775,6.0345,8,2.8872527789808,348,180,26,12,2988.0,627.72325
349,72439773,72487449,3621.98865,3624.37245,2.3838,8,4.331817197314273,349,100,26,12,2994.0,627.9886499999998
350,72556656,72609762,3627.8328,3630.4881,2.6553,11,4.450873483921219,350,100,5,12,3000.0,627.8328000000001
351,72671355,72793043,3633.56775,3639.65215,6.0844,7,2.1655568187970333,351,250,5,12,3006.0,627.5677500000002
352,72794666,72911112,3639.7333,3645.5556,5.8223,7,2.297398196542416,352,250,26,12,3012.0,627.7332999999999
353,72912859,72971083,3645.64295,3648.55415,2.9112,8,2.648655807177857,353,250,5,12,3018.0,627.6429499999999
354,73033175,73089526,3651.65875,3654.4763,2.81755,19,8.433480919249421,354,100,26,12,3024.0,627.65875
355,73151057,73271081,3657.55285,3663.55405,6.0012,5,1.504664459825459,355,100,5,12,3030.0,627.55285
356,73278008,73401943,3663.9004,3670.09715,6.19675,5,2.2103111012875063,356,250,5,12,3036.0,627.9004
357,73410055,73529934,3670.50275,3676.4967,5.99395,3,1.1782726522917404,357,250,5,12,3042.0,628.5027500000001
358,73536486,73569935,3676.8243,3678.49675,1.67245,3,1.9905449116695695,358,180,26,12,3048.0,628.8243000000002
359,73632339,73753529,3681.61695,3687.67645,6.0595,3,0.8292045855013578,359,180,26,12,3054.0,627.6169500000001
360,73753591,73810441,3687.67955,3690.52205,2.8425,11,4.360148245040332,360,100,26,12,3060.0,627.6795499999998
361,73871223,73995844,3693.56115,3699.7922,6.23105,11,4.360148245040332,361,180,26,12,3066.0,627.56115
362,73995907,74048077,3699.79535,3702.40385,2.6085,5,1.4469162597214686,362,100,5,12,3072.0,627.7953499999999
363,74111188,74249913,3705.5594,3712.49565,6.93625,14,4.389815627743634,363,100,26,12,3078.0,627.5594000000001
364,74254718,74289914,3712.7359,3714.4957,1.7598,4,2.484472049689441,364,100,5,12,3084.0,628.7359000000001
365,74351133,74472946,3717.55665,3723.6473,6.09065,6,2.180074122520166,365,250,26,12,3090.0,627.55665
366,74474506,74592825,3723.7253,3729.64125,5.91595,7,2.2255605630668227,366,100,26,12,3096.0,627.7253000000001
367,74593636,74716323,3729.6818,3735.81615,6.13435,20,6.542361792607131,367,100,5,12,3102.0,627.6817999999998
368,74731362,74839572,3736.5681,3741.9786,5.4105,4,2.165674066053059,368,100,26,12,3108.0,628.5681
369,74863597,74955706,3743.17985,3747.7853,4.60545,1,,369,100,5,12,3114.0,629.17985
370,74974178,75102107,3748.7089,3755.10535,6.39645,4,2.0948989211270557,370,250,26,12,3120.0,628.7089000000001
371,75191345,75249505,3759.56725,3762.47525,2.908,23,8.781558726673984,371,100,26,12,3126.0,633.5672500000001
372,75314094,75437093,3765.7047,3771.85465,6.14995,3,1.0827490999648106,372,100,26,12,3132.0,633.7046999999998
373,75455564,75551168,3772.7782,3777.5584,4.7802,4,1.3081300281247956,373,250,5,12,3138.0,634.7782000000002
374,75551355,75671192,3777.56775,3783.5596,5.99185,3,0.8012178511337232,374,250,26,12,3144.0,633.5677500000002
375,75671317,75792693,3783.56585,3789.63465,6.0688,22,7.815552950371238,375,180,5,12,3150.0,633.56585
376,75805486,75916316,3790.2743,3795.8158,5.5415,5,2.3393180887771217,376,100,26,12,3156.0,634.2743
377,75937846,75968923,3796.8923,3798.44615,1.55385,4,2.165674066053059,377,100,26,12,3162.0,634.8923
378,76041624,76087865,3802.0812,3804.39325,2.31205,4,0.9316625518237294,378,180,26,12,3168.0,634.0812000000001
379,76158507,76276389,3807.92535,3813.81945,5.8941,8,4.3308791684712,379,250,5,12,3174.0,633.92535
380,76292427,76320384,3814.62135,3816.0192,1.39785,2,1.1487650775416427,380,250,5,12,3180.0,634.6213499999999
381,76400386,76512277,3820.0193,3825.61385,5.59455,3,0.9999750006249845,381,180,26,12,3186.0,634.0192999999999
382,76530811,76648443,3826.54055,3832.42215,5.8816,8,4.3308791684712,382,100,5,12,3192.0,634.5405500000002
383,76649629,76697992,3832.48145,3834.8996,2.41815,3,1.0305294344969729,383,250,26,12,3198.0,634.4814500000002
384,76753157,76871247,3837.65785,3843.56235,5.9045,29,11.448196908986835,384,180,26,12,3204.0,633.65785
385,76871372,76931342,3843.5686,3846.5671,2.9985,18,6.283380458686773,385,250,26,12,3210.0,633.5686000000001
386,76991437,77111441,3849.57185,3855.57205,6.0002,24,8.431703204047217,386,100,5,12,3216.0,633.5718499999998
387,77118430,77231278,3855.9215,3861.5639,5.6424,6,3.338340844600234,387,180,5,12,3222.0,633.9214999999999
388,77231403,77351468,3861.57015,3867.5734,6.00325,5,1.2743317722769123,388,180,26,12,3228.0,633.57015
389,77358707,77476901,3867.93535,3873.84505,5.9097,12,4.389815627743634,389,250,5,12,3234.0,633.9353500000002
390,77476963,77596405,3873.84815,3879.82025,5.9721,4,1.0046717235143416,390,100,26,12,3240.0,633.8481499999998
391,77602458,77645642,3880.1229,3882.2821,2.1592,6,2.2411474675033616,391,250,26,12,3246.0,634.1228999999998
392,77712290,77832418,3885.6145,3891.6209,6.0064,25,8.435259384226065,392,180,5,12,3252.0,633.6145000000001
393,77832480,77884962,3891.624,3894.2481,2.6241,7,4.7130906091669615,393,180,26,12,3258.0,633.6239999999998
394,77958349,78010707,3897.91745,3900.53535,2.6179,9,4.2167404596247104,394,180,5,12,3264.0,633.9174499999999
395,78071322,78120434,3903.5661,3906.0217,2.4556,6,1.677993120228207,395,180,26,12,3270.0,633.5661
396,78191512,78247489,3909.5756,3912.37445,2.79885,6,1.9076688286913392,396,250,5,12,3276.0,633.5756000000001
397,78311516,78370238,3915.5758,3918.5119,2.9361,7,2.158079309414621,397,100,5,12,3282.0,633.5758000000001
398,78431332,78551356,3921.5666,3927.5678,6.0012,3,0.7864881338602803,398,100,26,12,3288.0,633.5666000000001
399,78551481,78594976,3927.57405,3929.7488,2.17475,4,1.5710919088766695,399,250,26,12,3294.0,633.5740500000002
400,78674105,78795668,3933.70525,3939.7834,6.07815,22,8.6617583369424,400,180,26,12,3300.0,633.70525
401,78795731,78912427,3939.78655,3945.62135,5.8348,10,4.390779363336992,401,250,26,12,3306.0,633.7865499999998
402,78912489,78971211,3945.62445,3948.56055,2.9361,22,8.431703204047217,402,100,5,12,3312.0,633.6244499999998
403,79032991,79164602,3951.64955,3958.2301,6.58055,4,1.810610175629187,403,250,5,12,3318.0,633.6495500000001
404,79168596,79208597,3958.4298,3960.42985,2.00005,2,0.5554475518649152,404,100,5,12,3324.0,634.4297999999999
405,79280799,79396683,3964.03995,3969.83415,5.7942,4,1.2470382840753211,405,250,5,12,3330.0,634.0399499999999
406,79408602,79518496,3970.4301,3975.9248,5.4947,6,2.484472049689441,406,100,26,12,3336.0,634.4301
407,79524612,79631385,3976.2306,3981.56925,5.33865,6,2.1803117845851956,407,100,5,12,3342.0,634.2305999999999
408,79634630,79690607,3981.7315,3984.53035,2.79885,5,1.3108307389808291,408,100,5,12,3348.0,633.7314999999999
409,79751389,79810673,3987.56945,3990.53365,2.9642,5,1.6605778811026235,409,100,26,12,3354.0,633.56945
410,79871392,79930551,3993.5696,3996.52755,2.95795,6,2.1654395842356,410,100,26,12,3360.0,633.5695999999998
411,79991957,80046685,3999.59785,4002.33425,2.7364,9,2.6595744680851063,411,180,26,12,3366.0,633.5978500000001
412,80111419,80237725,4005.57095,4011.88625,6.3153,12,4.3308791684712,412,180,5,12,3372.0,633.5709499999998
413,80238786,80289771,4011.9393,4014.48855,2.54925,4,1.8209960848584175,413,250,26,12,3378.0,633.9393
414,80354172,80410585,4017.7086,4020.52925,2.82065,26,12.812299807815505,414,250,5,12,3384.0,633.7085999999999
415,80472802,80591432,4023.6401,4029.5716,5.9315,6,2.4096385542168677,415,250,26,12,3390.0,633.6401000000001
416,80593804,80650051,4029.6902,4032.50255,2.81235,21,9.155413138017854,416,180,26,12,3396.0,633.6902
417,80711644,80831481,4035.5822,4041.57405,5.99185,9,3.270111183780249,417,250,26,12,3402.0,633.5821999999998
418,80833041,80951671,4041.65205,4047.58355,5.9315,16,6.67779632721202,418,250,26,12,3408.0,633.6520500000001
419,80957662,81071674,4047.8831,4053.5837,5.7006,16,7.1199715201139195,419,250,5,12,3414.0,633.8831
420,81082907,81122908,4054.14535,4056.1454,2.00005,2,1.2470382840753211,420,180,26,12,3420.0,634.1453499999998
421,81206904,81311577,4060.3452,4065.57885,5.23365,11,5.169294391315585,421,250,26,12,3426.0,634.3452000000002
422,81311952,81431456,4065.5976,4071.5728,5.9752,21,8.113590263691684,422,180,5,12,3432.0,633.5976
423,81431518,81551521,4071.5759,4077.57605,6.00015,5,1.4501685820976689,423,250,26,12,3438.0,633.5758999999998
424,81551584,81674208,4077.5792,4083.7104,6.1312,19,7.043493572812114,424,250,26,12,3444.0,633.5792000000001
425,81676018,81797332,4083.8009,4089.8666,6.0657,21,9.289363678588018,425,180,5,12,3450.0,633.8009000000002
426,81798393,81849377,4089.91965,4092.46885,2.5492,4,2.484472049689441,426,250,5,12,3456.0,633.9196499999998
427,81934309,82037900,4096.71545,4101.895,5.17955,4,1.8964536317087048,427,100,26,12,3462.0,634.7154499999997
428,82040895,82155906,4102.04475,4107.7953,5.75055,4,1.6186468112657817,428,180,5,12,3468.0,634.04475
429,82163957,82208014,4108.19785,4110.4007,2.20285,4,1.2470382840753211,429,100,26,12,3474.0,634.1978499999996
430,82279092,82391566,4113.9546,4119.5783,5.6237,5,2.6056934401667644,430,250,5,12,3480.0,633.9546
431,82391753,82429944,4119.58765,4121.4972,1.90955,3,2.81135788585887,431,100,26,12,3486.0,633.5876500000004
432,82523675,82569917,4126.18375,4128.49585,2.3121,4,3.3041467041136627,432,100,26,12,3492.0,634.1837500000001
433,82643678,82689795,4132.1839,4134.48975,2.30585,5,1.868722261153936,433,180,26,12,3498.0,634.1839
434,82751638,82879754,4137.5819,4143.9877,6.4058,15,4.451368795904741,434,100,26,12,3504.0,633.5819000000001
435,82879816,82929303,4143.9908,4146.46515,2.47435,5,2.1655568187970333,435,250,5,12,3510.0,633.9907999999996
436,82993017,83041068,4149.65085,4152.0534,2.40255,4,1.2518778167250877,436,100,26,12,3516.0,633.65085
437,83124815,83171119,4156.24075,4158.55595,2.3152,7,2.6164311878597593,437,180,26,12,3522.0,634.2407499999999
438,83231609,83351800,4161.58045,4167.59,6.00955,15,4.451368795904741,438,180,5,12,3528.0,633.5804500000004
439,83355669,83411583,4167.78345,4170.57915,2.7957,8,2.484472049689441,439,180,5,12,3534.0,633.7834499999999
440,83471803,83527592,4173.59015,4176.3796,2.78945,7,2.015824220128005,440,250,26,12,3540.0,633.59015
441,83591640,83711706,4179.582,4185.5853,6.0033,31,11.242270938729623,441,180,26,12,3546.0,633.5820000000003
442,83716012,83771551,4185.8006,4188.57755,2.77695,9,3.7268238144041734,442,100,5,12,3552.0,633.8005999999996
443,83833581,83957578,4191.67905,4197.8789,6.19985,5,1.3108307389808291,443,250,5,12,3558.0,633.6790499999997
444,83957641,84009561,4197.88205,4200.47805,2.596,6,2.484472049689441,444,180,26,12,3564.0,633.8820500000002
445,84075709,84196025,4203.78545,4209.80125,6.0158,13,4.482294935006723,445,250,5,12,3570.0,633.7854500000003
446,84200143,84248070,4210.00715,4212.4035,2.39635,5,2.015722636565209,446,180,26,12,3576.0,634.0071500000004
447,84312596,84369446,4215.6298,4218.4723,2.8425,14,4.331817197314273,447,180,5,12,3582.0,633.6297999999997
448,84431684,84488222,4221.5842,4224.4111,2.8269,4,1.2094092036040394,448,250,26,12,3588.0,633.5842000000002
449,84551874,84671836,4227.5937,4233.5918,5.9981,24,8.431703204047217,449,100,26,12,3594.0,633.5937000000004
450,84677889,84794023,4233.89445,4239.70115,5.8067,6,2.1654395842356,450,100,5,12,3600.0,633.8944499999998
451,84810435,84911655,4240.52175,4245.58275,5.061,3,0.998402555910543,451,180,5,12,3606.0,634.5217499999999
452,84911717,84970627,4245.58585,4248.53135,2.9455,3,0.7259132896575504,452,100,26,12,3612.0,633.5858500000004
453,85034654,85151724,4251.7327,4257.5862,5.8535,7,2.1801929470758163,453,250,26,12,3618.0,633.7326999999996
454,85151786,85211694,4257.5893,4260.5847,2.9954,15,6.163328197226502,454,250,5,12,3624.0,633.5892999999996
455,85271790,85313725,4263.5895,4265.68625,2.09675,3,1.0542684694657494,455,250,5,12,3630.0,633.5895
456,85391855,85437785,4269.59275,4271.88925,2.2965,5,2.067717756526234,456,250,26,12,3636.0,633.5927499999998
457,85511734,85571392,4275.5867,4278.5696,2.9829,31,12.091898428053206,457,180,5,12,3642.0,633.5866999999998
458,85631799,85678041,4281.58995,4283.90205,2.3121,4,1.2470382840753211,458,180,26,12,3648.0,633.5899499999996
459,85751802,85805782,4287.5901,4290.2891,2.699,8,3.4458993797381114,459,250,26,12,3654.0,633.5901000000003
460,85871868,85930590,4293.5934,4296.5295,2.9361,35,13.35113484646195,460,100,26,12,3660.0,633.5933999999997
461,85991871,86045913,4299.59355,4302.29565,2.7021,5,1.6268759913775572,461,180,26,12,3666.0,633.5935499999996
462,86111937,86231940,4305.59685,4311.597,6.00015,11,3.6839196905507463,462,100,5,12,3672.0,633.5968499999999
463,86242860,86287604,4312.143,4314.3802,2.2372,2,0.49998750031249223,463,250,26,12,3678.0,634.143
464,86351776,86471967,4317.5888,4323.59835,6.00955,17,6.410256410256411,464,250,26,12,3684.0,633.5888000000004
465,86472154,86531937,4323.6077,4326.59685,2.98915,20,6.968641114982579,465,180,26,12,3690.0,633.6076999999996
466,86591907,86714032,4329.59535,4335.7016,6.10625,14,4.331817197314273,466,180,26,12,3696.0,633.5953499999996
467,86714095,86838591,4335.70475,4341.92955,6.2248,14,4.3308791684712,467,100,5,12,3702.0,633.7047499999999
468,86840026,86891780,4342.0013,4344.589,2.5877,5,1.8401803376730919,468,250,26,12,3708.0,634.0012999999999
469,86940767,87005418,4347.03835,4350.2709,3.23255,8,2.913752913752914,469,180,5,12,3714.0,633.0383499999998
470,87078742,87202739,4353.9371,4360.13695,6.19985,3,0.9999750006249845,470,180,5,12,3720.0,633.9371000000001
471,87218777,87242740,4360.93885,4362.137,1.19815,1,,471,180,26,12,3726.0,634.9388499999995
472,87311884,87371605,4365.5942,4368.58025,2.98605,7,3.253619651862697,472,250,26,12,3732.0,633.5941999999995
473,87434633,87483121,4371.73165,4374.15605,2.4244,10,5.087763927753752,473,100,5,12,3738.0,633.7316499999997
474,87605308,87673266,4380.2654,4383.6633,3.3979,1,,474,180,5,12,3744.0,636.2654000000002
475,87698290,87794642,4384.9145,4389.7321,4.8176,3,1.990643973325371,475,250,26,12,3750.0,634.9144999999999
476,87797700,87847685,4389.885,4392.38425,2.49925,10,3.7271710771524416,476,250,5,12,3756.0,633.8850000000002
477,87925628,87969623,4396.2814,4398.48115,2.19975,3,0.9999750006249845,477,180,5,12,3762.0,634.2813999999998
478,88050061,88090062,4402.50305,4404.5031,2.00005,4,1.6605778811026237,478,180,5,12,3768.0,634.5030500000003
479,88153340,88210065,4407.667,4410.50325,2.83625,5,1.9968051118210866,479,250,5,12,3774.0,633.6670000000004
480,88271845,88329631,4413.59225,4416.48155,2.8893,4,1.124543154343548,480,100,5,12,3780.0,633.5922499999997
481,88393720,88519027,4419.686,4425.95135,6.26535,5,1.664932362122789,481,180,26,12,3786.0,633.6859999999997
482,88519090,88571384,4425.9545,4428.5692,2.6147,12,4.390779363336992,482,180,5,12,3792.0,633.9544999999998
483,88631854,88672666,4431.5927,4433.6333,2.0406,4,1.6605778811026237,483,250,5,12,3798.0,633.5927000000001
