burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
50,35949134,36006546,1797.4567,1800.3273,2.8706,11,4.451368795904741,50,180,26,12,1200.0,597.4567
51,36069013,36119747,1803.45065,1805.98735,2.5367,3,1.1206051267684551,51,250,5,12,1206.0,597.45065
52,36189141,36248737,1809.45705,1812.43685,2.9798,5,1.466813348001467,52,180,5,12,1212.0,597.45705
53,36314698,36367429,1815.7349,1818.37145,2.63655,3,1.2494923937150533,53,250,5,12,1218.0,597.7348999999999
54,36429147,36488743,1821.45735,1824.43715,2.9798,4,0.9653441451877594,54,250,26,12,1224.0,597.4573499999999
55,36550648,36680635,1827.5324,1834.03175,6.49935,6,2.0030045067601403,55,180,26,12,1230.0,597.5324
56,36684629,36711276,1834.23145,1835.5638,1.33235,2,0.8853474988933157,56,100,5,12,1236.0,598.23145
57,36789218,36847878,1839.4609,1842.3939,2.933,12,4.331817197314273,57,100,26,12,1242.0,597.4609
58,36909346,36967070,1845.4673,1848.3535,2.8862,6,1.6605778811026237,58,100,5,12,1248.0,597.4673
59,37029536,37082143,1851.4768,1854.10715,2.63035,3,0.8768468586961288,59,180,5,12,1254.0,597.4767999999999
60,37149477,37193722,1857.47385,1859.6861,2.21225,4,1.6605778811026237,60,180,26,12,1260.0,597.4738500000001
61,37271290,37389109,1863.5645,1869.45545,5.89095,31,12.326656394453003,61,250,5,12,1266.0,597.5645
62,37389171,37449204,1869.45855,1872.4602,3.00165,16,5.3418803418803416,62,180,5,12,1272.0,597.4585500000001
63,37517411,37565587,1875.87055,1878.27935,2.4088,6,2.5233409033560434,63,100,26,12,1278.0,597.8705500000001
64,37635730,37684966,1881.7865,1884.2483,2.4618,5,2.1728502362974633,64,250,5,12,1284.0,597.7864999999999
65,37753923,37798729,1887.69615,1889.93645,2.2403,4,1.8005041411595246,65,180,5,12,1290.0,597.69615
66,37875049,37915050,1893.75245,1895.7525,2.00005,4,1.6605778811026237,66,250,5,12,1296.0,597.75245
67,37990746,38109127,1899.5373,1905.45635,5.91905,16,4.577706569008926,67,100,26,12,1302.0,597.5373
68,38109314,38157116,1905.4657,1907.8558,2.3901,5,2.015621063240111,68,100,26,12,1308.0,597.4657
