cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
147,148,19315,16985,0.5373666286468506,100,36.18,2.76,0.0059,separate
132,142,14640,16007,0.2557644248008728,86,25.84,3.33,0.0059,separate
130,131,1367,6527,0.9317172169685364,8,0.98,8.13,0.0059,separate
81,86,45206,29234,0.6744241714477539,167,145.74,1.15,0.0057,separate
25,30,48872,38075,0.48484450578689575,203,205.21,0.99,0.0053,separate
22,28,39364,37826,0.49950626492500305,197,164.21,1.2,0.0052,separate
45,51,582,1119,0.9587844610214233,3,0.07,41.77,0.0052,separate
25,28,48872,37826,0.5859229564666748,188,203.87,0.92,0.005,separate
7,17,86809,51611,0.5309683680534363,257,494.09,0.52,0.005,separate
60,64,31798,61335,0.5078058242797852,155,215.08,0.72,0.0049,separate
10,15,416,20496,0.20232979953289032,2,0.94,2.13,0.0048,separate
4,21,15633,14721,0.24277937412261963,69,25.38,2.72,0.0047,separate
20,25,44923,48872,0.8038896322250366,210,242.12,0.87,0.0047,separate
57,65,34709,59442,0.46726688742637634,154,227.53,0.68,0.0044,separate
40,50,17987,19797,0.39217421412467957,79,39.27,2.01,0.0044,separate
144,157,26933,57224,0.4865623712539673,118,169.97,0.69,0.0044,separate
30,41,38075,28196,0.5265955328941345,122,118.39,1.03,0.0043,separate
15,19,20496,41891,0.37360045313835144,88,94.69,0.93,0.0043,separate
69,75,15777,67090,0.43829628825187683,66,116.73,0.57,0.0042,separate
19,29,41891,61321,0.5093405246734619,170,283.29,0.6,0.0041,separate
50,57,19797,34709,0.3986281752586365,82,75.78,1.08,0.0041,separate
29,33,61321,51648,0.5865232944488525,201,349.27,0.58,0.0039,separate
28,37,37826,44417,0.4006962180137634,144,185.28,0.78,0.0038,separate
24,33,42143,51648,0.4169731140136719,162,240.04,0.67,0.0038,separate
20,30,44923,38075,0.5124757885932922,144,188.63,0.76,0.0038,separate
2,7,91255,86809,0.6073855757713318,320,873.61,0.37,0.0037,separate
113,125,18131,26456,0.6596090793609619,65,52.9,1.23,0.0036,separate
47,51,548,1119,0.9711675643920898,2,0.07,29.57,0.0036,separate
31,39,15129,17349,0.4390973150730133,53,28.95,1.83,0.0035,separate
120,124,28580,25033,0.06557999551296234,85,78.9,1.08,0.0034,separate
123,124,33738,25033,0.11062129586935043,85,93.14,0.91,0.0034,separate
145,156,19649,9897,0.1906004250049591,33,21.45,1.54,0.0033,separate
32,40,13547,17987,0.40359458327293396,45,26.87,1.67,0.0033,separate
6,16,72442,26778,0.36734136939048767,89,213.93,0.42,0.0033,separate
23,31,12881,15129,0.42146918177604675,43,21.49,2.0,0.0033,separate
20,22,44923,39364,0.6974088549613953,127,195.01,0.65,0.0032,separate
146,152,24505,63241,0.5306639075279236,75,170.9,0.44,0.0031,separate
22,25,39364,48872,0.7881056666374207,121,212.16,0.57,0.0031,separate
119,120,17918,28580,0.06821347028017044,54,56.47,0.96,0.003,separate
39,58,17349,18024,0.3627488315105438,52,34.48,1.51,0.003,separate
18,24,20144,42143,0.367556095123291,58,93.62,0.62,0.0029,separate
120,123,28580,33738,0.6081666350364685,81,106.34,0.76,0.0028,separate
1,13,53813,38328,0.4789467751979828,105,227.46,0.46,0.0027,separate
3,23,20320,12881,0.23858654499053955,35,28.86,1.21,0.0027,separate
152,157,63241,57224,0.6439601182937622,150,399.09,0.38,0.0026,separate
39,40,17349,17987,0.5507146716117859,44,34.41,1.28,0.0025,separate
4,6,15633,72442,0.43050140142440796,38,124.89,0.3,0.0024,separate
10,16,416,26778,0.04931041598320007,1,1.23,0.81,0.0024,separate
49,52,27175,22527,0.5582603216171265,52,67.51,0.77,0.0023,separate
16,21,26778,14721,0.39898818731307983,33,43.47,0.76,0.0022,separate
37,41,44417,28196,0.4666355550289154,58,138.11,0.42,0.0021,separate
13,23,38328,12881,0.35688498616218567,25,54.45,0.46,0.0019,separate
14,17,47627,51611,0.6060453653335571,89,271.08,0.33,0.0019,separate
31,32,15129,13547,0.5896790027618408,24,22.6,1.06,0.0018,separate
108,123,603,33738,0.04323451220989227,1,2.24,0.45,0.0017,separate
21,32,14721,13547,0.3876155614852905,22,21.99,1.0,0.0016,separate
46,51,680,1119,0.9840300679206848,1,0.08,11.92,0.0015,separate
28,30,37826,38075,0.6852354407310486,58,158.83,0.37,0.0015,separate
1,6,53813,72442,0.6773914694786072,62,429.91,0.14,0.0012,separate
19,24,41891,42143,0.6479626297950745,49,194.69,0.25,0.0012,separate
1,3,53813,20320,0.538674533367157,23,120.59,0.19,0.0011,separate
109,113,2688,18131,0.9041359424591064,3,5.37,0.56,0.0011,separate
15,18,20496,20144,0.5530385375022888,22,45.53,0.48,0.0011,separate
113,133,18131,11558,0.12839500606060028,12,23.11,0.52,0.001,separate
4,13,15633,38328,0.5110740065574646,15,66.08,0.23,0.001,separate
50,58,19797,18024,0.5742663741111755,14,39.35,0.36,0.0008,separate
13,16,38328,26778,0.6093466281890869,19,113.19,0.17,0.0007,separate
3,16,20320,26778,0.4997406303882599,11,60.01,0.18,0.0005,separate
144,146,26933,24505,0.6066136956214905,12,72.78,0.16,0.0005,separate
3,4,20320,15633,0.5580935478210449,6,35.03,0.17,0.0004,separate
21,23,14721,12881,0.5660920739173889,4,20.91,0.19,0.0003,separate
46,47,680,548,0.9512625932693481,0,0.04,0.0,0.0,separate
45,47,582,548,0.9613114595413208,0,0.04,0.0,0.0,separate
108,112,603,2310,0.8890374898910522,0,0.15,0.0,0.0,separate
73,78,758,10453,0.8444576859474182,0,0.87,0.0,0.0,separate
45,46,582,680,0.9541566371917725,0,0.04,0.0,0.0,separate
