dataset,n_curated_good,mean_baseline_hz,mean_on_hz,mean_off_hz,mean_post_hz,drift_post_minus_base_hz,drift_ci95_hz,drift_pct,OFF_minus_base_hz,OFF_minus_base_ci95_hz,n_units_OFF_ne_baseline_q05,n_units_post_ne_baseline_q05,baseline_window_s,post_window_s,n_baseline_epochs,n_post_epochs
dec3_dHPC,29,6.461,6.012,6.152,6.079,-0.383,"[-0.875, 0.097]",-5.9,-0.309,"[-0.698, 0.055]",23,23,"[60.0, 1510.0]","[8770.0, 10614.4]",483,614
dec4_dHPC,15,5.584,5.782,5.739,5.387,-0.197,"[-0.68, 0.197]",-3.5,0.155,"[-0.115, 0.396]",13,12,"[60.0, 2756.8]","[17216.8, 18105.6]",898,296
dec4_LEC,15,3.987,3.376,3.383,2.961,-1.026,"[-2.042, -0.2]",-25.7,-0.604,"[-1.185, -0.13]",13,10,"[60.0, 2756.8]","[17216.8, 18105.6]",898,296
